,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RVTY,RVTY_6m,RVTY_12m,RVTY_6m_ret,RVTY_12m_ret
0,0,0,0,2019-02-05,91.75299835205078,,,,
1,1,1,1,2019-02-06,92.49423217773438,,,,
2,2,2,2,2019-02-07,90.53740692138672,,,,
3,3,3,3,2019-02-08,90.75484466552734,,,,
4,4,4,4,2019-02-11,90.97228240966795,,,,
5,5,5,5,2019-02-12,92.47444915771484,,,,
6,6,6,6,2019-02-13,92.67211151123048,91.75299835205078,,0.010017254756657934,
7,7,7,7,2019-02-14,92.25701904296876,92.49423217773438,,-0.002564626238637069,
8,8,8,8,2019-02-15,92.88953399658205,90.53740692138672,,0.025979616107601355,
9,9,9,9,2019-02-19,92.77095794677734,90.75484466552734,,0.022214938372494553,
10,10,10,10,2019-02-20,92.4151840209961,90.97228240966795,,0.015860892714886887,
11,11,11,11,2019-02-21,92.09891510009766,92.47444915771484,,-0.0040609493869675495,
12,12,12,12,2019-02-22,92.4843521118164,92.67211151123048,91.75299835205078,-0.0020260615232806645,0.007970897658945875
13,13,13,13,2019-02-25,93.02790832519533,92.25701904296876,92.49423217773438,0.00835588760858963,0.0057698316413443695
14,14,14,14,2019-02-26,91.49605560302734,92.88953399658205,90.53740692138672,-0.01500145746888959,0.010588426532615491
15,15,15,15,2019-02-27,92.77095794677734,92.77095794677734,90.75484466552734,0.0,0.022214938372494553
16,16,16,16,2019-02-28,93.05756378173828,92.4151840209961,90.97228240966795,0.006951019657075452,0.0229221617490023
17,17,17,17,2019-03-01,95.33062744140624,92.09891510009766,92.47444915771484,0.035089580998822756,0.030886134599409143
18,18,18,18,2019-03-04,94.59931182861328,92.4843521118164,92.67211151123048,0.022868297917466363,0.0207959038156722
19,19,19,19,2019-03-05,93.78888702392578,93.02790832519533,92.25701904296876,0.008180111887180264,0.016604351591325006
20,20,20,20,2019-03-06,92.27679443359376,91.49605560302734,92.88953399658205,0.008533032658301742,-0.006596432737092095
21,21,21,21,2019-03-07,92.14832305908205,92.77095794677734,92.77095794677734,-0.006711528063044314,-0.006711528063044314
22,22,22,22,2019-03-08,90.79434967041016,93.05756378173828,92.4151840209961,-0.024320582007029246,-0.017538615193556262
23,23,23,23,2019-03-11,91.83206176757812,95.33062744140624,92.09891510009766,-0.036699282987290305,-0.0028974644514487835
24,24,24,24,2019-03-12,92.37564086914062,94.59931182861328,92.4843521118164,-0.023506206509211314,-0.0011754555251070054
25,25,25,25,2019-03-13,92.56341552734376,93.78888702392578,93.02790832519533,-0.01306627613855138,-0.00499304785213317
26,26,26,26,2019-03-14,92.01984405517578,92.27679443359376,91.49605560302734,-0.002784561167248789,0.005724710739673844
27,27,27,27,2019-03-15,92.93896484375,92.14832305908205,92.77095794677734,0.00858009954409078,0.001810985902172657
28,28,28,28,2019-03-18,92.92906951904295,90.79434967041016,93.05756378173828,0.02351159357803634,-0.0013808040687235401
29,29,29,29,2019-03-19,93.97666931152344,91.83206176757812,95.33062744140624,0.023353581556005976,-0.01420276112957497
30,30,30,30,2019-03-20,93.9074935913086,92.37564086914062,94.59931182861328,0.0165828643542294,-0.007313142389006599
31,31,31,31,2019-03-21,96.35845184326172,92.56341552734376,93.78888702392578,0.04099931159948267,0.02739732713408194
32,32,32,32,2019-03-22,92.61283111572266,92.01984405517578,92.27679443359376,0.006444121554817217,0.0036416163369299426
