,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BBY,BBY_6m,BBY_12m,BBY_6m_ret,BBY_12m_ret
0,0,0,0,2019-02-05,50.04780578613281,,,,
1,1,1,1,2019-02-06,49.99735641479492,,,,
2,2,2,2,2019-02-07,49.49283981323242,,,,
3,3,3,3,2019-02-08,49.56851959228516,,,,
4,4,4,4,2019-02-11,49.14809036254883,,,,
5,5,5,5,2019-02-12,50.33369445800781,,,,
6,6,6,6,2019-02-13,50.022586822509766,50.04780578613281,,-0.0005038974881499403,
7,7,7,7,2019-02-14,50.08984756469727,49.99735641479492,,0.0018499208065125838,
8,8,8,8,2019-02-15,50.6027717590332,49.49283981323242,,0.022426111534299853,
9,9,9,9,2019-02-19,50.73730850219727,49.56851959228516,,0.023579257954962518,
10,10,10,10,2019-02-20,50.720497131347656,49.14809036254883,,0.03199324240676926,
11,11,11,11,2019-02-21,50.25801849365234,50.33369445800781,,-0.0015034851935736837,
12,12,12,12,2019-02-22,50.82139587402344,50.022586822509766,50.04780578613281,0.015968967265687528,0.01545702305504415
13,13,13,13,2019-02-25,50.91389465332031,50.08984756469727,49.99735641479492,0.016451379444880176,0.01833173400052357
14,14,14,14,2019-02-26,50.71208572387695,50.6027717590332,49.49283981323242,0.002160236703323104,0.02463479394687207
15,15,15,15,2019-02-27,57.86777877807617,50.73730850219727,49.56851959228516,0.14053702268361556,0.16743003934865763
16,16,16,16,2019-02-28,57.88458251953125,50.720497131347656,49.14809036254883,0.14124635587918655,0.17775852718867147
17,17,17,17,2019-03-01,57.01851272583008,50.25801849365234,50.33369445800781,0.13451573370389847,0.13281000609639837
18,18,18,18,2019-03-04,56.38785934448242,50.82139587402344,50.022586822509766,0.10952992090687919,0.12724796789414206
19,19,19,19,2019-03-05,56.17765808105469,50.91389465332031,50.08984756469727,0.10338559765612243,0.12153781279717912
20,20,20,20,2019-03-06,56.58126831054688,50.71208572387695,50.6027717590332,0.1157353814754758,0.11814563399773537
21,21,21,21,2019-03-07,56.87555313110352,57.86777877807617,50.73730850219727,-0.01714642704324021,0.12098088783405658
22,22,22,22,2019-03-08,56.64852523803711,57.88458251953125,50.720497131347656,-0.021353825624933487,0.11687638020065161
23,23,23,23,2019-03-11,57.7836799621582,57.01851272583008,50.25801849365234,0.013419628112844473,0.14974051293837554
24,24,24,24,2019-03-12,57.87619018554688,56.38785934448242,50.82139587402344,0.026394526381503747,0.13881543767532345
25,25,25,25,2019-03-13,57.47257614135742,56.17765808105469,50.91389465332031,0.02305041015476994,0.1288190882409619
26,26,26,26,2019-03-14,57.89299392700195,56.58126831054688,50.71208572387695,0.02318303664130772,0.14160151570622515
27,27,27,27,2019-03-15,58.548866271972656,56.87555313110352,57.86777877807617,0.02942060426229154,0.011769718974499854
28,28,28,28,2019-03-18,59.061798095703125,56.64852523803711,57.88458251953125,0.04260080642038688,0.020337290603670954
29,29,29,29,2019-03-19,59.18882369995117,57.7836799621582,57.01851272583008,0.024317311370843475,0.0380632687589888
30,30,30,30,2019-03-20,58.52825546264648,57.87619018554688,56.38785934448242,0.011266554951338659,0.03795845671473419
31,31,31,31,2019-03-21,59.7562370300293,57.47257614135742,56.17765808105469,0.03973479252182921,0.06370110594164213
32,32,32,32,2019-03-22,59.37513732910156,57.89299392700195,56.58126831054688,0.025601429491942662,0.04937798501123192
33,33,33,33,2019-03-25,60.03571701049805,58.548866271972656,56.87555313110352,0.025395038934121095,0.05556278058711883
34,34,34,34,2019-03-26,59.70542144775391,59.061798095703125,56.64852523803711,0.010897456101960579,0.05396250294022176
35,35,35,35,2019-03-27,59.70542144775391,59.18882369995117,57.7836799621582,0.008727961049227018,0.03325751296653712
36,36,36,36,2019-03-28,60.21354293823242,58.52825546264648,57.87619018554688,0.028794425227000264,0.04038539415245124
37,37,37,37,2019-03-29,60.17966842651367,59.7562370300293,57.47257614135742,0.00708597825983559,0.047102330657633695
38,38,38,38,2019-04-01,61.05196762084961,59.37513732910156,57.89299392700195,0.028241286962483958,0.054565733771358316
39,39,39,39,2019-04-02,60.50997161865234,60.03571701049805,58.548866271972656,0.007899541002756028,0.033495189088203814
40,40,40,40,2019-04-03,61.43307495117188,59.70542144775391,59.061798095703125,0.02893629190658631,0.040149079979352464
41,41,41,41,2019-04-04,63.15224456787109,59.70542144775391,59.18882369995117,0.057730488061848106,0.06696231856223189
42,42,42,42,2019-04-05,63.32163619995117,60.21354293823242,58.52825546264648,0.05161784392768687,0.08189857530204181
43,43,43,43,2019-04-08,63.36397171020508,60.17966842651367,59.7562370300293,0.05291327398355161,0.06037419455249138
44,44,44,44,2019-04-09,63.3046875,61.05196762084961,59.37513732910156,0.03689839929714367,0.06618174454263448
45,45,45,45,2019-04-10,63.0844955444336,60.50997161865234,60.03571701049805,0.04254710185631061,0.05078274543472894
46,46,46,46,2019-04-11,62.65258407592773,61.43307495117188,59.70542144775391,0.019851018783043628,0.04936172556377927
47,47,47,47,2019-04-12,62.30535888671875,63.15224456787109,59.70542144775391,-0.013410222976986463,0.043546086367382
48,48,48,48,2019-04-15,62.02588653564453,63.32163619995117,60.21354293823242,-0.020462984566839704,0.030098604217181357
49,49,49,49,2019-04-16,61.95814514160156,63.36397171020508,60.17966842651367,-0.022186528569153707,0.029552783549474215
50,50,50,50,2019-04-17,62.16139221191406,63.3046875,61.05196762084961,-0.018060199540293698,0.018171807302826082
51,51,51,51,2019-04-18,62.36464691162109,63.0844955444336,60.50997161865234,-0.01141086453335416,0.030650738107387276
