,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HRL,HRL_6m,HRL_12m,HRL_6m_ret,HRL_12m_ret
0,0,0,0,2019-02-05,37.58187103271485,,,,
1,1,1,1,2019-02-06,37.53730392456055,,,,
2,2,2,2,2019-02-07,37.86712646484375,,,,
3,3,3,3,2019-02-08,38.27717208862305,,,,
4,4,4,4,2019-02-11,38.4554557800293,,,,
5,5,5,5,2019-02-12,39.01704788208008,,,,
6,6,6,6,2019-02-13,38.7763671875,37.58187103271485,,0.03178383944070662,
7,7,7,7,2019-02-14,38.37522888183594,37.53730392456055,,0.022322459784522186,
8,8,8,8,2019-02-15,38.50894165039063,37.86712646484375,,0.01694913888284466,
9,9,9,9,2019-02-19,38.598087310791016,38.27717208862305,,0.008383984622086338,
10,10,10,10,2019-02-20,38.446537017822266,38.4554557800293,,-0.00023192449617681632,
11,11,11,11,2019-02-21,37.43033981323242,39.01704788208008,,-0.040667045688415726,
12,12,12,12,2019-02-22,38.25042724609375,38.7763671875,37.58187103271485,-0.01356341451129528,0.01778932754031648
13,13,13,13,2019-02-25,37.91169738769531,38.37522888183594,37.53730392456055,-0.012078924547080039,0.00997390392999975
14,14,14,14,2019-02-26,37.59078598022461,38.50894165039063,37.86712646484375,-0.023842661751175664,-0.007297635453688223
15,15,15,15,2019-02-27,38.25042724609375,38.598087310791016,38.27717208862305,-0.00900718374716114,-0.0006987152150993436
16,16,16,16,2019-02-28,38.65157318115234,38.446537017822266,38.4554557800293,0.005333020324691962,0.005099858970463389
17,17,17,17,2019-03-01,38.67831039428711,37.43033981323242,39.01704788208008,0.03334115018142314,-0.008681781584724768
18,18,18,18,2019-03-04,38.34848785400391,38.25042724609375,38.7763671875,0.0025636473882830746,-0.011034538935200122
19,19,19,19,2019-03-05,38.76744842529297,37.91169738769531,38.37522888183594,0.02257221640188023,0.010220643756021497
20,20,20,20,2019-03-06,38.74962615966797,37.59078598022461,38.50894165039063,0.030827771998515496,0.006250094107036919
21,21,21,21,2019-03-07,38.72286987304688,38.25042724609375,38.598087310791016,0.012351303265544011,0.0032328690603531385
22,22,22,22,2019-03-08,38.32174301147461,38.65157318115234,38.446537017822266,-0.008533421605684155,-0.0032459101918543842
23,23,23,23,2019-03-11,38.28608703613281,38.67831039428711,37.43033981323242,-0.010140653874379901,0.02286239524327982
24,24,24,24,2019-03-12,37.80472946166992,38.34848785400391,38.25042724609375,-0.014179395923096805,-0.011652099506139324
25,25,25,25,2019-03-13,38.14345932006836,38.76744842529297,37.91169738769531,-0.01609569704921565,0.0061132037957305485
26,26,26,26,2019-03-14,38.063236236572266,38.74962615966797,37.59078598022461,-0.017713459228417605,0.012568246287699258
27,27,27,27,2019-03-15,37.93844223022461,38.72286987304688,38.25042724609375,-0.0202574769223981,-0.008156379897717336
28,28,28,28,2019-03-18,37.92952346801758,38.32174301147461,38.65157318115234,-0.010234908765490935,-0.01868099157958336
29,29,29,29,2019-03-19,37.90278244018555,38.28608703613281,38.67831039428711,-0.01001158973455607,-0.020050719542705542
30,30,30,30,2019-03-20,37.706668853759766,37.80472946166992,38.34848785400391,-0.002593871436365691,-0.016736487829392632
31,31,31,31,2019-03-21,38.4287109375,38.14345932006836,38.76744842529297,0.007478388759604826,-0.008737678169501772
32,32,32,32,2019-03-22,38.85659408569336,38.063236236572266,38.74962615966797,0.02084315280472171,0.0027604892389059277
33,33,33,33,2019-03-25,39.28447341918945,37.93844223022461,38.72286987304688,0.03547934785504969,0.01450314886225601
34,34,34,34,2019-03-26,39.56081008911133,37.92952346801758,38.32174301147461,0.043008360557686975,0.03233326514573487
35,35,35,35,2019-03-27,39.1775016784668,37.90278244018555,38.28608703613281,0.0336312839378714,0.02328299158628311
36,36,36,36,2019-03-28,39.58755111694336,37.706668853759766,37.80472946166992,0.0498819524598777,0.047158693651836225
37,37,37,37,2019-03-29,39.8995475769043,38.4287109375,38.14345932006836,0.03827442044039531,0.04603904019560212
38,38,38,38,2019-04-01,39.02595901489258,38.85659408569336,38.063236236572266,0.0043587178234332224,0.025292720049781225
39,39,39,39,2019-04-02,38.4019775390625,39.28447341918945,37.93844223022461,-0.022464241042769784,0.012218090190023734
40,40,40,40,2019-04-03,37.37684631347656,39.56081008911133,37.92952346801758,-0.05520523393518373,-0.014571159983252535
41,41,41,41,2019-04-04,37.06485748291016,39.1775016784668,37.90278244018555,-0.053924934083221854,-0.02210721491483414
42,42,42,42,2019-04-05,37.37684631347656,39.58755111694336,37.706668853759766,-0.05584343413757209,-0.008747061204541162
43,43,43,43,2019-04-08,37.72450256347656,39.8995475769043,38.4287109375,-0.054513024470652205,-0.018325058448324105
44,44,44,44,2019-04-09,37.21639251708984,39.02595901489258,38.85659408569336,-0.04636827751272421,-0.04221166592692771
45,45,45,45,2019-04-10,37.21639251708984,38.4019775390625,39.28447341918945,-0.03087302003566572,-0.05264372211463608
46,46,46,46,2019-04-11,37.04702377319336,37.37684631347656,39.56081008911133,-0.0088242474369562,-0.06354233672808085
47,47,47,47,2019-04-12,36.86783599853516,37.06485748291016,39.1775016784668,-0.0053155872639154556,-0.058953878654317005
48,48,48,48,2019-04-15,36.82304000854492,37.37684631347656,39.58755111694336,-0.014816828051433584,-0.06983283962758768
49,49,49,49,2019-04-16,36.53634262084961,37.72450256347656,39.8995475769043,-0.031495708674427525,-0.08429180680739012
50,50,50,50,2019-04-17,36.48259735107422,37.21639251708984,39.02595901489258,-0.019716988036351357,-0.06517102277609099
51,51,51,51,2019-04-18,36.18692398071289,37.21639251708984,38.4019775390625,-0.027661696009472547,-0.057680715950017336
52,52,52,52,2019-04-22,36.22276306152344,37.04702377319336,37.37684631347656,-0.022249039942213722,-0.03087695634548515
53,53,53,53,2019-04-23,35.15660095214844,36.86783599853516,37.06485748291016,-0.046415391629026415,-0.05148425382834898
54,54,54,54,2019-04-24,35.66728210449219,36.82304000854492,37.37684631347656,-0.03138681390196296,-0.04573858892872873
55,55,55,55,2019-04-25,35.532894134521484,36.53634262084961,37.72450256347656,-0.02746439337788298,-0.058095091519560826
56,56,56,56,2019-04-26,35.78375625610352,36.48259735107422,37.21639251708984,-0.01915546440528082,-0.03849476437912258
57,57,57,57,2019-04-29,35.380592346191406,36.18692398071289,37.21639251708984,-0.022282403305438403,-0.04932773024831538
58,58,58,58,2019-04-30,35.78375625610352,36.22276306152344,37.04702377319336,-0.012119638821430412,-0.03409902843542101
59,59,59,59,2019-05-01,34.98637390136719,35.15660095214844,36.86783599853516,-0.004841965553295302,-0.05103261545491111
60,60,60,60,2019-05-02,35.568729400634766,35.66728210449219,36.82304000854492,-0.0027631122429989663,-0.03406320085520065
61,61,61,61,2019-05-03,35.550804138183594,35.532894134521484,36.53634262084961,0.000504040104200465,-0.02697419642938248
62,62,62,62,2019-05-06,35.29994583129883,35.78375625610352,36.48259735107422,-0.013520392363006173,-0.03241686737363203
63,63,63,63,2019-05-07,34.762386322021484,35.380592346191406,36.18692398071289,-0.017473026401618963,-0.03936608868580993
64,64,64,64,2019-05-08,35.23723602294922,35.78375625610352,36.22276306152344,-0.01527285814387036,-0.027207395440826176
65,65,65,65,2019-05-09,35.39850616455078,34.98637390136719,35.15660095214844,0.011779793594656862,0.006880790686551341
66,66,66,66,2019-05-10,35.71207427978516,35.568729400634766,35.66728210449219,0.0040300815228964115,0.001255833712301202
67,67,67,67,2019-05-13,35.461219787597656,35.550804138183594,35.532894134521484,-0.0025198966031184655,-0.002017126627864352
68,68,68,68,2019-05-14,35.30891036987305,35.29994583129883,35.78375625610352,0.00025395332381128455,-0.013269872587774567
69,69,69,69,2019-05-15,35.44329833984375,34.762386322021484,35.380592346191406,0.019587608615663887,0.0017723274115588605
70,70,70,70,2019-05-16,35.67624282836914,35.23723602294922,35.78375625610352,0.012458605014706858,-0.0030045316362237173
71,71,71,71,2019-05-17,35.64936065673828,35.39850616455078,34.98637390136719,0.007086584134974316,0.018949856228032358
72,72,72,72,2019-05-20,35.586639404296875,35.71207427978516,35.568729400634766,-0.0035123940016917876,0.0005035322870372561
73,73,73,73,2019-05-21,35.67624282836914,35.461219787597656,35.550804138183594,0.006063610954710752,0.003528434678945036
74,74,74,74,2019-05-22,35.380592346191406,35.30891036987305,35.29994583129883,0.0020301384428877967,0.0022846073271045597
75,75,75,75,2019-05-23,35.058048248291016,35.44329833984375,34.762386322021484,-0.010869476307165615,0.008505225260736271
76,76,76,76,2019-05-24,36.07941055297852,35.67624282836914,35.23723602294922,0.011300733839853416,0.023900130233847294
77,77,77,77,2019-05-28,34.81614685058594,35.64936065673828,35.39850616455078,-0.023372475433016016,-0.016451522311640265
78,78,78,78,2019-05-29,35.1386833190918,35.586639404296875,35.71207427978516,-0.01258776025788455,-0.016055941085951875
79,79,79,79,2019-05-30,35.49706268310547,35.67624282836914,35.461219787597656,-0.005022393925438573,0.0010107631864471056
80,80,80,80,2019-05-31,35.380592346191406,35.380592346191406,35.30891036987305,0.0,0.0020301384428877967
81,81,81,81,2019-06-03,36.21380233764648,35.058048248291016,35.44329833984375,0.03296686915284286,0.021739060242498942
82,82,82,82,2019-06-04,36.15109252929688,36.07941055297852,35.67624282836914,0.001986783465131703,0.01330996941612228
83,83,83,83,2019-06-05,37.1097412109375,34.81614685058594,35.64936065673828,0.06587731750427639,0.04096512608629865
84,84,84,84,2019-06-06,37.172454833984375,35.1386833190918,35.586639404296875,0.057878421238042765,0.04456210128950877
85,85,85,85,2019-06-07,37.67418670654297,35.49706268310547,35.67624282836914,0.06133251201299217,0.056002082051787694
86,86,86,86,2019-06-10,37.15453720092773,35.380592346191406,35.380592346191406,0.05013892467878023,0.05013892467878023
87,87,87,87,2019-06-11,37.48603439331055,36.21380233764648,35.058048248291016,0.035131137122861755,0.06925616987642447
88,88,88,88,2019-06-12,37.226219177246094,36.15109252929688,36.07941055297852,0.02973981068699172,0.03178568071625265
89,89,89,89,2019-06-13,37.40540313720703,37.1097412109375,34.81614685058594,0.007967232231260946,0.07436940962286642
90,90,90,90,2019-06-14,37.11869812011719,37.172454833984375,35.1386833190918,-0.0014461437671327015,0.05634857695278517
91,91,91,91,2019-06-17,36.69761657714844,37.67418670654297,35.49706268310547,-0.025921465458600856,0.03382121796275728
92,92,92,92,2019-06-18,36.61697769165039,37.15453720092773,35.380592346191406,-0.014468206301972542,0.03494529807079605
93,93,93,93,2019-06-19,36.89472198486328,37.48603439331055,36.21380233764648,-0.015774205461241975,0.018802765886556605
94,94,94,94,2019-06-20,37.23517227172852,37.226219177246094,36.15109252929688,0.00024050507089645734,0.029987468333166012
95,95,95,95,2019-06-21,37.10078811645508,37.40540313720703,37.1097412109375,-0.00814361015264542,-0.00024125995467150219
96,96,96,96,2019-06-24,37.75481796264648,37.11869812011719,37.172454833984375,0.01713745025406843,0.015666523270066124
97,97,97,97,2019-06-25,36.28548049926758,36.69761657714844,37.67418670654297,-0.011230595235372731,-0.03686094720750033
98,98,98,98,2019-06-26,35.953975677490234,36.61697769165039,37.15453720092773,-0.018106410085050206,-0.032312649110524116
99,99,99,99,2019-06-27,36.07941055297852,36.89472198486328,37.48603439331055,-0.02209832160327041,-0.037523943599193754
100,100,100,100,2019-06-28,36.32131576538086,37.23517227172852,37.226219177246094,-0.02454283008760305,-0.024308227691796858
101,101,101,101,2019-07-01,36.65281677246094,37.10078811645508,37.40540313720703,-0.012074442801269125,-0.020119723398930534
102,102,102,102,2019-07-02,36.91263198852539,37.75481796264648,37.11869812011719,-0.022306715263580967,-0.005551545232673871
