,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,YUM,YUM_6m,YUM_12m,YUM_6m_ret,YUM_12m_ret
174,174,174,174,2019-10-14,104.39058685302734,106.09312438964844,104.38134765625,-0.016047576564605426,8.85138675137398e-05
175,175,175,175,2019-10-15,102.98416900634766,105.19561004638672,104.54788208007812,-0.02102217990906574,-0.014956908189998064
176,176,176,176,2019-10-16,103.15072631835938,104.17777252197266,104.95501708984376,-0.009858592468913296,-0.017191086443632098
177,177,177,177,2019-10-17,102.12364959716795,104.86248779296876,104.45538330078124,-0.026118378968922884,-0.022322771981019063
178,178,178,178,2019-10-18,103.9094696044922,105.78778076171876,104.25181579589844,-0.017755464229440188,-0.0032838391234976116
179,179,179,179,2019-10-21,103.91871643066406,105.89878845214844,105.18634796142578,-0.01869777785398452,-0.012051293303068089
180,180,180,180,2019-10-22,101.87381744384766,104.39058685302734,106.09312438964844,-0.0241091604621696,-0.039769843428349994
181,181,181,181,2019-10-23,101.1058349609375,102.98416900634766,105.19561004638672,-0.018239056192164704,-0.0388778113805871
182,182,182,182,2019-10-24,100.80973815917967,103.15072631835938,104.17777252197266,-0.02269482962199021,-0.03232968301450878
183,183,183,183,2019-10-25,100.9485321044922,102.12364959716795,104.86248779296876,-0.011506810590015792,-0.03732465031922505
184,184,184,184,2019-10-28,101.32791137695312,103.9094696044922,105.78778076171876,-0.02484430184626285,-0.04215864396296631
185,185,185,185,2019-10-29,101.522216796875,103.91871643066406,105.89878845214844,-0.023061289785926475,-0.04132787276646743
186,186,186,186,2019-10-30,95.618896484375,101.87381744384766,104.39058685302734,-0.06139870985908957,-0.08402759897309608
187,187,187,187,2019-10-31,94.11067962646484,101.1058349609375,102.98416900634766,-0.06918646522404226,-0.08616362558924828
188,188,188,188,2019-11-01,92.20459747314452,100.80973815917967,103.15072631835938,-0.08536021264580163,-0.10611780678529847
189,189,189,189,2019-11-04,91.09424591064452,100.9485321044922,102.12364959716795,-0.09761693398025317,-0.10800048500058013
190,190,190,190,2019-11-05,90.61309814453124,101.32791137695312,103.9094696044922,-0.10574394642914708,-0.1279611137519091
191,191,191,191,2019-11-06,92.61170959472656,101.522216796875,103.91871643066406,-0.08776903699784766,-0.10880625958733514
192,192,192,192,2019-11-07,92.2138671875,95.618896484375,101.87381744384766,-0.035610422438115186,-0.09482269830196721
193,193,193,193,2019-11-08,91.51063537597656,94.11067962646484,101.1058349609375,-0.02762751539791375,-0.0949025304886515
194,194,194,194,2019-11-11,91.44587707519533,92.20459747314452,100.80973815917967,-0.008228661246204916,-0.0928864736182402
195,195,195,195,2019-11-12,90.9924774169922,91.09424591064452,100.9485321044922,-0.0011171780679993804,-0.09862505655054454
196,196,196,196,2019-11-13,91.02947998046876,90.61309814453124,101.32791137695312,0.004595161676001602,-0.10163469528324576
197,197,197,197,2019-11-14,90.77967071533205,92.61170959472656,101.522216796875,-0.019781935647356197,-0.10581473120348206
