,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NOC,NOC_6m,NOC_12m,NOC_6m_ret,NOC_12m_ret
0,0,0,0,2019-02-05,256.8007507324219,,,,
1,1,1,1,2019-02-06,258.59918212890625,,,,
2,2,2,2,2019-02-07,256.86541748046875,,,,
3,3,3,3,2019-02-08,258.79278564453125,,,,
4,4,4,4,2019-02-11,259.57672119140625,,,,
5,5,5,5,2019-02-12,261.98370361328125,,,,
6,6,6,6,2019-02-13,261.264404296875,256.8007507324219,,0.01738177770790128,
7,7,7,7,2019-02-14,258.7743835449219,258.59918212890625,,0.0006775018179612236,
8,8,8,8,2019-02-15,264.6581726074219,256.86541748046875,,0.03033789134944831,
9,9,9,9,2019-02-19,264.9993896484375,258.79278564453125,,0.023982909679837183,
10,10,10,10,2019-02-20,265.8016662597656,259.57672119140625,,0.023981137598888314,
11,11,11,11,2019-02-21,265.1376953125,261.98370361328125,,0.01203888507460138,
12,12,12,12,2019-02-22,267.3695678710937,261.264404296875,256.8007507324219,0.023367758767786073,0.041155709664120854
13,13,13,13,2019-02-25,265.8322448730469,258.7743835449219,258.59918212890625,0.02727418854772301,0.027970168678008722
14,14,14,14,2019-02-26,265.3691711425781,264.6581726074219,256.86541748046875,0.002686478668508352,0.033105872115914536
15,15,15,15,2019-02-27,265.57293701171875,264.9993896484375,258.79278564453125,0.002164334657684064,0.0261991513801334
16,16,16,16,2019-02-28,268.52716064453125,265.8016662597656,259.57672119140625,0.010253864932893375,0.03448090187765773
17,17,17,17,2019-03-01,265.7859802246094,265.1376953125,261.98370361328125,0.002445087679235014,0.014513408883404244
18,18,18,18,2019-03-04,262.1742248535156,267.3695678710937,261.264404296875,-0.01943131770360229,0.003482374719545822
19,19,19,19,2019-03-05,261.96124267578125,265.8322448730469,258.7743835449219,-0.014561823375167648,0.012315203256222373
20,20,20,20,2019-03-06,259.7293395996094,265.3691711425781,264.6581726074219,-0.021252775967478765,-0.018623392428253616
21,21,21,21,2019-03-07,256.00653076171875,265.57293701171875,264.9993896484375,-0.03602176621474751,-0.033935394714113
22,22,22,22,2019-03-08,255.56198120117188,268.52716064453125,265.8016662597656,-0.04828256259903008,-0.038523780541641184
23,23,23,23,2019-03-11,258.5810546875,265.7859802246094,265.1376953125,-0.02710799693430277,-0.02472919068438051
24,24,24,24,2019-03-12,254.83035278320312,262.1742248535156,267.3695678710937,-0.02801141902647275,-0.04689843794764281
25,25,25,25,2019-03-13,258.5254211425781,261.96124267578125,265.8322448730469,-0.01311576284380167,-0.027486596797007268
26,26,26,26,2019-03-14,254.4414825439453,259.7293395996094,265.3691711425781,-0.02035910561284937,-0.04117919406984005
27,27,27,27,2019-03-15,251.16310119628903,256.00653076171875,265.57293701171875,-0.01891916409717609,-0.05425942860583666
28,28,28,28,2019-03-18,254.57107543945312,255.56198120117188,268.52716064453125,-0.003877359836785499,-0.05197271356677691
29,29,29,29,2019-03-19,250.97792053222656,258.5810546875,265.7859802246094,-0.029403291607971727,-0.055714224203507134
30,30,30,30,2019-03-20,250.468490600586,254.83035278320312,262.1742248535156,-0.017116729365155292,-0.044648684513017844
31,31,31,31,2019-03-21,252.3391876220703,258.5254211425781,261.96124267578125,-0.023928917679225337,-0.036730834513637456
32,32,32,32,2019-03-22,248.5237274169922,254.4414825439453,259.7293395996094,-0.023257823637036323,-0.04314342076213418
33,33,33,33,2019-03-25,248.7460327148437,251.16310119628903,256.00653076171875,-0.009623501501346499,-0.028360596994429277
34,34,34,34,2019-03-26,246.19927978515625,254.57107543945312,255.56198120117188,-0.032885887133269454,-0.036635736552087295
35,35,35,35,2019-03-27,244.4119415283203,250.97792053222656,258.5810546875,-0.026161580229776216,-0.05479563526532649
36,36,36,36,2019-03-28,247.26426696777344,250.468490600586,254.83035278320312,-0.012792921078133679,-0.02969067747540477
37,37,37,37,2019-03-29,249.672119140625,252.3391876220703,258.5254211425781,-0.010569378884740632,-0.03424538276671241
38,38,38,38,2019-04-01,253.8487243652344,248.5237274169922,254.4414825439453,0.02142651328944356,-0.002329644414835297
39,39,39,39,2019-04-02,253.1262969970703,248.7460327148437,251.16310119628903,0.017609383492150243,0.007816418062329245
40,40,40,40,2019-04-03,247.04200744628903,246.19927978515625,254.57107543945312,0.0034229493354658302,-0.02957550452331259
41,41,41,41,2019-04-04,250.97792053222656,244.4119415283203,250.97792053222656,0.02686439526174067,0.0
42,42,42,42,2019-04-05,255.87684631347656,247.26426696777344,250.468490600586,0.03483147585908819,0.02159295845925424
43,43,43,43,2019-04-08,256.4325256347656,249.672119140625,252.3391876220703,0.027077138278034596,0.01622157085971887
44,44,44,44,2019-04-09,253.256088256836,253.8487243652344,248.5237274169922,-0.0023346034528254345,0.01904188742471047
45,45,45,45,2019-04-10,250.533432006836,253.1262969970703,248.7460327148437,-0.010243364758993567,0.007185639394865495
46,46,46,46,2019-04-11,256.8862609863281,247.04200744628903,246.19927978515625,0.039848500430354594,0.043407849163887846
47,47,47,47,2019-04-12,262.1279602050781,250.97792053222656,244.4119415283203,0.044426376827119585,0.07248425983599094
48,48,48,48,2019-04-15,259.5072021484375,255.87684631347656,247.26426696777344,0.014187902841796607,0.0495135642962099
49,49,49,49,2019-04-16,260.7943725585937,256.4325256347656,249.672119140625,0.01700972570866699,0.044547438681786566
50,50,50,50,2019-04-17,258.1642761230469,253.256088256836,253.8487243652344,0.019380335138215132,0.017000486288059058
51,51,51,51,2019-04-18,260.377685546875,250.533432006836,253.1262969970703,0.03929317321518355,0.028647314150408443
52,52,52,52,2019-04-22,261.9797058105469,256.8862609863281,247.04200744628903,0.01982762645484515,0.06046622806651847
53,53,53,53,2019-04-23,270.98126220703125,262.1279602050781,250.97792053222656,0.033774733511933164,0.07970159937728938
54,54,54,54,2019-04-24,259.3034362792969,259.5072021484375,255.87684631347656,-0.0007852031367672208,0.013391559319213986
55,55,55,55,2019-04-25,258.5532531738281,260.7943725585937,256.4325256347656,-0.008593434600518646,0.008270119142698151
56,56,56,56,2019-04-26,262.20196533203125,258.1642761230469,253.256088256836,0.01563999973048147,0.035323443305034896
