,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ZBH,ZBH_6m,ZBH_12m,ZBH_6m_ret,ZBH_12m_ret
0,0,0,0,2019-02-05,110.61495971679688,,,,
1,1,1,1,2019-02-06,110.48409271240234,,,,
2,2,2,2,2019-02-07,110.5869369506836,,,,
3,3,3,3,2019-02-08,112.72779846191406,,,,
4,4,4,4,2019-02-11,114.27035522460938,,,,
5,5,5,5,2019-02-12,115.87835693359376,,,,
6,6,6,6,2019-02-13,115.51374816894533,110.61495971679688,,0.04428685292378742,
7,7,7,7,2019-02-14,114.51343536376952,110.48409271240234,,0.03646988948767338,
8,8,8,8,2019-02-15,115.59789276123048,110.5869369506836,,0.045312366439641316,
9,9,9,9,2019-02-19,115.51374816894533,112.72779846191406,,0.024713954721403697,
10,10,10,10,2019-02-20,115.90638732910156,114.27035522460938,,0.01431720502904188,
11,11,11,11,2019-02-21,115.43894958496094,115.87835693359376,,-0.0037919708240654604,
12,12,12,12,2019-02-22,116.33643341064452,115.51374816894533,110.61495971679688,0.007121968204996332,0.05172423068720633
13,13,13,13,2019-02-25,115.83161926269533,114.51343536376952,110.48409271240234,0.011511172420409777,0.048400873094129215
14,14,14,14,2019-02-26,115.32676696777344,115.59789276123048,110.5869369506836,-0.0023454215901413944,0.042860668246951894
15,15,15,15,2019-02-27,116.3831787109375,115.51374816894533,112.72779846191406,0.007526641250707122,0.03242660904318506
16,16,16,16,2019-02-28,116.03727722167967,115.90638732910156,114.27035522460938,0.0011292724723310776,0.015462645526893137
17,17,17,17,2019-03-01,117.24325561523438,115.43894958496094,115.87835693359376,0.015629958837640956,0.01177871966568178
18,18,18,18,2019-03-04,116.32707214355467,116.33643341064452,115.51374816894533,-8.046720030341348e-05,0.007040927919850892
19,19,19,19,2019-03-05,116.0279312133789,115.83161926269533,114.51343536376952,0.001694804509625003,0.013225486116964058
20,20,20,20,2019-03-06,115.21459197998048,115.32676696777344,115.59789276123048,-0.0009726708789495886,-0.003315811145811365
21,21,21,21,2019-03-07,113.48505401611328,116.3831787109375,115.51374816894533,-0.024901577074315284,-0.017562361060823428
22,22,22,22,2019-03-08,113.69073486328124,116.03727722167967,115.90638732910156,-0.02022231488520332,-0.019115878916398765
23,23,23,23,2019-03-11,113.5037612915039,117.24325561523438,115.43894958496094,-0.03189517643558648,-0.016763737892753205
24,24,24,24,2019-03-12,114.69104766845705,116.32707214355467,116.33643341064452,-0.014064004577358125,-0.01414334008658824
25,25,25,25,2019-03-13,115.11174011230467,116.0279312133789,115.83161926269533,-0.007896297826678778,-0.006214875998219793
26,26,26,26,2019-03-14,114.93411254882812,115.21459197998048,115.32676696777344,-0.0024344089262676727,-0.0034047119265472325
27,27,27,27,2019-03-15,117.7200698852539,113.48505401611328,116.3831787109375,0.03731782925828542,0.011486979382448803
28,28,28,28,2019-03-18,117.15914154052734,113.69073486328124,116.03727722167967,0.0305073819904238,0.009668137220286921
29,29,29,29,2019-03-19,117.53307342529295,113.5037612915039,117.24325561523438,0.03549937101591594,0.002471935878424425
30,30,30,30,2019-03-20,119.1317367553711,114.69104766845705,116.32707214355467,0.03871870714574821,0.024110162493862886
31,31,31,31,2019-03-21,121.12303161621094,115.11174011230467,116.0279312133789,0.052221358985986566,0.04391270575584061
32,32,32,32,2019-03-22,118.43058776855467,114.93411254882812,115.21459197998048,0.030421561903487326,0.027913094455370713
33,33,33,33,2019-03-25,118.34644317626952,117.7200698852539,113.48505401611328,0.005320870872962846,0.04283726348199113
34,34,34,34,2019-03-26,118.65494537353516,117.15914154052734,113.69073486328124,0.012767282290903292,0.043664160639155236
35,35,35,35,2019-03-27,118.62689208984376,117.53307342529295,113.5037612915039,0.009306475468337627,0.04513622050975452
36,36,36,36,2019-03-28,118.91725158691406,119.1317367553711,114.69104766845705,-0.0018004032703515804,0.03684859458842782
37,37,37,37,2019-03-29,119.6103744506836,121.12303161621094,115.11174011230467,-0.012488600601744615,0.03908058668898584
38,38,38,38,2019-04-01,119.66657257080078,118.43058776855467,114.93411254882812,0.010436364671781995,0.041175417089179156
39,39,39,39,2019-04-02,119.4230499267578,118.34644317626952,117.7200698852539,0.009097077373797724,0.014466352620787992
40,40,40,40,2019-04-03,118.46765899658205,118.65494537353516,117.15914154052734,-0.0015784118931032598,0.01116871836758948
41,41,41,41,2019-04-04,118.5426025390625,118.62689208984376,117.53307342529295,-0.0007105433624394752,0.0085893194515263
42,42,42,42,2019-04-05,119.15142059326172,118.91725158691406,119.1317367553711,0.0019691760717872597,0.00016522749039604712
43,43,43,43,2019-04-08,120.60321807861328,119.6103744506836,121.12303161621094,0.008300648104224928,-0.004291615976429131
44,44,44,44,2019-04-09,120.5095672607422,119.66657257080078,118.43058776855467,0.007044529410606071,0.017554413360258092
45,45,45,45,2019-04-10,120.67816162109376,119.4230499267578,118.34644317626952,0.010509794341257539,0.019702480127360422
46,46,46,46,2019-04-11,120.39716339111328,118.46765899658205,118.65494537353516,0.01628718260218931,0.01468306282636167
47,47,47,47,2019-04-12,119.81643676757812,118.5426025390625,118.62689208984376,0.010745792662143261,0.010027613948053515
48,48,48,48,2019-04-15,119.79771423339844,119.15142059326172,118.91725158691406,0.005424137093110515,0.007403994245871681
49,49,49,49,2019-04-16,117.56846618652344,120.60321807861328,119.6103744506836,-0.02516310874981531,-0.01707133075653111
50,50,50,50,2019-04-17,112.1078109741211,120.5095672607422,119.66657257080078,-0.06971858315981283,-0.06316518835874185
51,51,51,51,2019-04-18,112.39815521240234,120.67816162109376,119.4230499267578,-0.06861230149236985,-0.058823608329077404
52,52,52,52,2019-04-22,113.52214813232422,120.39716339111328,118.46765899658205,-0.057102800972606005,-0.04174566211695385
