,Unnamed: 0.1,Unnamed: 0,Date,XRAY,XRAY_6m,XRAY_12m
0,0,0,2019-02-05,40.96188354492188,,
1,1,1,2019-02-06,41.02825927734375,,
2,2,2,2019-02-07,40.63949966430664,,
3,3,3,2019-02-08,40.41193008422852,,
4,4,4,2019-02-11,40.74380874633789,,
5,5,5,2019-02-12,40.75328826904297,,
6,6,6,2019-02-13,41.59716796875,40.96188354492188,
7,7,7,2019-02-14,41.417022705078125,41.02825927734375,
8,8,8,2019-02-15,41.32220077514648,40.63949966430664,
9,9,9,2019-02-19,41.5687255859375,40.41193008422852,
10,10,10,2019-02-20,40.478302001953125,40.74380874633789,
11,11,11,2019-02-21,39.59648513793945,40.75328826904297,
12,12,12,2019-02-22,39.47322082519531,41.59716796875,40.96188354492188
13,13,13,2019-02-25,39.38788986206055,41.417022705078125,41.02825927734375
14,14,14,2019-02-26,39.0844612121582,41.32220077514648,40.63949966430664
15,15,15,2019-02-27,39.10343551635742,41.5687255859375,40.41193008422852
16,16,16,2019-02-28,39.59648513793945,40.478302001953125,40.74380874633789
17,17,17,2019-03-01,46.58467102050781,39.59648513793945,40.75328826904297
18,18,18,2019-03-04,46.167457580566406,39.47322082519531,41.59716796875
19,19,19,2019-03-05,46.423465728759766,39.38788986206055,41.417022705078125
20,20,20,2019-03-06,45.27615737915039,39.0844612121582,41.32220077514648
21,21,21,2019-03-07,45.7218017578125,39.10343551635742,41.5687255859375
22,22,22,2019-03-08,46.044189453125,39.59648513793945,40.478302001953125
23,23,23,2019-03-11,46.91653060913086,46.58467102050781,39.59648513793945
24,24,24,2019-03-12,46.73637390136719,46.167457580566406,39.47322082519531
25,25,25,2019-03-13,46.99239349365234,46.423465728759766,39.38788986206055
26,26,26,2019-03-14,46.64155197143555,45.27615737915039,39.0844612121582
27,27,27,2019-03-15,46.54672622680664,45.7218017578125,39.10343551635742
28,28,28,2019-03-18,46.94497680664063,46.044189453125,39.59648513793945
29,29,29,2019-03-19,46.88808822631836,46.91653060913086,46.58467102050781
30,30,30,2019-03-20,46.48983383178711,46.73637390136719,46.167457580566406
31,31,31,2019-03-21,47.42855453491211,46.99239349365234,46.423465728759766
32,32,32,2019-03-22,46.688961029052734,46.64155197143555,45.27615737915039
33,33,33,2019-03-25,46.77430725097656,46.54672622680664,45.7218017578125
34,34,34,2019-03-26,46.90704727172852,46.94497680664063,46.044189453125
35,35,35,2019-03-27,46.66999816894531,46.88808822631836,46.91653060913086
36,36,36,2019-03-28,46.87708282470703,46.48983383178711,46.73637390136719
37,37,37,2019-03-29,47.10505676269531,47.42855453491211,46.99239349365234
38,38,38,2019-04-01,47.34252166748047,46.688961029052734,46.64155197143555
39,39,39,2019-04-02,47.636985778808594,46.77430725097656,46.54672622680664
40,40,40,2019-04-03,47.82696533203125,46.90704727172852,46.94497680664063
41,41,41,2019-04-04,47.74147415161133,46.66999816894531,46.88808822631836
42,42,42,2019-04-05,47.87446212768555,46.87708282470703,46.48983383178711
43,43,43,2019-04-08,47.80796813964844,47.10505676269531,47.42855453491211
44,44,44,2019-04-09,47.89345550537109,47.34252166748047,46.688961029052734
45,45,45,2019-04-10,48.07392883300781,47.636985778808594,46.77430725097656
46,46,46,2019-04-11,47.95995330810547,47.82696533203125,46.90704727172852
47,47,47,2019-04-12,48.67237091064453,47.74147415161133,46.66999816894531
48,48,48,2019-04-15,48.662879943847656,47.87446212768555,46.87708282470703
49,49,49,2019-04-16,47.85546112060547,47.80796813964844,47.10505676269531
50,50,50,2019-04-17,46.31663131713867,47.89345550537109,47.34252166748047
51,51,51,2019-04-18,47.238037109375,48.07392883300781,47.636985778808594
52,52,52,2019-04-22,46.82959365844727,47.95995330810547,47.82696533203125
53,53,53,2019-04-23,47.26654052734375,48.67237091064453,47.74147415161133
54,54,54,2019-04-24,47.87446212768555,48.662879943847656,47.87446212768555
55,55,55,2019-04-25,47.66548156738281,47.85546112060547,47.80796813964844
56,56,56,2019-04-26,48.34940719604492,46.31663131713867,47.89345550537109
57,57,57,2019-04-29,48.054935455322266,47.238037109375,48.07392883300781
58,58,58,2019-04-30,48.5678825378418,46.82959365844727,47.95995330810547
59,59,59,2019-05-01,47.788970947265625,47.26654052734375,48.67237091064453
60,60,60,2019-05-02,48.91933822631836,47.87446212768555,48.662879943847656
61,61,61,2019-05-03,52.29145050048828,47.66548156738281,47.85546112060547
62,62,62,2019-05-06,51.98748016357422,48.34940719604492,46.31663131713867
63,63,63,2019-05-07,52.08246994018555,48.054935455322266,47.238037109375
64,64,64,2019-05-08,52.19646072387695,48.5678825378418,46.82959365844727
65,65,65,2019-05-09,52.23445129394531,47.788970947265625,47.26654052734375
66,66,66,2019-05-10,52.25345230102539,48.91933822631836,47.87446212768555
67,67,67,2019-05-13,52.12045669555664,52.29145050048828,47.66548156738281
68,68,68,2019-05-14,52.12045669555664,51.98748016357422,48.34940719604492
69,69,69,2019-05-15,52.215457916259766,52.08246994018555,48.054935455322266
70,70,70,2019-05-16,52.13946533203125,52.19646072387695,48.5678825378418
71,71,71,2019-05-17,51.70252227783203,52.23445129394531,47.788970947265625
72,72,72,2019-05-20,51.70252227783203,52.25345230102539,48.91933822631836
73,73,73,2019-05-21,52.167964935302734,52.12045669555664,52.29145050048828
74,74,74,2019-05-22,51.88299179077149,52.12045669555664,51.98748016357422
75,75,75,2019-05-23,51.04708862304688,52.215457916259766,52.08246994018555
76,76,76,2019-05-24,51.05659484863281,52.13946533203125,52.19646072387695
77,77,77,2019-05-28,50.97110366821289,51.70252227783203,52.23445129394531
