,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TRMB,TRMB_6m,TRMB_12m,TRMB_6m_ret,TRMB_12m_ret
0,0,0,0,2019-02-05,38.34000015258789,,,,
1,1,1,1,2019-02-06,38.86000061035156,,,,
2,2,2,2,2019-02-07,38.29999923706055,,,,
3,3,3,3,2019-02-08,38.18000030517578,,,,
4,4,4,4,2019-02-11,38.61000061035156,,,,
5,5,5,5,2019-02-12,38.97999954223633,,,,
6,6,6,6,2019-02-13,39.0099983215332,38.34000015258789,,0.017475173872686822,
7,7,7,7,2019-02-14,38.810001373291016,38.86000061035156,,-0.0012866504445506743,
8,8,8,8,2019-02-15,39.209999084472656,38.29999923706055,,0.023759787611994376,
9,9,9,9,2019-02-19,39.38999938964844,38.18000030517578,,0.03169196110007966,
10,10,10,10,2019-02-20,39.97999954223633,38.61000061035156,,0.03548300725790354,
11,11,11,11,2019-02-21,39.91999816894531,38.97999954223633,,0.024114895786246926,
12,12,12,12,2019-02-22,40.0,39.0099983215332,38.34000015258789,0.025378152295903122,0.04329681379252848
13,13,13,13,2019-02-25,40.54999923706055,38.810001373291016,38.86000061035156,0.04483374909043403,0.043489413282685296
14,14,14,14,2019-02-26,40.09000015258789,39.209999084472656,38.29999923706055,0.022443282036793466,0.04673631726329819
15,15,15,15,2019-02-27,40.220001220703125,39.38999938964844,38.18000030517578,0.02107138471479164,0.053431139319577214
16,16,16,16,2019-02-28,40.0099983215332,39.97999954223633,38.61000061035156,0.000750344663340563,0.036259976406379346
17,17,17,17,2019-03-01,40.470001220703125,39.91999816894531,38.97999954223633,0.013777632189013289,0.03822477413967951
18,18,18,18,2019-03-04,40.25,40.0,39.0099983215332,0.006250000000000089,0.03178676574775263
19,19,19,19,2019-03-05,39.9900016784668,40.54999923706055,38.810001373291016,-0.013810051026633352,0.03040454170114648
20,20,20,20,2019-03-06,39.38999938964844,40.09000015258789,39.209999084472656,-0.017460732359070974,0.004590673536818857
21,21,21,21,2019-03-07,38.369998931884766,40.220001220703125,39.38999938964844,-0.045997071921173305,-0.025894909204586702
22,22,22,22,2019-03-08,38.13999938964844,40.0099983215332,39.97999954223633,-0.046738290685664485,-0.046023015849313564
23,23,23,23,2019-03-11,38.7599983215332,40.470001220703125,39.91999816894531,-0.04225359148976604,-0.02905811374296352
24,24,24,24,2019-03-12,38.900001525878906,40.25,40.0,-0.03354033476077256,-0.027499961853027388
25,25,25,25,2019-03-13,39.58000183105469,39.9900016784668,40.54999923706055,-0.010252558894811914,-0.023921021559954347
26,26,26,26,2019-03-14,39.77999877929688,39.38999938964844,40.09000015258789,0.00990097475733731,-0.007732635872065408
27,27,27,27,2019-03-15,39.7599983215332,38.369998931884766,40.220001220703125,0.03622620350122996,-0.011437167707820328
28,28,28,28,2019-03-18,40.150001525878906,38.13999938964844,40.0099983215332,0.052700633675835995,0.0034992054541116424
29,29,29,29,2019-03-19,40.31999969482422,38.7599983215332,40.470001220703125,0.04024771519209147,-0.0037064868137974827
30,30,30,30,2019-03-20,40.22999954223633,38.900001525878906,40.25,0.034190179027952405,-0.0004969057829483647
31,31,31,31,2019-03-21,40.77999877929688,39.58000183105469,39.9900016784668,0.030318264091151903,0.019754865408156963
32,32,32,32,2019-03-22,39.43000030517578,39.77999877929688,39.38999938964844,-0.008798353063380504,0.0010155094223702754
33,33,33,33,2019-03-25,39.45000076293945,39.7599983215332,38.369998931884766,-0.007796719609665104,0.028147038340343267
34,34,34,34,2019-03-26,40.130001068115234,40.150001525878906,38.13999938964844,-0.0004981433873864072,0.0521762378162729
35,35,35,35,2019-03-27,39.84999847412109,40.31999969482422,38.7599983215332,-0.011656776395349677,0.028121780180323963
36,36,36,36,2019-03-28,40.290000915527344,40.22999954223633,38.900001525878906,0.0014914584631804395,0.0357326307230017
37,37,37,37,2019-03-29,40.400001525878906,40.77999877929688,39.58000183105469,-0.009318226208748448,0.020717525439345463
38,38,38,38,2019-04-01,40.97999954223633,39.43000030517578,39.77999877929688,0.03931015026791895,0.03016593262350664
39,39,39,39,2019-04-02,40.68999862670898,39.45000076293945,39.7599983215332,0.03143213789071497,0.023390350715183583
40,40,40,40,2019-04-03,40.84999847412109,40.130001068115234,40.150001525878906,0.017941624391780042,0.01743454350284379
41,41,41,41,2019-04-04,40.560001373291016,39.84999847412109,40.31999969482422,0.017816886483220662,0.00595242262607476
42,42,42,42,2019-04-05,40.5,40.290000915527344,40.22999954223633,0.005212188624987624,0.006711420851004624
43,43,43,43,2019-04-08,40.84000015258789,40.400001525878906,40.77999877929688,0.010891054705211678,0.0014713431850681413
44,44,44,44,2019-04-09,40.040000915527344,40.97999954223633,39.43000030517578,-0.022937985290609086,0.015470469328692671
45,45,45,45,2019-04-10,40.2400016784668,40.68999862670898,39.45000076293945,-0.01105915368467969,0.02002537136246385
46,46,46,46,2019-04-11,40.70000076293945,40.84999847412109,40.130001068115234,-0.0036719147315674716,0.014203829545299973
47,47,47,47,2019-04-12,40.9900016784668,40.560001373291016,39.84999847412109,0.010601585074376807,0.028607358795409654
48,48,48,48,2019-04-15,40.93000030517578,40.5,40.290000915527344,0.0106172914858218,0.015884819436720043
49,49,49,49,2019-04-16,41.34000015258789,40.84000015258789,40.400001525878906,0.012242899072768987,0.023267291861532646
50,50,50,50,2019-04-17,41.0099983215332,40.040000915527344,40.97999954223633,0.02422570888677722,0.000732034642068724
51,51,51,51,2019-04-18,41.13999938964844,40.2400016784668,40.68999862670898,0.02236574735689545,0.011059247434923147
52,52,52,52,2019-04-22,40.540000915527344,40.70000076293945,40.84999847412109,-0.003931200108423627,-0.007588679808400278
53,53,53,53,2019-04-23,41.11000061035156,40.9900016784668,40.560001373291016,0.002927517125421497,0.013560138521659937
54,54,54,54,2019-04-24,41.06999969482422,40.93000030517578,40.5,0.003420459042379642,0.014074066538869667
55,55,55,55,2019-04-25,40.29999923706055,41.34000015258789,40.84000015258789,-0.02515725475782904,-0.013222353416008192
56,56,56,56,2019-04-26,40.630001068115234,41.0099983215332,40.040000915527344,-0.009265966080726273,0.01473526820922455
57,57,57,57,2019-04-29,40.45000076293945,41.13999938964844,40.2400016784668,-0.016771964923329552,0.005218664903412051
58,58,58,58,2019-04-30,40.81999969482422,40.540000915527344,40.70000076293945,0.0069067284897281755,0.0029483766495168595
59,59,59,59,2019-05-01,40.459999084472656,41.11000061035156,40.9900016784668,-0.015811275023801308,-0.012930045676786683
60,60,60,60,2019-05-02,42.119998931884766,41.06999969482422,40.93000030517578,0.025566088260596587,0.02907399506074526
61,61,61,61,2019-05-03,43.34999847412109,40.29999923706055,41.34000015258789,0.07568236463527556,0.04862114934964201
62,62,62,62,2019-05-06,42.88999938964844,40.630001068115234,41.0099983215332,0.05562388043614308,0.04584250536601697
63,63,63,63,2019-05-07,42.650001525878906,40.45000076293945,41.13999938964844,0.05438815133361152,0.036703990243869944
64,64,64,64,2019-05-08,42.18999862670898,40.81999969482422,40.540000915527344,0.033561953506297204,0.040700485296478295
65,65,65,65,2019-05-09,42.130001068115234,40.459999084472656,41.11000061035156,0.041275383624105766,0.02481149215811085
66,66,66,66,2019-05-10,42.15999984741211,42.119998931884766,41.06999969482422,0.0009496893765841286,0.02654005747960242
67,67,67,67,2019-05-13,40.400001525878906,43.34999847412109,40.29999923706055,-0.06805068170886464,0.002481446419641431
68,68,68,68,2019-05-14,40.790000915527344,42.88999938964844,40.630001068115234,-0.04896242723258071,0.003937973005313733
69,69,69,69,2019-05-15,40.470001220703125,42.650001525878906,40.45000076293945,-0.05111372162209682,0.0004944488847080653
70,70,70,70,2019-05-16,40.9900016784668,42.18999862670898,40.81999969482422,-0.028442687539755096,0.004164673809738728
71,71,71,71,2019-05-17,40.060001373291016,42.130001068115234,40.459999084472656,-0.049133625500684674,-0.009886251117962819
72,72,72,72,2019-05-20,39.5099983215332,42.15999984741211,42.119998931884766,-0.06285582389634592,-0.06196582802797268
73,73,73,73,2019-05-21,40.36000061035156,40.400001525878906,43.34999847412109,-0.0009901216340727492,-0.06897342489076397
74,74,74,74,2019-05-22,40.790000915527344,40.790000915527344,42.88999938964844,0.0,-0.04896242723258071
75,75,75,75,2019-05-23,40.22999954223633,40.470001220703125,42.650001525878906,-0.005930360050101058,-0.05674095889947817
76,76,76,76,2019-05-24,40.65999984741211,40.9900016784668,42.18999862670898,-0.00805078842502338,-0.03626448990515685
77,77,77,77,2019-05-28,40.4900016784668,40.060001373291016,42.130001068115234,0.010733906401273252,-0.03892711483669098
78,78,78,78,2019-05-29,39.86000061035156,39.5099983215332,42.15999984741211,0.008858575137615343,-0.054554061797553066
79,79,79,79,2019-05-30,40.2400016784668,40.36000061035156,40.400001525878906,-0.0029732143228459185,-0.003960392113094846
80,80,80,80,2019-05-31,39.900001525878906,40.790000915527344,40.790000915527344,-0.021819057849288837,-0.021819057849288837
81,81,81,81,2019-06-03,40.0,40.22999954223633,40.470001220703125,-0.005717115208884294,-0.011613570707348697
82,82,82,82,2019-06-04,41.09999847412109,40.65999984741211,40.9900016784668,0.01082141240433332,0.002683503077582694
83,83,83,83,2019-06-05,41.63999938964844,40.4900016784668,40.060001373291016,0.02840201688095334,0.03944078787303407
84,84,84,84,2019-06-06,41.7599983215332,39.86000061035156,39.5099983215332,0.047666775767389646,0.05694761061970821
85,85,85,85,2019-06-07,42.5099983215332,40.2400016784668,40.36000061035156,0.05641144503930584,0.053270507400096756
86,86,86,86,2019-06-10,43.09000015258789,39.900001525878906,40.790000915527344,0.07994983721090754,0.05638634923847263
87,87,87,87,2019-06-11,43.16999816894531,40.0,40.22999954223633,0.0792499542236329,0.07307975789615329
88,88,88,88,2019-06-12,42.59999847412109,41.09999847412109,40.65999984741211,0.03649635171992727,0.047712706197475585
89,89,89,89,2019-06-13,43.060001373291016,41.63999938964844,40.4900016784668,0.034101873305876884,0.0634724521681358
90,90,90,90,2019-06-14,42.720001220703125,41.7599983215332,39.86000061035156,0.022988576095677393,0.07175114316503106
91,91,91,91,2019-06-17,42.79999923706055,42.5099983215332,40.2400016784668,0.006821946059227368,0.06361822693371444
92,92,92,92,2019-06-18,43.93000030517578,43.09000015258789,39.900001525878906,0.019494085625744395,0.1010024718090059
93,93,93,93,2019-06-19,43.63999938964844,43.16999816894531,40.0,0.010887218916799224,0.09099998474121085
94,94,94,94,2019-06-20,43.709999084472656,42.59999847412109,41.09999847412109,0.02605635328897682,0.06350366684307729
95,95,95,95,2019-06-21,43.400001525878906,43.060001373291016,41.63999938964844,0.007895962418588809,0.04226710283449231
96,96,96,96,2019-06-24,43.65999984741211,42.720001220703125,41.7599983215332,0.022003712543281484,0.04549812265914732
97,97,97,97,2019-06-25,43.650001525878906,42.79999923706055,42.5099983215332,0.01985986691519237,0.02681729591525861
98,98,98,98,2019-06-26,43.7599983215332,43.93000030517578,43.09000015258789,-0.003869837980004509,0.015548808692799954
99,99,99,99,2019-06-27,44.40999984741211,43.63999938964844,43.16999816894531,0.017644373706071192,0.028723690782058053
100,100,100,100,2019-06-28,45.11000061035156,43.709999084472656,42.59999847412109,0.0320293194967427,0.05892024005013208
