,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SCHW,SCHW_6m,SCHW_12m,SCHW_6m_ret,SCHW_12m_ret
0,0,0,0,2019-02-05,43.325958251953125,,,,
1,1,1,1,2019-02-06,42.87959671020508,,,,
2,2,2,2,2019-02-07,42.014739990234375,,,,
3,3,3,3,2019-02-08,41.624168395996094,,,,
4,4,4,4,2019-02-11,41.605567932128906,,,,
5,5,5,5,2019-02-12,42.66570663452149,,,,
6,6,6,6,2019-02-13,42.917724609375,43.325958251953125,,-0.009422380001479214,
7,7,7,7,2019-02-14,42.2736701965332,42.87959671020508,,-0.0141308818216489,
8,8,8,8,2019-02-15,43.272403717041016,42.014739990234375,,0.029933869092108267,
9,9,9,9,2019-02-19,43.92578887939453,41.624168395996094,,0.05529529050290494,
10,10,10,10,2019-02-20,43.356422424316406,41.605567932128906,,0.04208221589580674,
11,11,11,11,2019-02-21,42.6750373840332,42.66570663452149,,0.00021869436246868545,
12,12,12,12,2019-02-22,43.09505844116211,42.917724609375,43.325958251953125,0.004131948592362544,-0.00532936419890051
13,13,13,13,2019-02-25,42.94571685791016,42.2736701965332,42.87959671020508,0.015897523405291603,0.0015419955591455814
14,14,14,14,2019-02-26,43.45909118652344,43.272403717041016,42.014739990234375,0.004314238485644939,0.034377249427814505
15,15,15,15,2019-02-27,43.46842956542969,43.92578887939453,41.624168395996094,-0.010412091066152485,0.044307459836506746
16,16,16,16,2019-02-28,42.94571685791016,43.356422424316406,41.605567932128906,-0.009472773431045356,0.03221080716810398
17,17,17,17,2019-03-01,43.69244766235352,42.6750373840332,42.66570663452149,0.0238408760879254,0.02406478431559078
18,18,18,18,2019-03-04,42.60969543457031,43.09505844116211,42.917724609375,-0.011262613955019152,-0.007177201904534414
19,19,19,19,2019-03-05,42.82438659667969,42.94571685791016,42.2736701965332,-0.0028252005114248746,0.013027409202611695
20,20,20,20,2019-03-06,42.24567794799805,43.45909118652344,43.272403717041016,-0.027920814849015207,-0.023727033417342502
21,21,21,21,2019-03-07,41.0882568359375,43.46842956542969,43.92578887939453,-0.05475635428488379,-0.06459831720377163
22,22,22,22,2019-03-08,40.55621719360352,42.94571685791016,43.356422424316406,-0.05563999949546816,-0.06458570781758943
23,23,23,23,2019-03-11,40.87356948852539,43.69244766235352,42.6750373840332,-0.06451637124136089,-0.04221362196584344
24,24,24,24,2019-03-12,41.06025314331055,42.60969543457031,43.09505844116211,-0.03636360869180644,-0.047216673360118366
25,25,25,25,2019-03-13,41.4522819519043,42.82438659667969,42.94571685791016,-0.03204026382672753,-0.03477494416840288
26,26,26,26,2019-03-14,42.28300094604492,42.24567794799805,43.45909118652344,0.0008834749460717717,-0.027062007243336406
27,27,27,27,2019-03-15,42.42301940917969,41.0882568359375,43.46842956542969,0.032485256762578185,-0.02404987175063278
28,28,28,28,2019-03-18,42.843048095703125,40.55621719360352,42.94571685791016,0.056386691371706155,-0.0023906636032349216
