,Unnamed: 0.1,Unnamed: 0,Date,MTCH,MTCH_6m,MTCH_12m
0,0,0,2019-02-05,55.68000030517578,,
1,1,1,2019-02-06,53.08000183105469,,
2,2,2,2019-02-07,55.7599983215332,,
3,3,3,2019-02-08,56.61000061035156,,
4,4,4,2019-02-11,57.72999954223633,,
5,5,5,2019-02-12,57.650001525878906,,
6,6,6,2019-02-13,57.630001068115234,55.68000030517578,
7,7,7,2019-02-14,57.77999877929688,53.08000183105469,
8,8,8,2019-02-15,57.33000183105469,55.7599983215332,
9,9,9,2019-02-19,57.08000183105469,56.61000061035156,
10,10,10,2019-02-20,56.47999954223633,57.72999954223633,
11,11,11,2019-02-21,56.72999954223633,57.650001525878906,
12,12,12,2019-02-22,57.290000915527344,57.630001068115234,55.68000030517578
13,13,13,2019-02-25,55.970001220703125,57.77999877929688,53.08000183105469
14,14,14,2019-02-26,55.34999847412109,57.33000183105469,55.7599983215332
15,15,15,2019-02-27,55.77999877929688,57.08000183105469,56.61000061035156
16,16,16,2019-02-28,55.380001068115234,56.47999954223633,57.72999954223633
17,17,17,2019-03-01,55.59999847412109,56.72999954223633,57.650001525878906
18,18,18,2019-03-04,54.47999954223633,57.290000915527344,57.630001068115234
19,19,19,2019-03-05,55.09000015258789,55.970001220703125,57.77999877929688
20,20,20,2019-03-06,54.70000076293945,55.34999847412109,57.33000183105469
21,21,21,2019-03-07,53.790000915527344,55.77999877929688,57.08000183105469
22,22,22,2019-03-08,53.02999877929688,55.380001068115234,56.47999954223633
23,23,23,2019-03-11,53.58000183105469,55.59999847412109,56.72999954223633
24,24,24,2019-03-12,53.900001525878906,54.47999954223633,57.290000915527344
25,25,25,2019-03-13,53.459999084472656,55.09000015258789,55.970001220703125
26,26,26,2019-03-14,54.15999984741211,54.70000076293945,55.34999847412109
27,27,27,2019-03-15,55.0,53.790000915527344,55.77999877929688
28,28,28,2019-03-18,55.68999862670898,53.02999877929688,55.380001068115234
29,29,29,2019-03-19,57.150001525878906,53.58000183105469,55.59999847412109
30,30,30,2019-03-20,58.130001068115234,53.900001525878906,54.47999954223633
31,31,31,2019-03-21,59.5099983215332,53.459999084472656,55.09000015258789
32,32,32,2019-03-22,57.59000015258789,54.15999984741211,54.70000076293945
33,33,33,2019-03-25,56.93999862670898,55.0,53.790000915527344
34,34,34,2019-03-26,56.97999954223633,55.68999862670898,53.02999877929688
35,35,35,2019-03-27,55.2400016784668,57.150001525878906,53.58000183105469
36,36,36,2019-03-28,55.869998931884766,58.130001068115234,53.900001525878906
37,37,37,2019-03-29,56.61000061035156,59.5099983215332,53.459999084472656
38,38,38,2019-04-01,56.2599983215332,57.59000015258789,54.15999984741211
