,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,A,A_6m,A_12m,A_6m_ret,A_12m_ret
0,0,0,0,2019-02-05,73.62850952148438,,,,
1,1,1,1,2019-02-06,73.61888122558594,,,,
2,2,2,2,2019-02-07,72.68296813964844,,,,
3,3,3,3,2019-02-08,73.13645935058594,,,,
4,4,4,4,2019-02-11,73.4066162109375,,,,
5,5,5,5,2019-02-12,74.36183166503906,,,,
6,6,6,6,2019-02-13,74.5354995727539,73.62850952148438,,0.012318462741730096,
7,7,7,7,2019-02-14,74.31356048583984,73.61888122558594,,0.009436156169301713,
8,8,8,8,2019-02-15,75.54859924316406,72.68296813964844,,0.03942644579414778,
9,9,9,9,2019-02-19,74.7960205078125,73.13645935058594,,0.02269129750007881,
10,10,10,10,2019-02-20,75.79948425292969,73.4066162109375,,0.03259744373880635,
11,11,11,11,2019-02-21,75.15302276611328,74.36183166503906,,0.010639747345629225,
12,12,12,12,2019-02-22,75.66436767578125,74.5354995727539,73.62850952148438,0.015145375150071416,0.02765040563129717
13,13,13,13,2019-02-25,76.55204772949219,74.31356048583984,73.61888122558594,0.030122190741740607,0.03984258460704293
14,14,14,14,2019-02-26,75.7898178100586,75.54859924316406,72.68296813964844,0.003192892645410117,0.04274522284836868
15,15,15,15,2019-02-27,76.62924194335938,74.7960205078125,73.13645935058594,0.024509611916524232,0.04775706431221227
16,16,16,16,2019-02-28,76.6485366821289,75.79948425292969,73.4066162109375,0.01120129559676264,0.04416387293858626
17,17,17,17,2019-03-01,78.38528442382812,75.15302276611328,74.36183166503906,0.04300907054363057,0.05410642353341433
18,18,18,18,2019-03-04,77.31429290771484,75.66436767578125,74.5354995727539,0.021805841806588067,0.03728147461128328
19,19,19,19,2019-03-05,76.93800354003906,76.55204772949219,74.31356048583984,0.005041743780789698,0.03531580289036618
20,20,20,20,2019-03-06,75.98278045654297,75.7898178100586,75.54859924316406,0.0025460233585463676,0.0057470451832128955
21,21,21,21,2019-03-07,75.96349334716797,76.62924194335938,74.7960205078125,-0.008687918336494738,0.015608756073239638
22,22,22,22,2019-03-08,75.2398681640625,76.6485366821289,75.79948425292969,-0.018378283252925343,-0.007382848239439799
23,23,23,23,2019-03-11,76.51346588134766,78.38528442382812,75.15302276611328,-0.02387971870280614,0.01810230733457341
24,24,24,24,2019-03-12,77.12132263183594,77.31429290771484,75.66436767578125,-0.0024959198179467235,0.019255496355929047
25,25,25,25,2019-03-13,77.31429290771484,76.93800354003906,76.55204772949219,0.0048908127370363985,0.009957214742525977
26,26,26,26,2019-03-14,77.77742767333984,75.98278045654297,75.7898178100586,0.023619130624251028,0.026225288841075223
27,27,27,27,2019-03-15,78.25021362304688,75.96349334716797,76.62924194335938,0.030102884624172654,0.02115343488437027
