,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LLY,LLY_6m,LLY_12m,LLY_6m_ret,LLY_12m_ret
0,0,0,0,2019-02-05,111.10295867919922,,,,
1,1,1,1,2019-02-06,110.03279876708984,,,,
2,2,2,2,2019-02-07,108.39989471435548,,,,
3,3,3,3,2019-02-08,110.33724975585938,,,,
4,4,4,4,2019-02-11,108.8704071044922,,,,
5,5,5,5,2019-02-12,110.23577117919922,,,,
6,6,6,6,2019-02-13,110.38338470458984,111.10295867919922,,-0.006476640974855452,
7,7,7,7,2019-02-14,112.00194549560548,110.03279876708984,,0.017895997835007282,
8,8,8,8,2019-02-15,113.60663604736328,108.39989471435548,,0.04803271577641355,
9,9,9,9,2019-02-19,113.28196716308594,110.33724975585938,,0.026688334299996397,
10,10,10,10,2019-02-20,113.77357482910156,108.8704071044922,,0.045036735463874766,
11,11,11,11,2019-02-21,113.82923889160156,110.23577117919922,,0.03259801853756539,
12,12,12,12,2019-02-22,115.0165023803711,110.38338470458984,111.10295867919922,0.041972962581102946,0.03522447779695881
13,13,13,13,2019-02-25,114.91447448730467,112.00194549560548,110.03279876708984,0.02600427143306594,0.04436564165334045
14,14,14,14,2019-02-26,115.6379623413086,113.60663604736328,108.39989471435548,0.017880348935765067,0.06677190643059339
15,15,15,15,2019-02-27,116.57479095458984,113.28196716308594,110.33724975585938,0.0290675018625286,0.05653159936949792
16,16,16,16,2019-02-28,117.14059448242188,113.77357482910156,108.8704071044922,0.02959403937494165,0.07596359376145312
17,17,17,17,2019-03-01,119.50587463378906,113.82923889160156,110.23577117919922,0.04986975049172826,0.08409342408028664
18,18,18,18,2019-03-04,118.22582244873048,115.0165023803711,110.38338470458984,0.027903126959519575,0.07104726644439041
19,19,19,19,2019-03-05,119.18122863769533,114.91447448730467,112.00194549560548,0.03712982345720106,0.06409962889770981
20,20,20,20,2019-03-06,117.50236511230467,115.6379623413086,113.60663604736328,0.016122757036251212,0.03429138649363095
21,21,21,21,2019-03-07,117.1869659423828,116.57479095458984,113.28196716308594,0.005251349650984283,0.03447149512927372
22,22,22,22,2019-03-08,117.5208969116211,117.14059448242188,113.77357482910156,0.003246546860032229,0.03293666467058243
23,23,23,23,2019-03-11,114.55272674560548,119.50587463378906,113.82923889160156,-0.04144689876846541,0.006355905223023539
24,24,24,24,2019-03-12,114.55272674560548,118.22582244873048,115.0165023803711,-0.031068472411920567,-0.004032252982549056
25,25,25,25,2019-03-13,115.30403137207033,119.18122863769533,114.91447448730467,-0.03253194575977625,0.003389972294645105
26,26,26,26,2019-03-14,114.16314697265624,117.50236511230467,115.6379623413086,-0.02841830576309612,-0.012753730166045307
27,27,27,27,2019-03-15,114.96086883544922,117.1869659423828,116.57479095458984,-0.018996115216670773,-0.013844520808699579
28,28,28,28,2019-03-18,116.16666412353516,117.5208969116211,117.14059448242188,-0.011523336050646038,-0.00831420024108609
29,29,29,29,2019-03-19,117.41886138916016,114.55272674560548,119.50587463378906,0.02502022190986053,-0.01746368746326743
30,30,30,30,2019-03-20,118.87512969970705,114.55272674560548,118.22582244873048,0.03773286832098366,0.0054920933306099595
31,31,31,31,2019-03-21,119.01425170898438,115.30403137207033,119.18122863769533,0.03217771566842864,-0.001401033792146511
32,32,32,32,2019-03-22,119.00497436523438,114.16314697265624,117.50236511230467,0.04241147446415283,0.012787906451870557
33,33,33,33,2019-03-25,120.46121978759766,114.96086883544922,117.1869659423828,0.04784541912275775,0.027940426811841057
34,34,34,34,2019-03-26,121.5279541015625,116.16666412353516,117.5208969116211,0.046151708138282954,0.03409655044544824
35,35,35,35,2019-03-27,119.44093322753906,117.41886138916016,114.55272674560548,0.017221013851234535,0.042672109349165765
36,36,36,36,2019-03-28,119.60790252685548,118.87512969970705,114.55272674560548,0.006164223155840087,0.044129685297464416
37,37,37,37,2019-03-29,120.35919952392578,119.01425170898438,115.30403137207033,0.011300729077641014,0.043842076393175944
38,38,38,38,2019-04-01,119.7006607055664,119.00497436523438,114.16314697265624,0.00584585933523174,0.048505265313302015
39,39,39,39,2019-04-02,119.95111083984376,120.46121978759766,114.96086883544922,-0.004234632096979718,0.043408179278267234
40,40,40,40,2019-04-03,117.84554290771484,121.5279541015625,116.16666412353516,-0.030300939574529617,0.014452328444193974
41,41,41,41,2019-04-04,116.50985717773438,119.44093322753906,117.41886138916016,-0.02453996272970249,-0.00774155191654502
42,42,42,42,2019-04-05,117.7898941040039,119.60790252685548,118.87512969970705,-0.01519973500449423,-0.00912920640713133
43,43,43,43,2019-04-08,117.94756317138672,120.35919952392578,119.01425170898438,-0.02003699228707201,-0.008962695830798006
44,44,44,44,2019-04-09,118.02176666259766,119.7006607055664,119.00497436523438,-0.014025770894434797,-0.00826190424292006
45,45,45,45,2019-04-10,117.97540283203124,119.95111083984376,120.46121978759766,-0.016470943820190653,-0.020635827529801865
46,46,46,46,2019-04-11,116.08319091796876,117.84554290771484,121.5279541015625,-0.014954761514622383,-0.04480255776414599
47,47,47,47,2019-04-12,114.14458465576172,116.50985717773438,119.44093322753906,-0.02030105073740207,-0.04434282643863485
48,48,48,48,2019-04-15,115.09070587158205,117.7898941040039,119.60790252685548,-0.02291527853856956,-0.037766707381723275
49,49,49,49,2019-04-16,111.26920318603516,117.94756317138672,120.35919952392578,-0.05662143248900697,-0.07552390157001387
50,50,50,50,2019-04-17,108.05985260009766,118.02176666259766,119.7006607055664,-0.08440743046135946,-0.09724932207435533
51,51,51,51,2019-04-18,106.85401916503906,117.97540283203124,119.95111083984376,-0.09426866448446347,-0.10918691442792616
52,52,52,52,2019-04-22,107.1044692993164,116.08319091796876,117.84554290771484,-0.07734730194483763,-0.09114535300507542
53,53,53,53,2019-04-23,108.97813415527344,114.14458465576172,116.50985717773438,-0.04526233562520121,-0.06464451339058275
54,54,54,54,2019-04-24,109.451171875,115.09070587158205,117.7898941040039,-0.049000776855731676,-0.07079318894404585
55,55,55,55,2019-04-25,109.66452026367188,111.26920318603516,117.94756317138672,-0.014421626797132325,-0.07022648611806381
56,56,56,56,2019-04-26,111.18570709228516,108.05985260009766,118.02176666259766,0.02892706603770323,-0.057922023738684825
57,57,57,57,2019-04-29,110.93527221679688,106.85401916503906,117.97540283203124,0.03819466112410996,-0.059674563054960106
58,58,58,58,2019-04-30,108.56072998046876,107.1044692993164,116.08319091796876,0.01359663784974896,-0.06480232734828784
59,59,59,59,2019-05-01,109.61815643310548,108.97813415527344,114.14458465576172,0.005872942152965521,-0.039655216551070516
60,60,60,60,2019-05-02,109.87786102294922,109.451171875,115.09070587158205,0.0038984429370616525,-0.04529336065111378
61,61,61,61,2019-05-03,108.44017028808594,109.66452026367188,111.26920318603516,-0.011164504004049558,-0.025425120491060382
62,62,62,62,2019-05-06,108.19900512695312,111.18570709228516,108.05985260009766,-0.026862283322559133,0.0012877356715490507
63,63,63,63,2019-05-07,106.61288452148438,110.93527221679688,106.85401916503906,-0.03896315039337006,-0.0022566735948625904
64,64,64,64,2019-05-08,107.82796478271484,108.56072998046876,107.1044692993164,-0.006749818261960416,0.006755044753329109
65,65,65,65,2019-05-09,107.41056060791016,109.61815643310548,108.97813415527344,-0.020138961436945046,-0.01438429423951948
66,66,66,66,2019-05-10,107.80012512207033,109.87786102294922,109.451171875,-0.018909504440070335,-0.01508477912703643
67,67,67,67,2019-05-13,106.08416748046876,108.44017028808594,109.66452026367188,-0.02172629203143206,-0.03264823276110351
68,68,68,68,2019-05-14,106.61288452148438,108.19900512695312,111.18570709228516,-0.014659290107221445,-0.04112779142561285
69,69,69,69,2019-05-15,107.24362182617188,106.61288452148438,110.93527221679688,0.0059161451968818835,-0.03327751685154334
70,70,70,70,2019-05-16,108.8805923461914,107.82796478271484,108.56072998046876,0.009762101747888163,0.002946391073274768
71,71,71,71,2019-05-17,108.20901489257812,107.41056060791016,109.61815643310548,0.007433666486321044,-0.012855001273327282
72,72,72,72,2019-05-20,108.41422271728516,107.80012512207033,109.87786102294922,0.005696631562527754,-0.013320593357367683
