,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,INVH,INVH_6m,INVH_12m,INVH_6m_ret,INVH_12m_ret
0,0,0,0,2019-02-05,20.270584106445312,,,,
1,1,1,1,2019-02-06,19.890453338623047,,,,
2,2,2,2,2019-02-07,19.987695693969727,,,,
3,3,3,3,2019-02-08,20.17333602905273,,,,
4,4,4,4,2019-02-11,20.261743545532227,,,,
5,5,5,5,2019-02-12,20.31508445739746,,,,
6,6,6,6,2019-02-13,20.386215209960938,20.270584106445312,,0.005704379454899877,
7,7,7,7,2019-02-14,20.22618103027344,19.890453338623047,,0.01687883558684322,
8,8,8,8,2019-02-15,20.910762786865234,19.987695693969727,,0.046181766374099764,
9,9,9,9,2019-02-19,21.00855827331543,20.17333602905273,,0.04140228681363611,
10,10,10,10,2019-02-20,20.65292930603028,20.261743545532227,,0.019306618880995163,
11,11,11,11,2019-02-21,20.644041061401367,20.31508445739746,,0.016192726379934852,
12,12,12,12,2019-02-22,20.492900848388672,20.386215209960938,20.270584106445312,0.005233224378775603,0.010967456131304676
13,13,13,13,2019-02-25,20.44844627380371,20.22618103027344,19.890453338623047,0.010988987154697982,0.0280533040489912
14,14,14,14,2019-02-26,20.484006881713867,20.910762786865234,19.987695693969727,-0.02040843318348129,0.024830835697277287
15,15,15,15,2019-02-27,20.501787185668945,21.00855827331543,20.17333602905273,-0.024122125900003955,0.01628144973856549
16,16,16,16,2019-02-28,20.44844627380371,20.65292930603028,20.261743545532227,-0.00990092152045785,0.009214544042171147
17,17,17,17,2019-03-01,20.26174545288086,20.644041061401367,20.31508445739746,-0.018518448368875506,-0.0026255861563587723
18,18,18,18,2019-03-04,20.60847854614257,20.492900848388672,20.386215209960938,0.0056398895700013885,0.010902628756368271
19,19,19,19,2019-03-05,20.68848991394043,20.44844627380371,20.22618103027344,0.011738967201837536,0.0228569537163259
20,20,20,20,2019-03-06,20.759620666503903,20.484006881713867,20.910762786865234,0.013455071870537072,-0.0072279582481931115
21,21,21,21,2019-03-07,20.75072860717773,20.501787185668945,21.00855827331543,0.012142425401957091,-0.012272601612324241
22,22,22,22,2019-03-08,20.839635848999023,20.44844627380371,20.65292930603028,0.0191305280585774,0.009040196681166623
23,23,23,23,2019-03-11,20.91964530944824,20.26174545288086,20.644041061401367,0.032470048451518574,0.013350305166858867
24,24,24,24,2019-03-12,20.910762786865234,20.60847854614257,20.492900848388672,0.0146679552323985,0.020390570450128376
25,25,25,25,2019-03-13,21.026336669921875,20.68848991394043,20.44844627380371,0.016330179601643957,0.02826084624622527
26,26,26,26,2019-03-14,21.213043212890625,20.759620666503903,20.484006881713867,0.0218415622169017,0.035590513876831986
27,27,27,27,2019-03-15,21.204151153564453,20.75072860717773,20.501787185668945,0.02185092171799119,0.03425867030687302
28,28,28,28,2019-03-18,20.92854118347168,20.839635848999023,20.44844627380371,0.004266165451107362,0.023478307507549534
29,29,29,29,2019-03-19,20.71516227722168,20.91964530944824,20.26174545288086,-0.009774689255090063,0.022377974562717284
30,30,30,30,2019-03-20,20.71516227722168,20.910762786865234,20.60847854614257,-0.009354059038268026,0.005176691274916045
31,31,31,31,2019-03-21,21.204151153564453,21.026336669921875,20.68848991394043,0.008456750523591738,0.024925030380132274
32,32,32,32,2019-03-22,21.35529327392578,21.213043212890625,20.759620666503903,0.006705782834059093,0.028693809823943983
33,33,33,33,2019-03-25,21.399742126464844,21.204151153564453,20.75072860717773,0.009224183108481165,0.031276661729488175
34,34,34,34,2019-03-26,21.630897521972656,20.92854118347168,20.839635848999023,0.03355973702819104,0.037969073869956294
35,35,35,35,2019-03-27,21.47086524963379,20.71516227722168,20.91964530944824,0.036480668714967246,0.026349392259370497
36,36,36,36,2019-03-28,21.497539520263672,20.71516227722168,20.910762786865234,0.03776833763461718,0.02806099133633766
37,37,37,37,2019-03-29,21.630897521972656,21.204151153564453,21.026336669921875,0.02012560490243742,0.028752552645825658
38,38,38,38,2019-04-01,21.630897521972656,21.35529327392578,21.213043212890625,0.012905664394849525,0.019697989811669814
39,39,39,39,2019-04-02,21.7020206451416,21.399742126464844,21.204151153564453,0.014125334636763354,0.02347981241840258
40,40,40,40,2019-04-03,21.76425743103028,21.630897521972656,20.92854118347168,0.006165250837241398,0.039931892062243124
41,41,41,41,2019-04-04,21.72869682312012,21.47086524963379,20.71516227722168,0.01200843890027814,0.04892718349655034
42,42,42,42,2019-04-05,21.79093170166016,21.497539520263672,20.71516227722168,0.013647709828370491,0.051931498775724894
43,43,43,43,2019-04-08,21.657569885253903,21.630897521972656,21.204151153564453,0.0012330678028571462,0.021383488940712958
44,44,44,44,2019-04-09,21.399742126464844,21.630897521972656,21.35529327392578,-0.010686352485975492,0.0020813974300850635
45,45,45,45,2019-04-10,21.55977439880371,21.7020206451416,21.399742126464844,-0.0065545162205775664,0.007478233681188051
46,46,46,46,2019-04-11,21.782041549682617,21.76425743103028,21.630897521972656,0.000817124990764917,0.0069874136085397165
47,47,47,47,2019-04-12,22.1198844909668,21.72869682312012,21.47086524963379,0.018003273322422242,0.030227903430397607
48,48,48,48,2019-04-15,22.173227310180664,21.79093170166016,21.497539520263672,0.017543793618121306,0.03143093605108094
49,49,49,49,2019-04-16,21.657569885253903,21.657569885253903,21.630897521972656,0.0,0.0012330678028571462
50,50,50,50,2019-04-17,21.479761123657227,21.399742126464844,21.630897521972656,0.003739250534866123,-0.006987060900358166
51,51,51,51,2019-04-18,21.68423843383789,21.55977439880371,21.7020206451416,0.005772974834146849,-0.0008193804436220642
52,52,52,52,2019-04-22,21.328617095947266,21.782041549682617,21.76425743103028,-0.020816435075708406,-0.02001631971426243
53,53,53,53,2019-04-23,21.586450576782227,22.1198844909668,21.72869682312012,-0.024115583171440802,-0.006546469284183676
54,54,54,54,2019-04-24,21.906509399414062,22.173227310180664,21.79093170166016,-0.012028826793479053,0.005303935569909379
55,55,55,55,2019-04-25,22.022090911865234,21.657569885253903,21.657569885253903,0.016831113949655307,0.016831113949655307
56,56,56,56,2019-04-26,22.22657012939453,21.479761123657227,21.399742126464844,0.03476803123824257,0.03863728815251277
57,57,57,57,2019-04-29,21.99541473388672,21.68423843383789,21.55977439880371,0.014350344882910093,0.02020616389692753
58,58,58,58,2019-04-30,22.10210227966309,21.328617095947266,21.782041549682617,0.03626513525168007,0.014693789342493213
59,59,59,59,2019-05-01,22.03097343444824,21.586450576782227,22.1198844909668,0.020592679472007713,-0.004019508173963127
60,60,60,60,2019-05-02,22.0131950378418,21.906509399414062,22.173227310180664,0.004870042802464614,-0.0072173648923621325
61,61,61,61,2019-05-03,22.12877082824707,22.022090911865234,21.657569885253903,0.0048442228673371,0.021756870484070268
62,62,62,62,2019-05-06,22.093212127685547,22.22657012939453,21.479761123657227,-0.005999936154459484,0.02855948911613737
63,63,63,63,2019-05-07,21.879838943481445,21.99541473388672,21.68423843383789,-0.005254540175921973,0.00902040024326256
64,64,64,64,2019-05-08,21.72869682312012,22.10210227966309,21.328617095947266,-0.01689456739536277,0.0187578840847058
65,65,65,65,2019-05-09,21.942068099975582,22.03097343444824,21.586450576782227,-0.004035470095644644,0.01647410823416462
66,66,66,66,2019-05-10,22.25324440002441,22.0131950378418,21.906509399414062,0.010904794227732717,0.01582794384483832
67,67,67,67,2019-05-13,22.08432006835937,22.12877082824707,22.022090911865234,-0.0020087315392574023,0.0028257605848229783
68,68,68,68,2019-05-14,22.12900924682617,22.093212127685547,22.22657012939453,0.0016202768041937432,-0.004389380907643514
69,69,69,69,2019-05-15,22.316694259643555,21.879838943481445,21.99541473388672,0.01996611205825438,0.01460665914436543
70,70,70,70,2019-05-16,22.620567321777344,21.72869682312012,22.10210227966309,0.04104574268385219,0.023457725222424397
71,71,71,71,2019-05-17,22.656309127807617,21.942068099975582,22.03097343444824,0.03255121735005595,0.028384387790218346
72,72,72,72,2019-05-20,22.459688186645508,22.25324440002441,22.0131950378418,0.009277019696996236,0.02028297791557132
73,73,73,73,2019-05-21,22.73675346374512,22.08432006835937,22.12877082824707,0.029542833710352934,0.027474758549262512
