,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ORLY,ORLY_6m,ORLY_12m,ORLY_6m_ret,ORLY_12m_ret
0,0,0,0,2019-02-05,358.2099914550781,,,,
1,1,1,1,2019-02-06,353.6199951171875,,,,
2,2,2,2,2019-02-07,365.4599914550781,,,,
3,3,3,3,2019-02-08,360.2300109863281,,,,
4,4,4,4,2019-02-11,366.6799926757813,,,,
5,5,5,5,2019-02-12,378.489990234375,,,,
6,6,6,6,2019-02-13,377.4200134277344,358.2099914550781,,0.05362782287178414,
7,7,7,7,2019-02-14,383.0499877929688,353.6199951171875,,0.08322491115364783,
8,8,8,8,2019-02-15,388.0,365.4599914550781,,0.0616757212059762,
9,9,9,9,2019-02-19,384.5400085449219,360.2300109863281,,0.06748465374117973,
10,10,10,10,2019-02-20,383.5799865722656,366.6799926757813,,0.04608921739405436,
11,11,11,11,2019-02-21,380.5,378.489990234375,,0.005310602175714996,
12,12,12,12,2019-02-22,383.989990234375,377.4200134277344,358.2099914550781,0.017407600479296237,0.07196895506620682
13,13,13,13,2019-02-25,375.1600036621094,383.0499877929688,353.6199951171875,-0.020597792409077997,0.06091286930136297
14,14,14,14,2019-02-26,378.0400085449219,388.0,365.4599914550781,-0.025670081069788964,0.03442241937279222
15,15,15,15,2019-02-27,367.9599914550781,384.5400085449219,360.2300109863281,-0.04311649430856779,0.021458457743664727
16,16,16,16,2019-02-28,371.9599914550781,383.5799865722656,366.6799926757813,-0.030293538568124223,0.014399473341228708
17,17,17,17,2019-03-01,371.0899963378906,380.5,378.489990234375,-0.024730627232876112,-0.01955135957995091
18,18,18,18,2019-03-04,370.4800109863281,383.989990234375,377.4200134277344,-0.035183154747864154,-0.018388008570019987
19,19,19,19,2019-03-05,374.7999877929688,375.1600036621094,383.0499877929688,-0.0009596328649810193,-0.02153765895551718
20,20,20,20,2019-03-06,372.3599853515625,378.0400085449219,388.0,-0.015024926105630554,-0.040309316104220394
21,21,21,21,2019-03-07,369.4100036621094,367.9599914550781,384.5400085449219,0.003940678988759716,-0.039345723582998815
22,22,22,22,2019-03-08,364.1000061035156,371.9599914550781,383.5799865722656,-0.02113126554502509,-0.050784663305367794
23,23,23,23,2019-03-11,366.3399963378906,371.0899963378906,380.5,-0.012800129474993871,-0.037214201477291375
24,24,24,24,2019-03-12,365.510009765625,370.4800109863281,383.989990234375,-0.013415032048480824,-0.04812620364783582
25,25,25,25,2019-03-13,367.3299865722656,374.7999877929688,375.1600036621094,-0.01993063357523228,-0.020871140349214556
26,26,26,26,2019-03-14,368.1600036621094,372.3599853515625,378.0400085449219,-0.011279358294870812,-0.02613481287560193
27,27,27,27,2019-03-15,370.0199890136719,369.4100036621094,367.9599914550781,0.001651242103666517,0.0055984281074896725
28,28,28,28,2019-03-18,375.7999877929688,364.1000061035156,371.9599914550781,0.032133978284325515,0.010323681111156446
29,29,29,29,2019-03-19,374.2099914550781,366.3399963378906,371.0899963378906,0.021482762449799964,0.008407650833968106
30,30,30,30,2019-03-20,375.4800109863281,365.510009765625,370.4800109863281,0.027276958097799175,0.013496004782251214
31,31,31,31,2019-03-21,384.6099853515625,367.3299865722656,374.7999877929688,0.04704216756313562,0.026173953783617865
32,32,32,32,2019-03-22,376.2999877929688,368.1600036621094,372.3599853515625,0.02210990887084563,0.010581164991953607
33,33,33,33,2019-03-25,385.8900146484375,370.0199890136719,369.4100036621094,0.04288964408941487,0.04461170737921316
34,34,34,34,2019-03-26,384.6799926757813,375.7999877929688,364.1000061035156,0.02362960396822733,0.056522895433334996
35,35,35,35,2019-03-27,386.8900146484375,374.2099914550781,366.3399963378906,0.03388477989070893,0.056095481017564675
