,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DTE,DTE_6m,DTE_12m,DTE_6m_ret,DTE_12m_ret
0,0,0,0,2019-02-05,84.67948913574219,,,,
1,1,1,1,2019-02-06,84.52069091796875,,,,
2,2,2,2,2019-02-07,85.40141296386719,,,,
3,3,3,3,2019-02-08,85.58909606933594,,,,
4,4,4,4,2019-02-11,85.93561553955078,,,,
5,5,5,5,2019-02-12,86.2604751586914,,,,
6,6,6,6,2019-02-13,86.15940856933594,84.67948913574219,,0.01747671660160144,
7,7,7,7,2019-02-14,86.058349609375,84.52069091796875,,0.01819268956164377,
8,8,8,8,2019-02-15,86.49149322509766,85.40141296386719,,0.012764194682489238,
9,9,9,9,2019-02-19,86.9968032836914,85.58909606933594,,0.016447272830350856,
10,10,10,10,2019-02-20,87.90640258789062,85.93561553955078,,0.02293329763179286,
11,11,11,11,2019-02-21,88.60665130615234,86.2604751586914,,0.02719873897222036,
12,12,12,12,2019-02-22,89.31414031982422,86.15940856933594,84.67948913574219,0.03661505809837995,0.05473168569371789
13,13,13,13,2019-02-25,88.6644058227539,86.058349609375,84.52069091796875,0.030282433084157123,0.049026041550072286
14,14,14,14,2019-02-26,88.28900146484375,86.49149322509766,85.40141296386719,0.020782485915325832,0.03381195229402456
15,15,15,15,2019-02-27,88.33233642578125,86.9968032836914,85.58909606933594,0.015351519730383067,0.0320512831941
16,16,16,16,2019-02-28,89.19865417480469,87.90640258789062,85.93561553955078,0.01470031247862802,0.03797073675177365
17,17,17,17,2019-03-01,88.7221450805664,88.60665130615234,86.2604751586914,0.0013034436208971822,0.028537634615927177
18,18,18,18,2019-03-04,88.873779296875,89.31414031982422,86.15940856933594,-0.004930473734308327,0.031504054781837265
19,19,19,19,2019-03-05,88.62110137939453,88.6644058227539,86.058349609375,-0.0004884084312924974,0.0297792344572263
20,20,20,20,2019-03-06,88.34677124023438,88.28900146484375,86.49149322509766,0.0006543258439006827,0.021450410276861342
21,21,21,21,2019-03-07,88.43339538574219,88.33233642578125,86.9968032836914,0.0011440766094288346,0.016513159654454546
22,22,22,22,2019-03-08,88.9387435913086,89.19865417480469,87.90640258789062,-0.002913839742320956,0.0117436383815821
23,23,23,23,2019-03-11,89.29247283935547,88.7221450805664,88.60665130615234,0.006428245826012979,0.007740068302925618
24,24,24,24,2019-03-12,89.55960083007812,88.873779296875,89.31414031982422,0.007716803973331743,0.0027482827397200538
25,25,25,25,2019-03-13,89.63178253173828,88.62110137939453,88.6644058227539,0.011404520329948653,0.010910541834772136
26,26,26,26,2019-03-14,89.79058074951172,88.34677124023438,88.28900146484375,0.016342527168891285,0.01700754635067292
27,27,27,27,2019-03-15,90.18704223632812,88.43339538574219,88.33233642578125,0.01983014270725003,0.020996906519112013
28,28,28,28,2019-03-18,89.72147369384766,88.9387435913086,89.19865417480469,0.008800777601894794,0.005861293804034107
29,29,29,29,2019-03-19,88.84856414794922,89.29247283935547,88.7221450805664,-0.004971401029568057,0.0014248874085271979
30,30,30,30,2019-03-20,89.0376968383789,89.55960083007812,88.873779296875,-0.005827448836997706,0.0018443858559942239
31,31,31,31,2019-03-21,89.64875793457031,89.63178253173828,88.62110137939453,0.0001893904411196523,0.011596070678204562
32,32,32,32,2019-03-22,90.84899139404295,89.79058074951172,88.34677124023438,0.011787546485347633,0.028322711952930346
33,33,33,33,2019-03-25,91.00904083251952,90.18704223632812,88.43339538574219,0.00911437581063379,0.02912525789089626
34,34,34,34,2019-03-26,91.59098052978516,89.72147369384766,88.9387435913086,0.020836782533429243,0.02982094002433988
35,35,35,35,2019-03-27,91.06721496582033,88.84856414794922,89.29247283935547,0.02497114994651617,0.019875607316394595
36,36,36,36,2019-03-28,90.04157257080078,89.0376968383789,89.55960083007812,0.011274727088281589,0.005381575356025792
37,37,37,37,2019-03-29,90.73989868164062,89.64875793457031,89.63178253173828,0.01217128683329527,0.012362982399797273
38,38,38,38,2019-04-01,90.05610656738281,90.84899139404295,89.79058074951172,-0.008727502798805187,0.0029571678416004943
