,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EQIX,EQIX_6m,EQIX_12m,EQIX_6m_ret,EQIX_12m_ret
0,0,0,0,2019-02-05,362.31536865234375,,,,
1,1,1,1,2019-02-06,357.1065673828125,,,,
2,2,2,2,2019-02-07,356.82281494140625,,,,
3,3,3,3,2019-02-08,362.3427429199219,,,,
4,4,4,4,2019-02-11,366.2333068847656,,,,
5,5,5,5,2019-02-12,363.8623352050781,,,,
6,6,6,6,2019-02-13,358.763427734375,362.31536865234375,,-0.009803450875353281,
7,7,7,7,2019-02-14,385.0177917480469,357.1065673828125,,0.07815937010005758,
8,8,8,8,2019-02-15,385.7501525878906,356.82281494140625,,0.08106919298653747,
9,9,9,9,2019-02-19,394.1719970703125,362.3427429199219,,0.08784294641558454,
10,10,10,10,2019-02-20,395.0325317382813,366.2333068847656,,0.07863627996723221,
11,11,11,11,2019-02-21,389.842041015625,363.8623352050781,,0.07139982157236568,
12,12,12,12,2019-02-22,392.29541015625,358.763427734375,362.31536865234375,0.09346544220973874,0.08274570746313925
13,13,13,13,2019-02-25,392.6982116699219,385.0177917480469,357.1065673828125,0.01994822080040648,0.09966673127284076
14,14,14,14,2019-02-26,392.0721130371094,385.7501525878906,356.82281494140625,0.016388743871665223,0.09878655909794154
15,15,15,15,2019-02-27,384.9919738769531,394.1719970703125,362.3427429199219,-0.023289384485935094,0.06250775377619955
16,16,16,16,2019-02-28,389.9176940917969,395.0325317382813,366.2333068847656,-0.012947889693988857,0.06467021639428183
17,17,17,17,2019-03-01,398.4709777832031,389.842041015625,363.8623352050781,0.022134443850893692,0.09511466076481656
18,18,18,18,2019-03-04,393.1217041015625,392.29541015625,358.763427734375,0.002106305411484044,0.09576861438793594
19,19,19,19,2019-03-05,393.06646728515625,392.6982116699219,385.0177917480469,0.0009377573013851226,0.02090468469149709
20,20,20,20,2019-03-06,390.9856567382813,392.0721130371094,385.7501525878906,-0.0027710624211756407,0.013572267218216583
21,21,21,21,2019-03-07,392.9099426269531,384.9919738769531,394.1719970703125,0.02056658135042233,-0.003201786156144082
22,22,22,22,2019-03-08,396.2521362304688,389.9176940917969,395.0325317382813,0.016245587811618112,0.003087352038630309
23,23,23,23,2019-03-11,403.5716857910156,398.4709777832031,389.842041015625,0.012800701411653792,0.03521848166919561
24,24,24,24,2019-03-12,403.7282104492188,393.1217041015625,392.29541015625,0.026980210548019246,0.02914334452298384
25,25,25,25,2019-03-13,404.0688171386719,393.06646728515625,392.6982116699219,0.027991067082132393,0.02895507321104751
26,26,26,26,2019-03-14,405.5511779785156,390.9856567382813,392.0721130371094,0.037253339065540736,0.03437904531641722
27,27,27,27,2019-03-15,406.591552734375,392.9099426269531,384.9919738769531,0.034821236683266754,0.05610397183065774
28,28,28,28,2019-03-18,408.88421630859375,396.2521362304688,389.9176940917969,0.031878894580338324,0.048642373773198466
29,29,29,29,2019-03-19,408.3777770996094,403.5716857910156,398.4709777832031,0.011908891227524032,0.024862034799925326
30,30,30,30,2019-03-20,412.5484619140625,403.7282104492188,393.1217041015625,0.02184700309901455,0.04941665039048848
31,31,31,31,2019-03-21,421.9489440917969,404.0688171386719,393.06646728515625,0.04425020242774336,0.0734798798944285
32,32,32,32,2019-03-22,415.6973571777344,405.5511779785156,390.9856567382813,0.0250182461552515,0.06320359842763912
33,33,33,33,2019-03-25,410.7992248535156,406.591552734375,392.9099426269531,0.010348646180284637,0.04553023552154656
34,34,34,34,2019-03-26,412.1711120605469,408.88421630859375,396.2521362304688,0.008038695603433288,0.04017385491347669
35,35,35,35,2019-03-27,412.5484619140625,408.3777770996094,403.5716857910156,0.010212810413128492,0.022243324888989724
36,36,36,36,2019-03-28,414.2794189453125,412.5484619140625,403.7282104492188,0.004195766536660983,0.02613443456020481
37,37,37,37,2019-03-29,417.2257385253906,421.9489440917969,404.0688171386719,-0.011193784538488405,0.03256109065749424
38,38,38,38,2019-04-01,420.1167602539063,415.6973571777344,405.5511779785156,0.010631299429412433,0.035915522050739224
39,39,39,39,2019-04-02,423.9283752441406,410.7992248535156,406.591552734375,0.031960017439922384,0.04263940653260878
40,40,40,40,2019-04-03,425.3739318847656,412.1711120605469,408.88421630859375,0.03203237548166471,0.040328569601050024
41,41,41,41,2019-04-04,424.8491516113281,412.5484619140625,408.3777770996094,0.02981635088443979,0.040333670036362346
42,42,42,42,2019-04-05,429.6183166503906,414.2794189453125,412.5484619140625,0.03702548812134676,0.04137660496207096
43,43,43,43,2019-04-08,426.6629028320313,417.2257385253906,421.9489440917969,0.02261884499262834,0.0111718699767831
44,44,44,44,2019-04-09,423.6246032714844,420.1167602539063,415.6973571777344,0.008349685966963172,0.019069753408031964
45,45,45,45,2019-04-10,424.6373291015625,423.9283752441406,410.7992248535156,0.0016723434873016085,0.03368580905424379
46,46,46,46,2019-04-11,424.1401672363281,425.3739318847656,412.1711120605469,-0.002900423735349489,0.02903904428416859
47,47,47,47,2019-04-12,426.6352844238281,424.8491516113281,412.5484619140625,0.0042041576539006975,0.03414586117812268
48,48,48,48,2019-04-15,423.5232849121094,429.6183166503906,414.2794189453125,-0.014187085378022157,0.022313118982184132
49,49,49,49,2019-04-16,416.7653503417969,426.6629028320313,417.2257385253906,-0.023197593286264473,-0.0011034510603802339
50,50,50,50,2019-04-17,412.0329895019531,423.6246032714844,420.1167602539063,-0.027362938035264794,-0.019241724008029593
51,51,51,51,2019-04-18,411.03857421875,424.6373291015625,423.9283752441406,-0.03202439811776425,-0.030405610424089624
52,52,52,52,2019-04-22,411.7659912109375,424.1401672363281,425.3739318847656,-0.0291747327446491,-0.031990537392673435
53,53,53,53,2019-04-23,414.5095825195313,426.6352844238281,424.8491516113281,-0.028421704315133245,-0.024337035986965905
54,54,54,54,2019-04-24,417.5019836425781,423.5232849121094,429.6183166503906,-0.014217166998930941,-0.02820255221490564
55,55,55,55,2019-04-25,417.8978271484375,416.7653503417969,426.6629028320313,0.0027173007681944306,-0.02054332735612696
56,56,56,56,2019-04-26,417.1243896484375,412.0329895019531,423.6246032714844,0.012356777918774542,-0.015344277864997258
57,57,57,57,2019-04-29,413.2206726074219,411.03857421875,424.6373291015625,0.00530874357186395,-0.026885663863550846
58,58,58,58,2019-04-30,418.64361572265625,411.7659912109375,424.1401672363281,0.0167027502477628,-0.012959280771465465
59,59,59,59,2019-05-01,414.3255004882813,414.5095825195313,426.6352844238281,-0.00044409596065564383,-0.02885317831170764
60,60,60,60,2019-05-02,428.1360473632813,417.5019836425781,423.5232849121094,0.02547069028971838,0.010891402233360603
61,61,61,61,2019-05-03,439.16607666015625,417.8978271484375,416.7653503417969,0.05089341970702388,0.053749013203684415
62,62,62,62,2019-05-06,440.5838928222656,417.1243896484375,412.0329895019531,0.05624102487413962,0.06929276064720824
63,63,63,63,2019-05-07,437.2694091796875,413.2206726074219,411.03857421875,0.058198290081950876,0.06381599345218092
64,64,64,64,2019-05-08,440.998291015625,418.64361572265625,411.7659912109375,0.05339786504179811,0.07099250649311761
65,65,65,65,2019-05-09,438.7977600097656,414.3255004882813,414.5095825195313,0.059065298883713035,0.058594972262408174
66,66,66,66,2019-05-10,441.7716064453125,428.1360473632813,417.5019836425781,0.03184865924279712,0.05813055686823154
67,67,67,67,2019-05-13,438.47552490234375,439.16607666015625,417.8978271484375,-0.0015724159822728678,0.04924097809821126
68,68,68,68,2019-05-14,445.6201477050781,440.5838928222656,417.1243896484375,0.011430864733959156,0.06831477315593437
69,69,69,69,2019-05-15,448.0325012207031,437.2694091796875,413.2206726074219,0.024614326580052914,0.0842451283804817
70,70,70,70,2019-05-16,452.7648620605469,440.998291015625,418.64361572265625,0.026681670393377876,0.08150427966993123
71,71,71,71,2019-05-17,451.4021606445313,438.7977600097656,414.3255004882813,0.02872485181894535,0.08948679266073478
72,72,72,72,2019-05-20,442.0478820800781,441.7716064453125,428.1360473632813,0.0006253811488443617,0.0324939579427479
73,73,73,73,2019-05-21,448.3316345214844,438.47552490234375,439.16607666015625,0.022478129472188302,0.020870368519881888
