,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BWA,BWA_6m,BWA_12m,BWA_6m_ret,BWA_12m_ret
0,0,0,0,2019-02-05,32.861087799072266,,,,
1,1,1,1,2019-02-06,33.06174087524414,,,,
2,2,2,2,2019-02-07,31.480493545532227,,,,
3,3,3,3,2019-02-08,30.72598457336425,,,,
4,4,4,4,2019-02-11,31.1594352722168,,,,
5,5,5,5,2019-02-12,32.218936920166016,,,,
6,6,6,6,2019-02-13,32.41157913208008,32.861087799072266,,-0.013679056205950668,
7,7,7,7,2019-02-14,32.70054626464844,33.06174087524414,,-0.01092485153636169,
8,8,8,8,2019-02-15,33.647682189941406,31.480493545532227,,0.06884227025458278,
9,9,9,9,2019-02-19,33.5433464050293,30.72598457336425,,0.09169313435467141,
10,10,10,10,2019-02-20,33.59952926635742,31.1594352722168,,0.07830995564660714,
11,11,11,11,2019-02-21,32.76476287841797,32.218936920166016,,0.01694115357078463,
12,12,12,12,2019-02-22,33.45505142211914,32.41157913208008,32.861087799072266,0.03219442921268412,0.018074983600014694
13,13,13,13,2019-02-25,33.6797981262207,32.70054626464844,33.06174087524414,0.02994603985043831,0.01869403227460875
14,14,14,14,2019-02-26,33.45505142211914,33.647682189941406,31.480493545532227,-0.005724934238705126,0.06272321854582708
15,15,15,15,2019-02-27,33.20622634887695,33.5433464050293,30.72598457336425,-0.010050280973212589,0.08072131161787977
16,16,16,16,2019-02-28,32.74907302856445,33.59952926635742,31.1594352722168,-0.025311552166432105,0.051016256952674865
17,17,17,17,2019-03-01,32.982940673828125,32.76476287841797,32.218936920166016,0.0066589157449348235,0.023712879029969436
18,18,18,18,2019-03-04,32.853912353515625,33.45505142211914,32.41157913208008,-0.01796855909795636,0.01364738261079479
19,19,19,19,2019-03-05,32.66036605834961,33.6797981262207,32.70054626464844,-0.030268354461348013,-0.0012287319598164315
20,20,20,20,2019-03-06,31.902332305908203,33.45505142211914,33.647682189941406,-0.04641209773135613,-0.05187132576266895
21,21,21,21,2019-03-07,31.14427947998047,33.20622634887695,33.5433464050293,-0.06209518802988645,-0.07152139491631415
22,22,22,22,2019-03-08,30.73300552368164,32.74907302856445,33.59952926635742,-0.06156105557932445,-0.08531440187603989
23,23,23,23,2019-03-11,31.15235137939453,32.982940673828125,32.76476287841797,-0.055501094112149985,-0.04921175547665957
24,24,24,24,2019-03-12,31.32976722717285,32.853912353515625,33.45505142211914,-0.046391586790109574,-0.06352655591917988
25,25,25,25,2019-03-13,31.15235137939453,32.66036605834961,33.6797981262207,-0.046172620241332396,-0.07504340546680655
26,26,26,26,2019-03-14,30.35397720336914,31.902332305908203,33.45505142211914,-0.04853422902413662,-0.09269375137470848
27,27,27,27,2019-03-15,30.49107360839844,31.14427947998047,33.20622634887695,-0.020973542573104242,-0.08176637453326097
28,28,28,28,2019-03-18,30.99912452697754,30.73300552368164,32.74907302856445,0.008659062098265613,-0.05343505448415509
29,29,29,29,2019-03-19,30.77333068847656,31.15235137939453,32.982940673828125,-0.01216668001403809,-0.06699251007369655
30,30,30,30,2019-03-20,30.03140640258789,31.32976722717285,32.853912353515625,-0.041441764159003025,-0.085910801750395
31,31,31,31,2019-03-21,30.466880798339844,31.15235137939453,32.66036605834961,-0.02200381514404992,-0.06716046158487565
32,32,32,32,2019-03-22,29.22497940063477,30.35397720336914,31.902332305908203,-0.03719439449961304,-0.08392342226269134
33,33,33,33,2019-03-25,29.37820243835449,30.49107360839844,31.14427947998047,-0.036498261239887086,-0.0567063059770323
34,34,34,34,2019-03-26,29.67658233642578,30.99912452697754,30.73300552368164,-0.04266385618086699,-0.034374223062623055
35,35,35,35,2019-03-27,29.93464088439941,30.77333068847656,31.15235137939453,-0.027253787136899188,-0.039088879043671976
36,36,36,36,2019-03-28,30.49107360839844,30.03140640258789,31.32976722717285,0.015306216420518437,-0.02676986434955053
37,37,37,37,2019-03-29,30.974929809570312,30.466880798339844,31.15235137939453,0.016675452094792487,-0.00569528661459473
38,38,38,38,2019-04-01,32.676490783691406,29.22497940063477,30.35397720336914,0.11810141371670801,0.07651430864435382
39,39,39,39,2019-04-02,32.8297233581543,29.37820243835449,30.49107360839844,0.11748577630106127,0.07669948850576724
40,40,40,40,2019-04-03,33.57162857055664,29.67658233642578,30.99912452697754,0.13124982486106496,0.0829863450285615
41,41,41,41,2019-04-04,34.168392181396484,29.93464088439941,30.77333068847656,0.1414331748073021,0.11032479803010875
42,42,42,42,2019-04-05,33.990989685058594,30.49107360839844,30.03140640258789,0.11478494072101597,0.13184808028602668
43,43,43,43,2019-04-08,34.3699951171875,30.974929809570312,30.466880798339844,0.10960687654466339,0.12811007285853626
44,44,44,44,2019-04-09,33.724853515625,32.676490783691406,29.22497940063477,0.03208308807923843,0.15397355985450223
45,45,45,45,2019-04-10,34.4990234375,32.8297233581543,29.37820243835449,0.050847217356496,0.17430681846143403
46,46,46,46,2019-04-11,34.49095916748047,33.57162857055664,29.67658233642578,0.0273841525141294,0.16222814259664253
47,47,47,47,2019-04-12,35.66835021972656,34.168392181396484,29.93464088439941,0.04389899385276763,0.1915409427315129
48,48,48,48,2019-04-15,35.3860969543457,33.990989685058594,30.49107360839844,0.04104344363648682,0.16053955360230354
49,49,49,49,2019-04-16,35.37803649902344,34.3699951171875,30.974929809570312,0.029329110417354753,0.1421506591466981
50,50,50,50,2019-04-17,35.07965469360352,33.724853515625,32.676490783691406,0.04017218866053285,0.07354412460690285
51,51,51,51,2019-04-18,35.48286819458008,34.4990234375,32.8297233581543,0.028518046572027167,0.08081532724115359
52,52,52,52,2019-04-22,35.24900817871094,34.49095916748047,33.57162857055664,0.021978194562509934,0.04996420130852419
53,53,53,53,2019-04-23,35.18449020385742,35.66835021972656,34.168392181396484,-0.013565528343431499,0.029737952463978257
54,54,54,54,2019-04-24,35.119972229003906,35.3860969543457,33.990989685058594,-0.007520601260013082,0.03321417100254598
55,55,55,55,2019-04-25,33.523250579833984,35.37803649902344,34.3699951171875,-0.05242761053855127,-0.024636155299599727
56,56,56,56,2019-04-26,34.289344787597656,35.07965469360352,33.724853515625,-0.02252901041668387,0.016738138587054863
57,57,57,57,2019-04-29,33.90227127075195,35.48286819458008,34.4990234375,-0.04454535397647352,-0.01729765388371496
58,58,58,58,2019-04-30,33.684532165527344,35.24900817871094,34.49095916748047,-0.04438354705618297,-0.023380822726248196
59,59,59,59,2019-05-01,33.10390853881836,35.18449020385742,35.66835021972656,-0.05913348901701465,-0.07189684033913979
