,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MS,MS_6m,MS_12m,MS_6m_ret,MS_12m_ret
0,0,0,0,2019-02-05,36.27847290039063,,,,
1,1,1,1,2019-02-06,36.21865081787109,,,,
2,2,2,2,2019-02-07,35.449485778808594,,,,
3,3,3,3,2019-02-08,34.87690734863281,,,,
4,4,4,4,2019-02-11,34.364139556884766,,,,
5,5,5,5,2019-02-12,35.16747283935547,,,,
6,6,6,6,2019-02-13,35.201656341552734,36.27847290039063,,-0.02968197040141407,
7,7,7,7,2019-02-14,34.79998779296875,36.21865081787109,,-0.039169405620220865,
8,8,8,8,2019-02-15,35.88534927368164,35.449485778808594,,0.012295340406139221,
9,9,9,9,2019-02-19,36.03063583374024,34.87690734863281,,0.033080011182604396,
10,10,10,10,2019-02-20,36.25283432006836,34.364139556884766,,0.05496121211058225,
11,11,11,11,2019-02-21,35.85971450805664,35.16747283935547,,0.019684145968159816,
12,12,12,12,2019-02-22,35.71442794799805,35.201656341552734,36.27847290039063,0.014566689745221684,-0.01554764871005665
13,13,13,13,2019-02-25,36.056270599365234,34.79998779296875,36.21865081787109,0.03610009330665087,-0.004483331511226041
14,14,14,14,2019-02-26,36.24428939819336,35.88534927368164,35.449485778808594,0.010002414126562886,0.022420737619271547
15,15,15,15,2019-02-27,36.37249374389648,36.03063583374024,34.87690734863281,0.00948797883372654,0.04288185246225096
16,16,16,16,2019-02-28,35.876800537109375,36.25283432006836,34.364139556884766,-0.010372534727604021,0.044018590301690086
17,17,17,17,2019-03-01,36.321197509765625,35.85971450805664,35.16747283935547,0.012869120907398779,0.032806584529981864
18,18,18,18,2019-03-04,35.893898010253906,35.71442794799805,35.201656341552734,0.005025141730316207,0.019665031156049118
19,19,19,19,2019-03-05,35.808441162109375,36.056270599365234,34.79998779296875,-0.006873407402822829,0.028978555255251504
20,20,20,20,2019-03-06,35.56913757324219,36.24428939819336,35.88534927368164,-0.018627812440566882,-0.008811721408306439
21,21,21,21,2019-03-07,35.184566497802734,36.37249374389648,36.03063583374024,-0.03266004400077971,-0.023481942973241132
22,22,22,22,2019-03-08,35.34694290161133,35.876800537109375,36.25283432006836,-0.014768809580720133,-0.024988154318062783
23,23,23,23,2019-03-11,35.76570129394531,36.321197509765625,35.85971450805664,-0.015293995074665667,-0.0026216944390398123
24,24,24,24,2019-03-12,35.91954040527344,35.893898010253906,35.71442794799805,0.0007143942686917981,0.005743125931459536
25,25,25,25,2019-03-13,36.24428939819336,35.808441162109375,36.056270599365234,0.01217166181881102,0.005214593625538111
26,26,26,26,2019-03-14,36.48357772827149,35.56913757324219,36.24428939819336,0.025708808743150735,0.00660209743524609
27,27,27,27,2019-03-15,37.03053665161133,35.184566497802734,36.37249374389648,0.05246533743491977,0.018091773204999884
28,28,28,28,2019-03-18,37.62877655029297,35.34694290161133,35.876800537109375,0.06455533240974054,0.048833117417240945
29,29,29,29,2019-03-19,37.56039810180664,35.76570129394531,36.321197509765625,0.05017927072396455,0.03411783412999614
30,30,30,30,2019-03-20,36.77415466308594,35.91954040527344,35.893898010253906,0.0237924608213258,0.024523852287666514
31,31,31,31,2019-03-21,36.85961151123047,36.24428939819336,35.808441162109375,0.016977077582538636,0.0293553786483558
32,32,32,32,2019-03-22,35.65460968017578,36.48357772827149,35.56913757324219,-0.022721676428497206,0.0024029850810296516
33,33,33,33,2019-03-25,35.25293731689453,37.03053665161133,35.184566497802734,-0.048003607169961104,0.0019432048166934113
34,34,34,34,2019-03-26,35.79133987426758,37.62877655029297,35.34694290161133,-0.048830624975796266,0.012572430206856389
