,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CCL,CCL_6m,CCL_12m,CCL_6m_ret,CCL_12m_ret
0,0,0,0,2019-02-05,55.58500289916992,,,,
1,1,1,1,2019-02-06,55.34770584106445,,,,
2,2,2,2,2019-02-07,54.06629180908203,,,,
3,3,3,3,2019-02-08,53.753055572509766,,,,
4,4,4,4,2019-02-11,53.93339920043945,,,,
5,5,5,5,2019-02-12,53.69609832763672,,,,
6,6,6,6,2019-02-13,54.15171432495117,55.58500289916992,,-0.02578552666118783,
7,7,7,7,2019-02-14,54.19917678833008,55.34770584106445,,-0.020751159154319243,
8,8,8,8,2019-02-15,54.341556549072266,54.06629180908203,,0.0050912450397420095,
9,9,9,9,2019-02-19,55.33821105957031,53.753055572509766,,0.029489588455529958,
10,10,10,10,2019-02-20,55.86026763916016,53.93339920043945,,0.035726812462897994,
11,11,11,11,2019-02-21,55.78368377685547,53.69609832763672,,0.0388777865475618,
12,12,12,12,2019-02-22,56.31021118164063,54.15171432495117,55.58500289916992,0.03986017587064472,0.013046833581824568
13,13,13,13,2019-02-25,56.07088470458984,54.19917678833008,55.34770584106445,0.03453388090320164,0.013066103690043684
14,14,14,14,2019-02-26,55.7645378112793,54.341556549072266,54.06629180908203,0.02618587601409672,0.031410439765206855
15,15,15,15,2019-02-27,55.2188606262207,55.33821105957031,53.753055572509766,-0.0021567454217327198,0.027269241498907082
16,16,16,16,2019-02-28,55.295440673828125,55.86026763916016,53.93339920043945,-0.010111426049381755,0.025254137391317544
17,17,17,17,2019-03-01,55.372032165527344,55.78368377685547,53.69609832763672,-0.007379426804705158,0.031211463962699915
18,18,18,18,2019-03-04,54.14665222167969,56.31021118164063,54.15171432495117,-0.03842214253080889,-9.348001876929857e-05
19,19,19,19,2019-03-05,54.67318344116211,56.07088470458984,54.19917678833008,-0.024927398074625295,0.008745643032240569
20,20,20,20,2019-03-06,53.75414276123047,55.7645378112793,54.341556549072266,-0.03605149668508856,-0.01080966069331013
21,21,21,21,2019-03-07,53.016998291015625,55.2188606262207,55.33821105957031,-0.039875185946149805,-0.04194593074315245
22,22,22,22,2019-03-08,52.62449264526367,55.295440673828125,55.86026763916016,-0.04830322348490912,-0.05792623506207639
23,23,23,23,2019-03-11,53.06486129760742,55.372032165527344,55.78368377685547,-0.04166671833576452,-0.04873866864231868
24,24,24,24,2019-03-12,52.90211486816406,54.14665222167969,56.31021118164063,-0.022984566957536257,-0.06052359318069378
25,25,25,25,2019-03-13,53.69670104980469,54.67318344116211,56.07088470458984,-0.017860353648663785,-0.04234253957813516
