,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DHR,DHR_6m,DHR_12m,DHR_6m_ret,DHR_12m_ret
0,0,0,0,2019-02-05,94.90896606445312,,,,
1,1,1,1,2019-02-06,95.0389633178711,,,,
2,2,2,2,2019-02-07,94.11162567138672,,,,
3,3,3,3,2019-02-08,94.6836395263672,,,,
4,4,4,4,2019-02-11,95.05630493164062,,,,
5,5,5,5,2019-02-12,96.5209732055664,,,,
6,6,6,6,2019-02-13,96.39097595214844,94.90896606445312,,0.015615067249693526,
7,7,7,7,2019-02-14,95.64563751220705,95.0389633178711,,0.006383426051343122,
8,8,8,8,2019-02-15,96.40831756591795,94.11162567138672,,0.024403912674409556,
9,9,9,9,2019-02-19,96.47764587402344,94.6836395263672,,0.018947374188722943,
10,10,10,10,2019-02-20,97.24031829833984,95.05630493164062,,0.022975996892261374,
11,11,11,11,2019-02-21,97.43965911865234,96.5209732055664,,0.00951799264528086,
12,12,12,12,2019-02-22,98.34966278076172,96.39097595214844,94.90896606445312,0.02032023028364849,0.03625259929575031
13,13,13,13,2019-02-25,106.73033905029295,95.64563751220705,95.0389633178711,0.11589343566946475,0.12301665889724012
14,14,14,14,2019-02-26,106.7823257446289,96.40831756591795,94.11162567138672,0.10760490837958936,0.13463480184143206
15,15,15,15,2019-02-27,109.53833770751952,96.47764587402344,94.6836395263672,0.1353753163769169,0.1568876973409501
16,16,16,16,2019-02-28,110.0843505859375,97.24031829833984,95.05630493164062,0.13208546117867792,0.15809625321649357
17,17,17,17,2019-03-01,110.7343521118164,97.43965911865234,96.5209732055664,0.13644026583647118,0.14725689592850388
18,18,18,18,2019-03-04,109.10501861572266,98.34966278076172,96.39097595214844,0.10935833973255682,0.13190075666300838
19,19,19,19,2019-03-05,108.6370086669922,106.73033905029295,95.64563751220705,0.017864363906881175,0.13582816208556392
20,20,20,20,2019-03-06,108.02167510986328,106.7823257446289,96.40831756591795,0.01160631552639435,0.1204601204248259
21,21,21,21,2019-03-07,107.8656768798828,109.53833770751952,96.47764587402344,-0.015270095042914766,0.11803802738646207
22,22,22,22,2019-03-08,108.36833953857422,110.0843505859375,97.24031829833984,-0.015588147072945424,0.11443834651068152
23,23,23,23,2019-03-11,109.48634338378906,110.7343521118164,97.43965911865234,-0.011270294215178556,0.12363224968251862
24,24,24,24,2019-03-12,110.44833374023438,109.10501861572266,98.34966278076172,0.012312129556963702,0.12301690333644233
25,25,25,25,2019-03-13,111.0463409423828,108.6370086669922,106.73033905029295,0.02217782231813814,0.040438378913572715
26,26,26,26,2019-03-14,111.02901458740234,108.02167510986328,106.7823257446289,0.02784014851168015,0.03976958558600274
27,27,27,27,2019-03-15,111.53166198730467,107.8656768798828,109.53833770751952,0.03398657676347083,0.018197503463194487
