,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,QRVO,QRVO_6m,QRVO_12m,QRVO_6m_ret,QRVO_12m_ret
0,0,0,0,2019-02-05,66.04000091552734,,,,
1,1,1,1,2019-02-06,68.62999725341797,,,,
2,2,2,2,2019-02-07,66.52999877929688,,,,
3,3,3,3,2019-02-08,64.51000213623047,,,,
4,4,4,4,2019-02-11,64.5,,,,
5,5,5,5,2019-02-12,65.18000030517578,,,,
6,6,6,6,2019-02-13,64.9000015258789,66.04000091552734,,-0.01726225581230123,
7,7,7,7,2019-02-14,64.66999816894531,68.62999725341797,,-0.05770070294262519,
8,8,8,8,2019-02-15,65.16000366210938,66.52999877929688,,-0.020592141023965005,
9,9,9,9,2019-02-19,64.87000274658203,64.51000213623047,,0.005580539426914388,
10,10,10,10,2019-02-20,65.86000061035156,64.5,,0.02108528078064431,
11,11,11,11,2019-02-21,66.05999755859375,65.18000030517578,,0.013501031747434444,
12,12,12,12,2019-02-22,67.80000305175781,64.9000015258789,66.04000091552734,0.044684151890543866,0.026650546817552412
13,13,13,13,2019-02-25,68.69999694824219,64.66999816894531,68.62999725341797,0.06231635833309945,0.0010199577098297663
14,14,14,14,2019-02-26,69.13999938964844,65.16000366210938,66.52999877929688,0.06108034843241472,0.03923043225973655
15,15,15,15,2019-02-27,69.3499984741211,64.87000274658203,64.51000213623047,0.06906113053579466,0.07502706832453132
16,16,16,16,2019-02-28,70.13999938964844,65.86000061035156,64.5,0.06498631551218303,0.0874418510023014
17,17,17,17,2019-03-01,70.5,66.05999755859375,65.18000030517578,0.067211665236107,0.08162012380969208
18,18,18,18,2019-03-04,70.05000305175781,67.80000305175781,64.9000015258789,0.03318583921423102,0.07935287218483866
19,19,19,19,2019-03-05,69.86000061035156,68.69999694824219,64.66999816894531,0.01688506133389356,0.0802536351995522
20,20,20,20,2019-03-06,69.06999969482422,69.13999938964844,65.16000366210938,-0.0010124341255736136,0.060006074477686244
21,21,21,21,2019-03-07,68.3499984741211,69.3499984741211,64.87000274658203,-0.014419610987780551,0.05364568491131161
22,22,22,22,2019-03-08,68.58000183105469,70.13999938964844,65.86000061035156,-0.022241197207994,0.0412997448450616
23,23,23,23,2019-03-11,69.37000274658203,70.5,66.05999755859375,-0.016028329835715893,0.05010604466117918
24,24,24,24,2019-03-12,69.23999786376953,70.05000305175781,67.80000305175781,-0.011563242722342104,0.021238860578109975
25,25,25,25,2019-03-13,69.08999633789062,69.86000061035156,68.69999694824219,-0.01102210514934987,0.005676847263068385
26,26,26,26,2019-03-14,68.6500015258789,69.06999969482422,69.13999938964844,-0.006080761123512524,-0.007087038879015295
27,27,27,27,2019-03-15,69.66000366210938,68.3499984741211,69.3499984741211,0.019166133390394746,0.004470154214984756
28,28,28,28,2019-03-18,69.83000183105469,68.58000183105469,70.13999938964844,0.018226887818978854,-0.004419697195484962
29,29,29,29,2019-03-19,70.11000061035156,69.37000274658203,70.5,0.010667404273758452,-0.005531906236148076
30,30,30,30,2019-03-20,69.12000274658203,69.23999786376953,70.05000305175781,-0.0017330317863901712,-0.01327623504154074
31,31,31,31,2019-03-21,73.88999938964844,69.08999633789062,69.86000061035156,0.06947464620323585,0.05768678419822004
32,32,32,32,2019-03-22,71.66999816894531,68.6500015258789,69.06999969482422,0.043991210137525716,0.03764294897363274
