,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MPWR,MPWR_6m,MPWR_12m,MPWR_6m_ret,MPWR_12m_ret
71,71,71,71,2019-05-17,120.10758209228516,131.69451904296875,148.71377563476562,-0.08798344103373845,-0.1923573886842601
72,72,72,72,2019-05-20,116.78463745117188,131.1359100341797,150.4186248779297,-0.10943815907684817,-0.22360254558937132
73,73,73,73,2019-05-21,118.45091247558594,121.8605728149414,139.631103515625,-0.027980012407568533,-0.15168676968644712
74,74,74,74,2019-05-22,116.84242248535156,123.60389709472656,136.00953674316406,-0.05470276235864302,-0.14092478157621435
75,75,75,75,2019-05-23,114.38636016845705,124.41297912597656,133.3223114013672,-0.08059142243806316,-0.1420313751979847
76,76,76,76,2019-05-24,114.9449691772461,124.00845336914062,132.1953887939453,-0.07308763189647172,-0.13049184070699826
77,77,77,77,2019-05-28,112.4600067138672,120.10758209228516,131.69451904296875,-0.06367271112444761,-0.1460540079335101
78,78,78,78,2019-05-29,113.18238830566406,116.78463745117188,131.1359100341797,-0.03084523122327565,-0.1369077449787488
79,79,79,79,2019-05-30,114.05885314941406,118.45091247558594,121.8605728149414,-0.03707915147616214,-0.06402168876536551
80,80,80,80,2019-05-31,112.16139221191406,116.84242248535156,123.60389709472656,-0.040062762940612284,-0.09257398149868434
81,81,81,81,2019-06-03,114.77162170410156,114.38636016845705,124.41297912597656,0.003368072339019701,-0.07749478783971941
82,82,82,82,2019-06-04,120.52175903320312,114.9449691772461,124.00845336914062,0.04851704164066173,-0.028116585935948457
83,83,83,83,2019-06-05,121.09967041015624,112.4600067138672,120.10758209228516,0.07682432136315787,0.008259997417222165
84,84,84,84,2019-06-06,119.0866241455078,113.18238830566406,116.78463745117188,0.05216567637624481,0.019711382803225153
85,85,85,85,2019-06-07,120.48322296142578,114.05885314941406,118.45091247558594,0.05632504303366925,0.01715740675496047
