,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ABNB,ABNB_6m,ABNB_12m,ABNB_6m_ret,ABNB_12m_ret
0,0,0,0,2020-12-10,144.7100067138672,,,,
1,1,1,1,2020-12-11,139.25,,,,
2,2,2,2,2020-12-14,130.0,,,,
3,3,3,3,2020-12-15,124.8000030517578,,,,
4,4,4,4,2020-12-16,137.99000549316406,,,,
5,5,5,5,2020-12-17,147.0500030517578,,,,
6,6,6,6,2020-12-18,157.3000030517578,144.7100067138672,,0.08700156004266257,
7,7,7,7,2020-12-21,163.02000427246094,139.25,,0.17070021021515935,
8,8,8,8,2020-12-22,163.19000244140625,130.0,,0.2553077110877404,
9,9,9,9,2020-12-23,158.00999450683594,124.8000030517578,,0.26610569425471153,
10,10,10,10,2020-12-24,154.83999633789062,137.99000549316406,,0.12211022663928595,
11,11,11,11,2020-12-28,149.0,147.0500030517578,,0.013260774619337168,
12,12,12,12,2020-12-29,150.0,157.3000030517578,144.7100067138672,-0.04640815581774549,0.03655582227007037
13,13,13,13,2020-12-30,148.42999267578125,163.02000427246094,139.25,-0.08949828986812502,0.06592454345264809
14,14,14,14,2020-12-31,146.8000030517578,163.19000244140625,130.0,-0.10043507043596811,0.12923079270582938
15,15,15,15,2021-01-04,139.14999389648438,158.00999450683594,124.8000030517578,-0.11935954221892986,0.11498389818768895
16,16,16,16,2021-01-05,148.3000030517578,154.83999633789062,137.99000549316406,-0.04223710566268224,0.0747155384315461
17,17,17,17,2021-01-06,142.77000427246094,149.0,147.0500030517578,-0.04181205186267822,-0.029105737439464208
18,18,18,18,2021-01-07,151.27000427246094,150.0,157.3000030517578,0.008466695149739634,-0.0383343843757763
19,19,19,19,2021-01-08,149.77000427246094,148.42999267578125,163.02000427246094,0.009027903138193238,-0.08127836862189508
20,20,20,20,2021-01-11,148.1300048828125,146.8000030517578,163.19000244140625,0.009059957788868367,-0.09228505014577149
21,21,21,21,2021-01-12,160.8000030517578,139.14999389648438,158.00999450683594,0.15558756812723384,0.017657165001680797
22,22,22,22,2021-01-13,169.99000549316406,148.3000030517578,154.83999633789062,0.14625759942726546,0.09784299608360358
23,23,23,23,2021-01-14,180.5,142.77000427246094,149.0,0.2642711676013927,0.21140939597315445
24,24,24,24,2021-01-15,169.27000427246094,151.27000427246094,150.0,0.11899252655258197,0.12846669514973952
25,25,25,25,2021-01-19,173.69000244140625,149.77000427246094,148.42999267578125,0.1597115409400014,0.17018130439985235
26,26,26,26,2021-01-20,161.8300018310547,148.1300048828125,146.8000030517578,0.09248630592485574,0.1023841857414518
27,27,27,27,2021-01-21,180.3999938964844,160.8000030517578,139.14999389648438,0.12189048801459168,0.29644270074985757
28,28,28,28,2021-01-22,181.8699951171875,169.99000549316406,148.3000030517578,0.0698864006125417,0.2263654172260099
29,29,29,29,2021-01-25,177.52999877929688,180.5,142.77000427246094,-0.016454300391707033,0.24346847003310512
30,30,30,30,2021-01-26,192.7400054931641,169.27000427246094,151.27000427246094,0.1386542247788054,0.2741455678550071
31,31,31,31,2021-01-27,201.25,173.69000244140625,149.77000427246094,0.15867348247571722,0.34372700980823145
32,32,32,32,2021-01-28,187.3699951171875,161.8300018310547,148.1300048828125,0.15781989122632378,0.2649023758921647
33,33,33,33,2021-01-29,183.6300048828125,180.3999938964844,160.8000030517578,0.017904717824888117,0.14197762063291908
34,34,34,34,2021-02-01,180.44000244140625,181.8699951171875,169.99000549316406,-0.007862719053023715,0.0614741844258746
35,35,35,35,2021-02-02,179.1699981689453,177.52999877929688,180.5,0.009237871914184348,-0.007368431196978831
36,36,36,36,2021-02-03,185.72000122070312,192.7400054931641,169.27000427246094,-0.036422144196265216,0.09718199641422531
37,37,37,37,2021-02-04,195.8000030517578,201.25,173.69000244140625,-0.02708073017760093,0.12729575853285113
38,38,38,38,2021-02-05,195.3099975585937,187.3699951171875,161.8300018310547,0.04237606152703499,0.20688373817415528
39,39,39,39,2021-02-08,200.42999267578125,183.6300048828125,180.3999938964844,0.09148824999318617,0.11103103911849521
40,40,40,40,2021-02-09,199.8800048828125,180.44000244140625,181.8699951171875,0.10773665583228387,0.09902683372273846
41,41,41,41,2021-02-10,211.6600036621093,179.1699981689453,177.52999877929688,0.18133619369984078,0.19224922614482987
42,42,42,42,2021-02-11,216.83999633789065,185.72000122070312,192.7400054931641,0.1675640475589144,0.1250388614603486
43,43,43,43,2021-02-12,212.67999267578125,195.8000030517578,201.25,0.08621036445827523,0.05679499466226701
44,44,44,44,2021-02-16,209.8600006103516,195.3099975585937,187.3699951171875,0.07449697011743006,0.12002991983373912
45,45,45,45,2021-02-17,201.9600067138672,200.42999267578125,183.6300048828125,0.007633658105056673,0.0998202981193208
46,46,46,46,2021-02-18,198.0399932861328,199.8800048828125,180.44000244140625,-0.009205581107317173,0.09753929620147139
47,47,47,47,2021-02-19,201.07000732421875,211.6600036621093,179.1699981689453,-0.05003305374026279,0.12223033643513914
48,48,48,48,2021-02-22,195.33999633789065,216.83999633789065,185.72000122070312,-0.09915144974683388,0.05179837957116673
49,49,49,49,2021-02-23,187.58999633789065,212.67999267578125,195.8000030517578,-0.11797064699047122,-0.04193057500462305
50,50,50,50,2021-02-24,200.1999969482422,209.8600006103516,195.3099975585937,-0.046030704441125,0.025037117663070374
51,51,51,51,2021-02-25,182.0599975585937,201.9600067138672,200.42999267578125,-0.09853440529672497,-0.0916529251532886
52,52,52,52,2021-02-26,206.3500061035156,198.0399932861328,199.8800048828125,0.0419612860992995,0.032369426969427906
53,53,53,53,2021-03-01,196.4199981689453,201.07000732421875,211.6600036621093,-0.023126319122152572,-0.07200229249496226
54,54,54,54,2021-03-02,189.8999938964844,195.33999633789065,216.83999633789065,-0.0278488918981874,-0.12423908363947311
55,55,55,55,2021-03-03,180.3999938964844,187.58999633789065,212.67999267578125,-0.0383282828603263,-0.15177731752373103
56,56,56,56,2021-03-04,180.22999572753903,200.1999969482422,209.8600006103516,-0.09975025736821563,-0.14118938719449814
57,57,57,57,2021-03-05,179.80999755859375,182.0599975585937,201.9600067138672,-0.01235856327678908,-0.10967522489071369
58,58,58,58,2021-03-08,180.8099975585937,206.3500061035156,198.0399932861328,-0.12377033094009093,-0.08700260710797347
59,59,59,59,2021-03-09,183.1100006103516,196.4199981689453,201.07000732421875,-0.06776294513120551,-0.08932215675959687
60,60,60,60,2021-03-10,183.7899932861328,189.8999938964844,195.33999633789065,-0.03217483310548286,-0.059127691554673456
61,61,61,61,2021-03-11,197.8699951171875,180.3999938964844,187.58999633789065,0.09684036481025382,0.054800357055182936
62,62,62,62,2021-03-12,206.7400054931641,180.22999572753903,200.1999969482422,0.14708988733319006,0.0326673758472269
63,63,63,63,2021-03-15,209.9900054931641,179.80999755859375,182.0599975585937,0.1678438815657941,0.15341100905805227
