,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FITB,FITB_6m,FITB_12m,FITB_6m_ret,FITB_12m_ret
0,0,0,0,2019-02-05,22.015195846557617,,,,
1,1,1,1,2019-02-06,21.87601661682129,,,,
2,2,2,2,2019-02-07,21.92513656616211,,,,
3,3,3,3,2019-02-08,21.63858795166016,,,,
4,4,4,4,2019-02-11,21.78595542907715,,,,
5,5,5,5,2019-02-12,22.16256332397461,,,,
6,6,6,6,2019-02-13,21.91695022583008,22.015195846557617,,-0.0044626276055999,
7,7,7,7,2019-02-14,21.7122745513916,21.87601661682129,,-0.007485003705097748,
8,8,8,8,2019-02-15,22.24443626403809,21.92513656616211,,0.014563179431628548,
9,9,9,9,2019-02-19,22.522798538208008,21.63858795166016,,0.04086267498245011,
10,10,10,10,2019-02-20,22.86665916442871,21.78595542907715,,0.04960552402072649,
11,11,11,11,2019-02-21,22.711105346679688,22.16256332397461,,0.024750838370383166,
12,12,12,12,2019-02-22,22.784788131713867,21.91695022583008,22.015195846557617,0.03959665450446659,0.0349573217753858
13,13,13,13,2019-02-25,22.67835807800293,21.7122745513916,21.87601661682129,0.044494809805608826,0.03667676228425831
14,14,14,14,2019-02-26,22.48186111450196,22.24443626403809,21.92513656616211,0.010673448751214565,0.0253920675321615
15,15,15,15,2019-02-27,22.76841163635254,22.522798538208008,21.63858795166016,0.01090508791471323,0.05221337396027703
16,16,16,16,2019-02-28,22.580108642578125,22.86665916442871,21.78595542907715,-0.01253136804069499,0.03645253090167633
17,17,17,17,2019-03-01,22.57192039489746,22.711105346679688,22.16256332397461,-0.006128497475468508,0.018470655444446038
18,18,18,18,2019-03-04,22.408178329467773,22.784788131713867,21.91695022583008,-0.016529001721191983,0.022413159612816758
19,19,19,19,2019-03-05,22.4327392578125,22.67835807800293,21.7122745513916,-0.010830538055075056,0.033182369019680635
20,20,20,20,2019-03-06,21.9497013092041,22.48186111450196,22.24443626403809,-0.023670629517170583,-0.013249828017016463
21,21,21,21,2019-03-07,21.777772903442383,22.76841163635254,22.522798538208008,-0.04350934745612567,-0.033078732800533306
22,22,22,22,2019-03-08,21.8350830078125,22.580108642578125,22.86665916442871,-0.032994776356424116,-0.045112674711176304
23,23,23,23,2019-03-11,22.16256332397461,22.57192039489746,22.711105346679688,-0.018135677592385546,-0.02415303061351326
24,24,24,24,2019-03-12,22.809350967407227,22.408178329467773,22.784788131713867,0.01790295632429406,0.001078036607203403
25,25,25,25,2019-03-13,22.9075927734375,22.4327392578125,22.67835807800293,0.02116787923969765,0.010108081662971724
26,26,26,26,2019-03-14,23.259639739990234,21.9497013092041,22.48186111450196,0.05967910051864078,0.0345958291231756
27,27,27,27,2019-03-15,23.18595314025879,21.777772903442383,22.76841163635254,0.06466135187743727,0.018338631195493393
28,28,28,28,2019-03-18,23.546186447143555,21.8350830078125,22.580108642578125,0.07836486990769997,0.04278446219447085
