,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ES,ES_6m,ES_12m,ES_6m_ret,ES_12m_ret
0,0,0,0,2019-02-05,59.53238296508789,,,,
1,1,1,1,2019-02-06,59.28328704833984,,,,
2,2,2,2,2019-02-07,60.1422004699707,,,,
3,3,3,3,2019-02-08,60.1679801940918,,,,
4,4,4,4,2019-02-11,60.253868103027344,,,,
5,5,5,5,2019-02-12,60.36555480957031,,,,
6,6,6,6,2019-02-13,60.17656707763672,59.53238296508789,,0.010820734539159993,
7,7,7,7,2019-02-14,60.21092987060547,59.28328704833984,,0.01564762799858288,
8,8,8,8,2019-02-15,60.29681015014648,60.1422004699707,,0.002570735340037489,
9,9,9,9,2019-02-19,60.46860504150391,60.1679801940918,,0.0049964257806618395,
10,10,10,10,2019-02-20,60.3569450378418,60.253868103027344,,0.0017107106657152649,
11,11,11,11,2019-02-21,60.580265045166016,60.36555480957031,,0.003556833632574641,
12,12,12,12,2019-02-22,60.38271331787109,60.17656707763672,59.53238296508789,0.003425689603868687,0.014283492620845717
13,13,13,13,2019-02-25,59.58390808105469,60.21092987060547,59.28328704833984,-0.010413753630748812,0.005070923824951334
14,14,14,14,2019-02-26,59.83298110961914,60.29681015014648,60.1422004699707,-0.0076924308163623945,-0.0051414706800752
15,15,15,15,2019-02-27,59.83298110961914,60.46860504150391,60.1679801940918,-0.010511635442036371,-0.005567730267693971
16,16,16,16,2019-02-28,59.96184921264648,60.3569450378418,60.253868103027344,-0.006545987788938112,-0.004846475414350904
17,17,17,17,2019-03-01,59.90170669555664,60.580265045166016,60.36555480957031,-0.011200980205409605,-0.0076839865959474896
18,18,18,18,2019-03-04,59.69831085205078,60.38271331787109,60.17656707763672,-0.01133441059889817,-0.007947549167584
19,19,19,19,2019-03-05,59.36938095092773,59.58390808105469,60.21092987060547,-0.0036004206007288486,-0.013976680338374514
20,20,20,20,2019-03-06,59.78487396240234,59.83298110961914,60.29681015014648,-0.000804023906625484,-0.00849026982471135
21,21,21,21,2019-03-07,60.06184005737305,59.83298110961914,60.46860504150391,0.003824963147575966,-0.006726878912646894
22,22,22,22,2019-03-08,60.31286239624024,59.96184921264648,60.3569450378418,0.005853941934794937,-0.0007303656865654817
23,23,23,23,2019-03-11,60.832218170166016,59.90170669555664,60.580265045166016,0.015533972668568374,0.004158996742786636
24,24,24,24,2019-03-12,61.03129196166992,59.69831085205078,60.38271331787109,0.022328623550549764,0.010741131164221374
25,25,25,25,2019-03-13,61.109169006347656,59.36938095092773,59.58390808105469,0.029304466840541332,0.02559853783370647
26,26,26,26,2019-03-14,61.38615798950195,59.78487396240234,59.83298110961914,0.02678409973911866,0.025958540775985472
27,27,27,27,2019-03-15,62.08727264404297,60.06184005737305,59.83298110961914,0.03372245313721933,0.037676403425290994
28,28,28,28,2019-03-18,61.68046188354492,60.31286239624024,59.96184921264648,0.022675088413478095,0.028661768999211912
29,29,29,29,2019-03-19,60.762943267822266,60.832218170166016,59.90170669555664,-0.0011387863935845566,0.014377496398270573
30,30,30,30,2019-03-20,60.78027725219727,61.03129196166992,59.69831085205078,-0.004112885397056565,0.018123903083755666
31,31,31,31,2019-03-21,61.33422088623047,61.109169006347656,59.36938095092773,0.00368278416385337,0.033095173030805114
32,32,32,32,2019-03-22,62.052642822265625,61.38615798950195,59.78487396240234,0.010857249493894994,0.03793215088635038
33,33,33,33,2019-03-25,62.12191009521485,62.08727264404297,60.06184005737305,0.0005578832777928255,0.03429914960770364
34,34,34,34,2019-03-26,62.27770614624024,61.68046188354492,60.31286239624024,0.009682875978181515,0.0325775244605615
35,35,35,35,2019-03-27,61.65449905395508,60.762943267822266,60.832218170166016,0.014672689277132944,0.013517193824642337
36,36,36,36,2019-03-28,60.88413238525391,60.78027725219727,61.03129196166992,0.001708697915702384,-0.00241121516005971
37,37,37,37,2019-03-29,61.4121322631836,61.33422088623047,61.109169006347656,0.0012702758073286358,0.0049577381228089745
38,38,38,38,2019-04-01,61.17842102050781,62.052642822265625,61.38615798950195,-0.014088389502793675,-0.003384101168697806
39,39,39,39,2019-04-02,61.22170639038086,62.12191009521485,62.08727264404297,-0.014490921213694774,-0.013941122178526832
40,40,40,40,2019-04-03,61.03129196166992,62.27770614624024,61.68046188354492,-0.020013810104750784,-0.010524725367664356
41,41,41,41,2019-04-04,60.90144348144531,61.65449905395508,60.762943267822266,-0.01221412198728189,0.0022793532731386623
42,42,42,42,2019-04-05,61.524658203125,60.88413238525391,60.78027725219727,0.010520406430661655,0.012247080542904465
43,43,43,43,2019-04-08,61.12649917602539,61.4121322631836,61.33422088623047,-0.004651085650863251,-0.0033867180051146972
44,44,44,44,2019-04-09,61.26499176025391,61.17842102050781,62.052642822265625,0.0014150535156356447,-0.01269327181225366
45,45,45,45,2019-04-10,60.8581657409668,61.22170639038086,62.12191009521485,-0.005938100566749038,-0.020342973232972072
46,46,46,46,2019-04-11,61.109169006347656,61.03129196166992,62.27770614624024,0.0012760182879079096,-0.018763329804547202
47,47,47,47,2019-04-12,61.17842102050781,60.90144348144531,61.65449905395508,0.004547963450930226,-0.00772170791673521
48,48,48,48,2019-04-15,61.26499176025391,61.524658203125,60.88413238525391,-0.004220526378444722,0.006255478399364467
49,49,49,49,2019-04-16,60.719669342041016,61.12649917602539,61.4121322631836,-0.006655539569063618,-0.011275669735338556
50,50,50,50,2019-04-17,60.771610260009766,61.26499176025391,61.17842102050781,-0.0080532370293116,-0.006649579275046613
