,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WAB,WAB_6m,WAB_12m,WAB_6m_ret,WAB_12m_ret
0,0,0,0,2019-02-05,70.38182067871094,,,,
1,1,1,1,2019-02-06,70.39151000976562,,,,
2,2,2,2,2019-02-07,71.08020782470703,,,,
3,3,3,3,2019-02-08,71.19658660888672,,,,
4,4,4,4,2019-02-11,71.64277648925781,,,,
5,5,5,5,2019-02-12,68.44185638427734,,,,
6,6,6,6,2019-02-13,71.16749572753906,70.38182067871094,,0.011163039564075605,
7,7,7,7,2019-02-14,69.88710021972656,70.39151000976562,,-0.007165775957485243,
8,8,8,8,2019-02-15,72.67095947265625,71.08020782470703,,0.02237967074986913,
9,9,9,9,2019-02-19,72.33146667480469,71.19658660888672,,0.01594009095060067,
10,10,10,10,2019-02-20,72.82617950439453,71.64277648925781,,0.016518106543709443,
11,11,11,11,2019-02-21,71.37120056152344,68.44185638427734,,0.042800478128454555,
12,12,12,12,2019-02-22,71.15780639648438,71.16749572753906,70.38182067871094,-0.00013614826481711528,0.011025371470791745
13,13,13,13,2019-02-25,75.71670532226562,69.88710021972656,70.39151000976562,0.0834146084786842,0.0756511021252595
14,14,14,14,2019-02-26,71.73978424072266,72.67095947265625,71.08020782470703,-0.012813581087834147,0.009279325936162541
15,15,15,15,2019-02-27,73.03955078125,72.33146667480469,71.19658660888672,0.009789433824545446,0.025885569240664097
16,16,16,16,2019-02-28,71.06080627441406,72.82617950439453,71.64277648925781,-0.02424091503899284,-0.008123222512614547
17,17,17,17,2019-03-01,70.24600982666016,71.37120056152344,68.44185638427734,-0.015765332879518312,0.026360381463838678
18,18,18,18,2019-03-04,71.42938995361328,71.15780639648438,71.16749572753906,0.0038166375677135544,0.003679969674313943
19,19,19,19,2019-03-05,70.85709381103516,75.71670532226562,69.88710021972656,-0.0641814972078748,0.013879436809638879
20,20,20,20,2019-03-06,66.93838500976562,71.73978424072266,72.67095947265625,-0.06692798538180644,-0.0788839793019055
21,21,21,21,2019-03-07,67.63677215576172,73.03955078125,72.33146667480469,-0.07397058946418422,-0.06490528583016109
22,22,22,22,2019-03-08,68.01506042480469,71.06080627441406,72.82617950439453,-0.04286112147176713,-0.06606304370668692
23,23,23,23,2019-03-11,68.975341796875,70.24600982666016,71.37120056152344,-0.01808882857433003,-0.03356898504997341
24,24,24,24,2019-03-12,69.63492584228516,71.42938995361328,71.15780639648438,-0.02512220967438561,-0.021401454475899362
25,25,25,25,2019-03-13,70.29452514648438,70.85709381103516,75.71670532226562,-0.007939482616250992,-0.07161141194275888
26,26,26,26,2019-03-14,70.0908203125,66.93838500976562,71.73978424072266,0.047094582611672875,-0.022985348306729825
27,27,27,27,2019-03-15,68.98503875732422,67.63677215576172,73.03955078125,0.01993392881696887,-0.05551118511214359
28,28,28,28,2019-03-18,69.93563079833984,68.01506042480469,71.06080627441406,0.028237428027553912,-0.015833981276952458
29,29,29,29,2019-03-19,70.16839599609375,68.975341796875,70.24600982666016,0.01729682185167225,-0.0011048859680133916
30,30,30,30,2019-03-20,70.30421447753906,69.63492584228516,71.42938995361328,0.009611392949132602,-0.015752276154184064
