,Unnamed: 0.1,Unnamed: 0,Date,PTC,PTC_6m,PTC_12m
0,0,0,2019-02-05,87.72000122070312,,
1,1,1,2019-02-06,86.88999938964844,,
2,2,2,2019-02-07,86.45999908447266,,
3,3,3,2019-02-08,87.26000213623047,,
4,4,4,2019-02-11,87.80999755859375,,
5,5,5,2019-02-12,89.0,,
6,6,6,2019-02-13,90.3499984741211,87.72000122070312,
7,7,7,2019-02-14,90.98999786376952,86.88999938964844,
8,8,8,2019-02-15,91.93000030517578,86.45999908447266,
9,9,9,2019-02-19,92.62000274658205,87.26000213623047,
10,10,10,2019-02-20,91.83000183105467,87.80999755859375,
11,11,11,2019-02-21,91.6999969482422,89.0,
12,12,12,2019-02-22,92.9800033569336,90.3499984741211,87.72000122070312
13,13,13,2019-02-25,93.1999969482422,90.98999786376952,86.88999938964844
14,14,14,2019-02-26,93.0999984741211,91.93000030517578,86.45999908447266
15,15,15,2019-02-27,93.52999877929688,92.62000274658205,87.26000213623047
16,16,16,2019-02-28,92.81999969482422,91.83000183105467,87.80999755859375
17,17,17,2019-03-01,93.62000274658205,91.6999969482422,89.0
18,18,18,2019-03-04,91.2699966430664,92.9800033569336,90.3499984741211
19,19,19,2019-03-05,90.61000061035156,93.1999969482422,90.98999786376952
20,20,20,2019-03-06,89.95999908447266,93.0999984741211,91.93000030517578
21,21,21,2019-03-07,89.63999938964844,93.52999877929688,92.62000274658205
22,22,22,2019-03-08,88.45999908447266,92.81999969482422,91.83000183105467
23,23,23,2019-03-11,90.41999816894533,93.62000274658205,91.6999969482422
24,24,24,2019-03-12,90.1999969482422,91.2699966430664,92.9800033569336
25,25,25,2019-03-13,91.26000213623048,90.61000061035156,93.1999969482422
26,26,26,2019-03-14,91.66000366210938,89.95999908447266,93.0999984741211
27,27,27,2019-03-15,91.1999969482422,89.63999938964844,93.52999877929688
28,28,28,2019-03-18,91.83000183105467,88.45999908447266,92.81999969482422
29,29,29,2019-03-19,92.5999984741211,90.41999816894533,93.62000274658205
30,30,30,2019-03-20,92.9800033569336,90.1999969482422,91.2699966430664
31,31,31,2019-03-21,94.95999908447266,91.26000213623048,90.61000061035156
32,32,32,2019-03-22,93.12000274658205,91.66000366210938,89.95999908447266
33,33,33,2019-03-25,92.01000213623048,91.1999969482422,89.63999938964844
34,34,34,2019-03-26,92.72000122070312,91.83000183105467,88.45999908447266
35,35,35,2019-03-27,90.04000091552734,92.5999984741211,90.41999816894533
36,36,36,2019-03-28,90.37999725341795,92.9800033569336,90.1999969482422
37,37,37,2019-03-29,92.18000030517578,94.95999908447266,91.26000213623048
38,38,38,2019-04-01,94.95999908447266,93.12000274658205,91.66000366210938
39,39,39,2019-04-02,95.01000213623048,92.01000213623048,91.1999969482422
40,40,40,2019-04-03,95.20999908447266,92.72000122070312,91.83000183105467
41,41,41,2019-04-04,93.69000244140624,90.04000091552734,92.5999984741211
42,42,42,2019-04-05,94.16000366210938,90.37999725341795,92.9800033569336
43,43,43,2019-04-08,94.2699966430664,92.18000030517578,94.95999908447266
44,44,44,2019-04-09,94.0999984741211,94.95999908447266,93.12000274658205
45,45,45,2019-04-10,95.18000030517578,95.01000213623048,92.01000213623048
46,46,46,2019-04-11,97.06999969482422,95.20999908447266,92.72000122070312
47,47,47,2019-04-12,98.58999633789062,93.69000244140624,90.04000091552734
48,48,48,2019-04-15,97.98999786376952,94.16000366210938,90.37999725341795
49,49,49,2019-04-16,97.33000183105467,94.2699966430664,92.18000030517578
50,50,50,2019-04-17,96.2300033569336,94.0999984741211,94.95999908447266
51,51,51,2019-04-18,97.5999984741211,95.18000030517578,95.01000213623048
52,52,52,2019-04-22,99.4800033569336,97.06999969482422,95.20999908447266
53,53,53,2019-04-23,100.81999969482422,98.58999633789062,93.69000244140624
54,54,54,2019-04-24,101.88999938964844,97.98999786376952,94.16000366210938
55,55,55,2019-04-25,90.83000183105467,97.33000183105467,94.2699966430664
56,56,56,2019-04-26,92.18000030517578,96.2300033569336,94.0999984741211
57,57,57,2019-04-29,90.98999786376952,97.5999984741211,95.18000030517578
58,58,58,2019-04-30,90.47000122070312,99.4800033569336,97.06999969482422
59,59,59,2019-05-01,87.93000030517578,100.81999969482422,98.58999633789062
60,60,60,2019-05-02,87.87000274658203,101.88999938964844,97.98999786376952
61,61,61,2019-05-03,88.41999816894531,90.83000183105467,97.33000183105467
62,62,62,2019-05-06,88.29000091552734,92.18000030517578,96.2300033569336
63,63,63,2019-05-07,86.37000274658203,90.98999786376952,97.5999984741211
64,64,64,2019-05-08,86.4800033569336,90.47000122070312,99.4800033569336
65,65,65,2019-05-09,86.33000183105469,87.93000030517578,100.81999969482422
66,66,66,2019-05-10,87.55999755859375,87.87000274658203,101.88999938964844
67,67,67,2019-05-13,83.93000030517578,88.41999816894531,90.83000183105467
68,68,68,2019-05-14,85.45999908447266,88.29000091552734,92.18000030517578
69,69,69,2019-05-15,87.06999969482422,86.37000274658203,90.98999786376952
70,70,70,2019-05-16,88.55000305175781,86.4800033569336,90.47000122070312
71,71,71,2019-05-17,86.83999633789062,86.33000183105469,87.93000030517578
72,72,72,2019-05-20,83.8499984741211,87.55999755859375,87.87000274658203
73,73,73,2019-05-21,85.33000183105469,83.93000030517578,88.41999816894531
74,74,74,2019-05-22,86.5199966430664,85.45999908447266,88.29000091552734
75,75,75,2019-05-23,84.7699966430664,87.06999969482422,86.37000274658203
76,76,76,2019-05-24,85.44000244140625,88.55000305175781,86.4800033569336
77,77,77,2019-05-28,86.4000015258789,86.83999633789062,86.33000183105469
