,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TMUS,TMUS_6m,TMUS_12m,TMUS_6m_ret,TMUS_12m_ret
0,0,0,0,2019-02-05,66.55944061279297,,,,
1,1,1,1,2019-02-06,66.64905548095703,,,,
2,2,2,2,2019-02-07,67.98323059082031,,,,
3,3,3,3,2019-02-08,68.08279418945312,,,,
4,4,4,4,2019-02-11,68.14253997802734,,,,
5,5,5,5,2019-02-12,69.29749298095703,,,,
6,6,6,6,2019-02-13,68.7697982788086,66.55944061279297,,0.03320877768300812,
7,7,7,7,2019-02-14,70.1935806274414,66.64905548095703,,0.0531819261489328,
8,8,8,8,2019-02-15,71.73684692382812,67.98323059082031,,0.05521385642291987,
9,9,9,9,2019-02-19,72.20479583740234,68.08279418945312,,0.06054395529770673,
10,10,10,10,2019-02-20,72.43379974365234,68.14253997802734,,0.06297475507970085,
11,11,11,11,2019-02-21,73.09093475341797,69.29749298095703,,0.054741399858482254,
12,12,12,12,2019-02-22,72.88184356689453,68.7697982788086,66.55944061279297,0.059794348551303944,0.09498882346205262
13,13,13,13,2019-02-25,72.73249816894531,70.1935806274414,66.64905548095703,0.03617022409754855,0.0912757524332275
14,14,14,14,2019-02-26,72.21475982666016,71.73684692382812,67.98323059082031,0.006662028278709986,0.06224372097449615
15,15,15,15,2019-02-27,71.8065414428711,72.20479583740234,68.08279418945312,-0.005515622472336612,0.05469439522496611
16,16,16,16,2019-02-28,71.89614868164062,72.43379974365234,68.14253997802734,-0.007422654394971695,0.05508466084216468
17,17,17,17,2019-03-01,72.02558135986328,73.09093475341797,69.29749298095703,-0.014575725391237637,0.03936777885537546
18,18,18,18,2019-03-04,71.33858489990234,72.88184356689453,68.7697982788086,-0.02117480282418638,0.03735341218654287
19,19,19,19,2019-03-05,71.0996322631836,72.73249816894531,70.1935806274414,-0.022450293154634204,0.012907898808455665
20,20,20,20,2019-03-06,70.47236633300781,72.21475982666016,71.73684692382812,-0.02412794140470287,-0.01762665415393805
21,21,21,21,2019-03-07,71.01001739501953,71.8065414428711,72.20479583740234,-0.011092639080595101,-0.01654707874354122
22,22,22,22,2019-03-08,70.34293365478516,71.89614868164062,72.43379974365234,-0.02160359150436797,-0.028865889905912545
23,23,23,23,2019-03-11,71.15936279296875,72.02558135986328,73.09093475341797,-0.012026540439383893,-0.02642697027977048
24,24,24,24,2019-03-12,71.38835906982422,71.33858489990234,72.88184356689453,0.0006977173712054974,-0.02049185948074328
25,25,25,25,2019-03-13,71.93597412109375,71.0996322631836,72.73249816894531,0.011762956168526184,-0.01095141880045658
26,26,26,26,2019-03-14,72.02558135986328,70.47236633300781,72.21475982666016,0.02204005779394369,-0.002619664833767632
27,27,27,27,2019-03-15,73.14071655273438,71.01001739501953,71.8065414428711,0.030005613797586372,0.018580133272742883
28,28,28,28,2019-03-18,73.35975646972656,70.34293365478516,71.89614868164062,0.04288736136236171,0.02035724882242107
29,29,29,29,2019-03-19,72.27449035644531,71.15936279296875,72.02558135986328,0.015670848075479693,0.0034558415479966076
30,30,30,30,2019-03-20,71.74679565429688,71.38835906982422,71.33858489990234,0.005020938835729183,0.005722159403179994
31,31,31,31,2019-03-21,71.94593048095703,71.93597412109375,71.0996322631836,0.0001384058530509158,0.011902990083560105
32,32,32,32,2019-03-22,71.58749389648438,72.02558135986328,70.47236633300781,-0.006082387050651894,0.01582361458117032
33,33,33,33,2019-03-25,71.99571228027344,73.14071655273438,71.01001739501953,-0.01565481343945252,0.013881068071996294
34,34,34,34,2019-03-26,73.02123260498047,73.35975646972656,70.34293365478516,-0.004614571817530444,0.03807488273576021
35,35,35,35,2019-03-27,71.92601776123047,72.27449035644531,71.15936279296875,-0.004821515772663876,0.010773775061649005
36,36,36,36,2019-03-28,68.84944915771484,71.74679565429688,71.38835906982422,-0.04038293933770287,-0.035564760770395276
37,37,37,37,2019-03-29,68.79966735839844,71.94593048095703,71.93597412109375,-0.04373093935300987,-0.043598586117924776
38,38,38,38,2019-04-01,69.66588592529297,71.58749389648438,72.02558135986328,-0.02684278868554968,-0.032761907505897137
39,39,39,39,2019-04-02,69.42693328857422,71.99571228027344,73.14071655273438,-0.0356796107759747,-0.05077586656513711
40,40,40,40,2019-04-03,68.70010375976562,73.02123260498047,73.35975646972656,-0.059176333938248504,-0.06351783231292274
41,41,41,41,2019-04-04,69.74553680419922,71.92601776123047,72.27449035644531,-0.030315607966364788,-0.03499095655706086
