,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PANW,PANW_6m,PANW_12m,PANW_6m_ret,PANW_12m_ret
0,0,0,0,2019-02-05,72.97666931152344,,,,
1,1,1,1,2019-02-06,73.51667022705078,,,,
2,2,2,2,2019-02-07,73.1500015258789,,,,
3,3,3,3,2019-02-08,74.87333679199219,,,,
4,4,4,4,2019-02-11,74.62000274658203,,,,
5,5,5,5,2019-02-12,74.81666564941406,,,,
6,6,6,6,2019-02-13,74.05332946777344,72.97666931152344,,0.014753484454791188,
7,7,7,7,2019-02-14,75.05332946777344,73.51667022705078,,0.020902187707587894,
8,8,8,8,2019-02-15,75.58999633789062,73.1500015258789,,0.03335604594824915,
9,9,9,9,2019-02-19,76.63333129882812,74.87333679199219,,0.02350629185560993,
10,10,10,10,2019-02-20,75.54666900634766,74.62000274658203,,0.01241846992304052,
11,11,11,11,2019-02-21,75.3933334350586,74.81666564941406,,0.007707745067746741,
12,12,12,12,2019-02-22,76.69999694824219,74.05332946777344,72.97666931152344,0.035740020057039246,0.051020794342155895
13,13,13,13,2019-02-25,77.95999908447266,75.05332946777344,73.51667022705078,0.03872805693380044,0.06043974575696898
14,14,14,14,2019-02-26,78.51667022705078,75.58999633789062,73.1500015258789,0.03871774085128665,0.07336525754238377
15,15,15,15,2019-02-27,84.95999908447266,76.63333129882812,74.87333679199219,0.10865595485044333,0.13471634529261767
16,16,16,16,2019-02-28,82.08999633789062,75.54666900634766,74.62000274658203,0.08661304882936904,0.10010712029423985
17,17,17,17,2019-03-01,81.82333374023438,75.3933334350586,74.81666564941406,0.08528605928685162,0.09365116755741432
18,18,18,18,2019-03-04,80.84666442871094,76.69999694824219,74.05332946777344,0.054063463434906645,0.09173571275946246
19,19,19,19,2019-03-05,78.11333465576172,77.95999908447266,75.05332946777344,0.0019668493213156335,0.0407710785076123
20,20,20,20,2019-03-06,78.14666748046875,78.51667022705078,75.58999633789062,-0.004712410059062311,0.03382287692077268
21,21,21,21,2019-03-07,78.17333221435547,84.95999908447266,76.63333129882812,-0.07988073144126862,0.020095706260271795
22,22,22,22,2019-03-08,78.20999908447266,82.08999633789062,75.54666900634766,-0.047265165385652064,0.03525410336624124
