,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MOH,MOH_6m,MOH_12m,MOH_6m_ret,MOH_12m_ret
0,0,0,0,2019-02-05,138.57000732421875,,,,
1,1,1,1,2019-02-06,138.27999877929688,,,,
2,2,2,2,2019-02-07,137.8000030517578,,,,
3,3,3,3,2019-02-08,136.89999389648438,,,,
4,4,4,4,2019-02-11,137.08999633789062,,,,
5,5,5,5,2019-02-12,129.38999938964844,,,,
6,6,6,6,2019-02-13,137.00999450683594,138.57000732421875,,-0.011257939921535676,
7,7,7,7,2019-02-14,136.0800018310547,138.27999877929688,,-0.015909726407746905,
8,8,8,8,2019-02-15,135.33999633789062,137.8000030517578,,-0.01785200768786055,
9,9,9,9,2019-02-19,134.86000061035156,136.89999389648438,,-0.014901339496591448,
10,10,10,10,2019-02-20,137.6699981689453,137.08999633789062,,0.00423081075606091,
11,11,11,11,2019-02-21,136.57000732421875,129.38999938964844,,0.055491212369112475,
12,12,12,12,2019-02-22,141.72999572753906,137.00999450683594,138.57000732421875,0.03445005043385807,0.022804273914244222
13,13,13,13,2019-02-25,145.60000610351562,136.0800018310547,138.27999877929688,0.06995887819196356,0.05293612517238966
14,14,14,14,2019-02-26,145.8300018310547,135.33999633789062,137.8000030517578,0.07750853980352312,0.05827284906721508
15,15,15,15,2019-02-27,140.3300018310547,134.86000061035156,136.89999389648438,0.04056059021167813,0.025054843590160303
16,16,16,16,2019-02-28,134.6300048828125,137.6699981689453,137.08999633789062,-0.022081741313036196,-0.017944354225635117
17,17,17,17,2019-03-01,138.39999389648438,136.57000732421875,129.38999938964844,0.013399622714533654,0.06963439639336433
18,18,18,18,2019-03-04,132.72999572753906,141.72999572753906,137.00999450683594,-0.0635010249862813,-0.031238588065802264
19,19,19,19,2019-03-05,134.0800018310547,145.60000610351562,136.0800018310547,-0.07912090514797565,-0.014697236721697204
20,20,20,20,2019-03-06,129.4499969482422,145.8300018310547,135.33999633789062,-0.11232259944554401,-0.04352002031198099
21,21,21,21,2019-03-07,130.33999633789062,140.3300018310547,134.86000061035156,-0.07118937762996091,-0.0335162705917561
22,22,22,22,2019-03-08,132.5500030517578,134.6300048828125,137.6699981689453,-0.015449764210178851,-0.037190347826578485
23,23,23,23,2019-03-11,135.85000610351562,138.39999389648438,136.57000732421875,-0.018424768102778932,-0.005272030329425359
24,24,24,24,2019-03-12,138.94000244140625,132.72999572753906,141.72999572753906,0.04678676195104203,-0.019685270374919628
25,25,25,25,2019-03-13,141.77000427246094,134.0800018310547,145.60000610351562,0.057353836041081685,-0.026304956528172885
26,26,26,26,2019-03-14,140.1300048828125,129.4499969482422,145.8300018310547,0.08250296011084868,-0.0390865862762978
27,27,27,27,2019-03-15,139.39999389648438,130.33999633789062,140.3300018310547,0.0695104941932545,-0.006627292257075257
28,28,28,28,2019-03-18,143.02000427246094,132.5500030517578,134.6300048828125,0.07898906812257733,0.06231894143472272
29,29,29,29,2019-03-19,145.6300048828125,135.85000610351562,138.39999389648438,0.0719911545078964,0.0522399660778583
30,30,30,30,2019-03-20,142.5800018310547,138.94000244140625,132.72999572753906,0.026198354150623437,0.07421085226081958
31,31,31,31,2019-03-21,148.2899932861328,141.77000427246094,134.0800018310547,0.045989904896535316,0.10598143840259788
32,32,32,32,2019-03-22,146.47999572753906,140.1300048828125,129.4499969482422,0.04531499766974889,0.13155657922576824
33,33,33,33,2019-03-25,144.22999572753906,139.39999389648438,130.33999633789062,0.03464850819607168,0.10656743731709417
34,34,34,34,2019-03-26,130.2100067138672,143.02000427246094,132.5500030517578,-0.08956787285637335,-0.01765368754444241
35,35,35,35,2019-03-27,133.0800018310547,145.6300048828125,135.85000610351562,-0.08617731669965067,-0.020390166713354696
36,36,36,36,2019-03-28,138.1999969482422,142.5800018310547,138.94000244140625,-0.0307196298678859,-0.0053260794599174766
37,37,37,37,2019-03-29,141.9600067138672,148.2899932861328,141.77000427246094,-0.04268653893625585,0.0013402160942388441
38,38,38,38,2019-04-01,144.6999969482422,146.47999572753906,140.1300048828125,-0.012151821622167214,0.03261251627909001
