,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GIS,GIS_6m,GIS_12m,GIS_6m_ret,GIS_12m_ret
0,0,0,0,2019-02-05,37.87980270385742,,,,
1,1,1,1,2019-02-06,37.23447036743164,,,,
2,2,2,2,2019-02-07,37.24295425415039,,,,
3,3,3,3,2019-02-08,37.31937789916992,,,,
4,4,4,4,2019-02-11,37.35334396362305,,,,
5,5,5,5,2019-02-12,38.07511520385742,,,,
6,6,6,6,2019-02-13,37.76092529296875,37.87980270385742,,-0.003138279568614677,
7,7,7,7,2019-02-14,37.81188201904297,37.23447036743164,,0.015507449036159304,
8,8,8,8,2019-02-15,38.24494171142578,37.24295425415039,,0.02690408098234398,
9,9,9,9,2019-02-19,38.83933639526367,37.31937789916992,,0.04072839853334087,
10,10,10,10,2019-02-20,39.86677932739258,37.35334396362305,,0.06728809517609102,
11,11,11,11,2019-02-21,39.86677932739258,38.07511520385742,,0.04705603946153358,
12,12,12,12,2019-02-22,39.5526008605957,37.76092529296875,37.87980270385742,0.047447872469390306,0.044160688212030674
13,13,13,13,2019-02-25,39.22993469238281,37.81188201904297,37.23447036743164,0.03750283238019403,0.05359185467820082
14,14,14,14,2019-02-26,39.79035568237305,38.24494171142578,37.24295425415039,0.04040832334398803,0.06839955312993928
15,15,15,15,2019-02-27,39.98566055297852,38.83933639526367,37.31937789916992,0.02951451451303999,0.07144499195598608
16,16,16,16,2019-02-28,40.019622802734375,39.86677932739258,37.35334396362305,0.0038338556041013216,0.07137992362097245
17,17,17,17,2019-03-01,40.09604644775391,39.86677932739258,38.07511520385742,0.005750831249210275,0.05307748205294338
18,18,18,18,2019-03-04,39.7224235534668,39.5526008605957,37.76092529296875,0.004293591045242184,0.05194518527498282
19,19,19,19,2019-03-05,39.75639343261719,39.22993469238281,37.81188201904297,0.013419821989573588,0.05142593570441467
20,20,20,20,2019-03-06,39.74789810180664,39.79035568237305,38.24494171142578,-0.0010670319437534603,0.039298174428432864
21,21,21,21,2019-03-07,39.39975738525391,39.98566055297852,38.83933639526367,-0.014652832030830787,0.014429211258578212
22,22,22,22,2019-03-08,39.53561782836914,40.019622802734375,39.86677932739258,-0.012094191310872748,-0.008306703089905665
23,23,23,23,2019-03-11,39.83281326293945,40.09604644775391,39.86677932739258,-0.0065650658390337124,-0.0008519891756038067
24,24,24,24,2019-03-12,39.7648811340332,39.7224235534668,39.5526008605957,0.0010688567506274005,0.005367037029642807
25,25,25,25,2019-03-13,39.97716522216797,39.75639343261719,39.22993469238281,0.005553114115468327,0.019047457907959364
26,26,26,26,2019-03-14,40.29983139038086,39.74789810180664,39.79035568237305,0.013885848433055514,0.012803999845457659
27,27,27,27,2019-03-15,40.34228897094727,39.39975738525391,39.98566055297852,0.02392226877128234,0.00891890775434967
28,28,28,28,2019-03-18,40.43569946289063,39.53561782836914,40.019622802734375,0.02276634801633559,0.010396816137103304
29,29,29,29,2019-03-19,40.1130256652832,39.83281326293945,40.09604644775391,0.007034712825680911,0.00042346363378786833
30,30,30,30,2019-03-20,41.004615783691406,39.7648811340332,39.7224235534668,0.031176621538978155,0.032278801631999254
31,31,31,31,2019-03-21,42.490604400634766,39.97716522216797,39.75639343261719,0.06287187109187653,0.06877411988217119
32,32,32,32,2019-03-22,43.08499526977539,40.29983139038086,39.74789810180664,0.06911105538916273,0.08395656946240049
33,33,33,33,2019-03-25,43.3821907043457,40.34228897094727,39.39975738525391,0.07535273309820445,0.10107761020331285
34,34,34,34,2019-03-26,43.98507308959961,40.43569946289063,39.53561782836914,0.08777821761105864,0.112542955077781
35,35,35,35,2019-03-27,43.56051254272461,40.1130256652832,39.83281326293945,0.08594432407588526,0.09358363054043739
36,36,36,36,2019-03-28,43.72183990478516,41.004615783691406,39.7648811340332,0.06626629878518386,0.09950887964217636
37,37,37,37,2019-03-29,43.94260787963867,42.490604400634766,39.97716522216797,0.034172342320981874,0.09919269251417062
38,38,38,38,2019-04-01,43.297271728515625,43.08499526977539,40.29983139038086,0.00492692310654963,0.07437848335142716
39,39,39,39,2019-04-02,43.28878402709961,43.3821907043457,40.34228897094727,-0.0021531111207054865,0.07303737916988973
40,40,40,40,2019-04-03,42.702884674072266,43.98507308959961,40.43569946289063,-0.029150535067100303,0.056068900533359445
41,41,41,41,2019-04-04,42.67740249633789,43.56051254272461,40.1130256652832,-0.020273178501298728,0.06392878095142263
42,42,42,42,2019-04-05,43.203887939453125,43.72183990478516,41.004615783691406,-0.01184652719235979,0.05363474608232832
43,43,43,43,2019-04-08,43.56900024414063,43.94260787963867,42.490604400634766,-0.008502172572947275,0.025379630596399805
44,44,44,44,2019-04-09,43.74903869628906,43.297271728515625,43.08499526977539,0.01043407470581803,0.015412405696131115
45,45,45,45,2019-04-10,44.19483947753906,43.28878402709961,43.3821907043457,0.020930489751623593,0.018732312960672015
46,46,46,46,2019-04-11,44.20341110229492,42.702884674072266,43.98507308959961,0.0351387602892721,0.004963911558145018
47,47,47,47,2019-04-12,44.22055816650391,42.67740249633789,43.56051254272461,0.03615861275293031,0.015152384240932015
48,48,48,48,2019-04-15,44.3405876159668,43.203887939453125,43.72183990478516,0.026310124637548116,0.014151913838235108
49,49,49,49,2019-04-16,44.12626266479492,43.56900024414063,43.94260787963867,0.012790342159141765,0.0041794238898904545
50,50,50,50,2019-04-17,44.36630630493164,43.74903869628906,43.297271728515625,0.014109283930276106,0.024690575958668193
51,51,51,51,2019-04-18,44.3405876159668,44.19483947753906,43.28878402709961,0.003297854232547026,0.02429736968838725
