,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CPB,CPB_6m,CPB_12m,CPB_6m_ret,CPB_12m_ret
0,0,0,0,2019-02-05,29.87761878967285,,,,
1,1,1,1,2019-02-06,29.219558715820312,,,,
2,2,2,2,2019-02-07,29.22810935974121,,,,
3,3,3,3,2019-02-08,29.305021286010746,,,,
4,4,4,4,2019-02-11,29.193925857543945,,,,
5,5,5,5,2019-02-12,29.53577423095703,,,,
6,6,6,6,2019-02-13,29.62122917175293,29.87761878967285,,-0.008581327036963904,
7,7,7,7,2019-02-14,29.441761016845703,29.219558715820312,,0.007604574154813859,
8,8,8,8,2019-02-15,29.73233413696289,29.22810935974121,,0.017251364808296366,
9,9,9,9,2019-02-19,29.920345306396484,29.305021286010746,,0.02099722141063487,
10,10,10,10,2019-02-20,30.06563186645508,29.193925857543945,,0.029859156769964867,
11,11,11,11,2019-02-21,30.2878360748291,29.53577423095703,,0.025462743518801068,
12,12,12,12,2019-02-22,28.057273864746094,29.62122917175293,29.87761878967285,-0.05279846079102746,-0.06092670696889524
13,13,13,13,2019-02-25,27.570140838623047,29.441761016845703,29.219558715820312,-0.06357025237558889,-0.05644910291900551
14,14,14,14,2019-02-26,28.125640869140625,29.73233413696289,29.22810935974121,-0.054038585077814116,-0.03771945961441914
15,15,15,15,2019-02-27,30.94589614868164,29.920345306396484,29.305021286010746,0.034276036315192826,0.05599295924941683
16,16,16,16,2019-02-28,30.783519744873047,30.06563186645508,29.193925857543945,0.023877358759884615,0.054449473328313625
17,17,17,17,2019-03-01,31.06553840637207,30.2878360748291,29.53577423095703,0.025677051659338757,0.05179360335886041
18,18,18,18,2019-03-04,30.76643180847168,28.057273864746094,29.62122917175293,0.0965581316554649,0.03866155013617134
19,19,19,19,2019-03-05,30.851882934570312,27.570140838623047,29.441761016845703,0.11903247484865465,0.04789529800604586
20,20,20,20,2019-03-06,30.88606834411621,28.125640869140625,29.73233413696289,0.09814629603709113,0.03880402399080429
21,21,21,21,2019-03-07,30.69806289672852,30.94589614868164,29.920345306396484,-0.00800859832148304,0.02599293498680888
22,22,22,22,2019-03-08,30.783519744873047,30.783519744873047,30.06563186645508,0.0,0.023877358759884615
23,23,23,23,2019-03-11,30.680965423583984,31.06553840637207,30.2878360748291,-0.012379408261252056,0.012979776692650491
24,24,24,24,2019-03-12,29.95452880859375,30.76643180847168,28.057273864746094,-0.026389248026297607,0.06762078714395536
25,25,25,25,2019-03-13,30.142547607421875,30.851882934570312,27.570140838623047,-0.022991638100428813,0.09330408516430722
26,26,26,26,2019-03-14,30.4587631225586,30.88606834411621,28.125640869140625,-0.013834885580022771,0.08295356768129225
27,27,27,27,2019-03-15,30.77496910095215,30.69806289672852,30.94589614868164,0.0025052461610477472,-0.005523415670635634
28,28,28,28,2019-03-18,31.24501609802246,30.783519744873047,30.783519744873047,0.014991669470359348,0.014991669470359348
29,29,29,29,2019-03-19,31.022815704345703,30.680965423583984,31.06553840637207,0.011142096607525298,-0.0013752442165175793
30,30,30,30,2019-03-20,31.039905548095703,29.95452880859375,30.76643180847168,0.03623414497478472,0.008888705109726835
31,31,31,31,2019-03-21,32.35603332519531,30.142547607421875,30.851882934570312,0.07343392956036743,0.04875392512719423
32,32,32,32,2019-03-22,32.6807861328125,30.4587631225586,30.88606834411621,0.072951846446063,0.0581076804176075
33,33,33,33,2019-03-25,32.714969635009766,30.77496910095215,30.69806289672852,0.06303826098716026,0.06570143350954516
34,34,34,34,2019-03-26,32.920074462890625,31.24501609802246,30.783519744873047,0.05361041772592268,0.06940579685899695
35,35,35,35,2019-03-27,32.43294906616211,31.022815704345703,30.680965423583984,0.04545471872235218,0.057103276197149944
36,36,36,36,2019-03-28,32.7320556640625,31.039905548095703,29.95452880859375,0.054515311373768416,0.0927247720442157
37,37,37,37,2019-03-29,32.58676528930664,32.35603332519531,30.142547607421875,0.007131033702195477,0.08108862308914255
38,38,38,38,2019-04-01,32.34748077392578,32.6807861328125,30.4587631225586,-0.010198817052080367,0.062009006858467774
39,39,39,39,2019-04-02,32.15091323852539,32.714969635009766,30.77496910095215,-0.01724153813307383,0.04470984627343366
40,40,40,40,2019-04-03,31.83470916748047,32.920074462890625,31.24501609802246,-0.03296970961088319,0.01887318821049777
41,41,41,41,2019-04-04,32.005638122558594,32.43294906616211,31.022815704345703,-0.013175210886059552,0.031680632331359204
42,42,42,42,2019-04-05,32.6978759765625,32.7320556640625,31.039905548095703,-0.0010442267314584308,0.05341415829689966
43,43,43,43,2019-04-08,32.92862701416016,32.58676528930664,32.35603332519531,0.010490814961793937,0.01769665901904549
44,44,44,44,2019-04-09,33.74905776977539,32.34748077392578,32.6807861328125,0.0433287836430023,0.03268806425345794
45,45,45,45,2019-04-10,33.740440368652344,32.15091323852539,32.714969635009766,0.04943956391951798,0.031345611659843176
46,46,46,46,2019-04-11,34.197444915771484,31.83470916748047,32.920074462890625,0.07421885765818703,0.03880217386266205
47,47,47,47,2019-04-12,34.326778411865234,32.005638122558594,32.43294906616211,0.07252285614235654,0.0583921413325621
48,48,48,48,2019-04-15,34.35265350341797,32.6978759765625,32.7320556640625,0.050608104576627344,0.049511031509541725
49,49,49,49,2019-04-16,33.999122619628906,32.92862701416016,32.58676528930664,0.03250957305351365,0.04334143993069883
50,50,50,50,2019-04-17,33.740440368652344,33.74905776977539,32.34748077392578,-0.0002553375321417972,0.04306238264617446
51,51,51,51,2019-04-18,33.96462631225586,33.740440368652344,32.15091323852539,0.00664442850045921,0.05641249006753424
52,52,52,52,2019-04-22,33.90427017211914,34.197444915771484,31.83470916748047,-0.008573001415001502,0.06500957787146211
53,53,53,53,2019-04-23,33.54212188720703,34.326778411865234,32.005638122558594,-0.02285843766763096,0.04800665928811698
54,54,54,54,2019-04-24,33.62834548950195,34.35265350341797,32.6978759765625,-0.02108448518668138,0.028456573558674148
55,55,55,55,2019-04-25,32.921287536621094,33.999122619628906,32.92862701416016,-0.03170184992907843,-0.00022289048176571402
56,56,56,56,2019-04-26,33.31793975830078,33.740440368652344,33.74905776977539,-0.012522083462316091,-0.012774223636569326
57,57,57,57,2019-04-29,33.05924606323242,33.96462631225586,33.740440368652344,-0.026656564412037675,-0.020189253547882147
