,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FOX,FOX_6m,FOX_12m,FOX_6m_ret,FOX_12m_ret
0,0,0,0,2019-03-13,36.47086334228516,,,,
1,1,1,1,2019-03-14,37.177955627441406,,,,
2,2,2,2,2019-03-15,38.16415023803711,,,,
3,3,3,3,2019-03-18,38.01530075073242,,,,
4,4,4,4,2019-03-19,36.79649353027344,,,,
5,5,5,5,2019-03-20,34.98225784301758,,,,
6,6,6,6,2019-03-21,36.17314910888672,36.47086334228516,,-0.00816307062995314,
7,7,7,7,2019-03-22,34.85200119018555,37.177955627441406,,-0.06256273100554921,
8,8,8,8,2019-03-25,33.912322998046875,38.16415023803711,,-0.11140893255766926,
9,9,9,9,2019-03-26,34.15421676635742,38.01530075073242,,-0.10156657735505648,
10,10,10,10,2019-03-27,33.67972946166992,36.79649353027344,,-0.08470274663642263,
11,11,11,11,2019-03-28,33.186622619628906,34.98225784301758,,-0.051329883606900384,
12,12,12,12,2019-03-29,33.38201141357422,36.17314910888672,36.47086334228516,-0.07716048406266063,-0.08469368821136891
13,13,13,13,2019-04-01,33.63321304321289,34.85200119018555,37.177955627441406,-0.03497039209662001,-0.0953452798682698
14,14,14,14,2019-04-02,33.214534759521484,33.912322998046875,38.16415023803711,-0.020576244174295488,-0.12969279933246058
15,15,15,15,2019-04-03,33.02846145629883,34.15421676635742,38.01530075073242,-0.032960946455299345,-0.13117979329250773
16,16,16,16,2019-04-04,33.52156066894531,33.67972946166992,36.79649353027344,-0.004696260785129414,-0.08900122123413068
17,17,17,17,2019-04-05,34.40542221069336,33.186622619628906,34.98225784301758,0.03672562902931764,-0.016489376841047898
18,18,18,18,2019-04-08,34.28446578979492,33.38201141357422,36.17314910888672,0.027034152167767056,-0.0522123001623821
19,19,19,19,2019-04-09,34.32168960571289,33.63321304321289,34.85200119018555,0.020470139490254002,-0.015216101410612692
20,20,20,20,2019-04-10,33.428524017333984,33.214534759521484,33.912322998046875,0.0064426390242047216,-0.014266170463779648
21,21,21,21,2019-04-11,33.87510681152344,33.02846145629883,34.15421676635742,0.025633811503597892,-0.008172049640116863
22,22,22,22,2019-04-12,34.37751388549805,33.52156066894531,33.67972946166992,0.02553440828743092,0.020718231261989795
23,23,23,23,2019-04-15,34.40542221069336,34.40542221069336,33.186622619628906,0.0,0.03672562902931764
24,24,24,24,2019-04-16,34.61940383911133,34.28446578979492,33.38201141357422,0.00976938218521406,0.03706764131756146
25,25,25,25,2019-04-17,35.54978942871094,34.32168960571289,33.63321304321289,0.03578203279344461,0.056984635486225343
26,26,26,26,2019-04-18,35.27997970581055,33.428524017333984,33.214534759521484,0.05538550513078322,0.06218497297171899
27,27,27,27,2019-04-22,34.64732360839844,33.87510681152344,33.02846145629883,0.022795995926197632,0.049014155692404415
28,28,28,28,2019-04-23,34.98225784301758,34.37751388549805,33.52156066894531,0.017591265020901803,0.04357485585166887
29,29,29,29,2019-04-24,34.84269332885742,34.40542221069336,34.40542221069336,0.012709366433182545,0.012709366433182545
30,30,30,30,2019-04-25,35.01946258544922,34.61940383911133,34.28446578979492,0.011555910904679445,0.021438187200019776
31,31,31,31,2019-04-26,35.27067947387695,35.54978942871094,34.32168960571289,-0.007851240733610876,0.027649858706434438
32,32,32,32,2019-04-29,36.03358459472656,35.27997970581055,33.428524017333984,0.021360695079762237,0.07792927309748277
33,33,33,33,2019-04-30,35.819602966308594,34.64732360839844,33.87510681152344,0.03383462951308602,0.0574019195158284
34,34,34,34,2019-05-01,36.04289245605469,34.98225784301758,34.37751388549805,0.03031921546621419,0.048443833841608
35,35,35,35,2019-05-02,34.275169372558594,34.84269332885742,34.40542221069336,-0.01628817700578833,-0.003785822982700693
36,36,36,36,2019-05-03,34.4426383972168,35.01946258544922,34.61940383911133,-0.01647153170397586,-0.005105964352131065
37,37,37,37,2019-05-06,34.71244812011719,35.27067947387695,35.54978942871094,-0.01582706548574475,-0.023554044118120454
38,38,38,38,2019-05-07,34.14491653442383,36.03358459472656,35.27997970581055,-0.05241410427368742,-0.032173010893194354
39,39,39,39,2019-05-08,34.25655746459961,35.819602966308594,34.64732360839844,-0.04363659483269988,-0.011278393338991055
40,40,40,40,2019-05-09,35.326499938964844,36.04289245605469,34.98225784301758,-0.019876110608029185,0.009840476778029794
41,41,41,41,2019-05-10,35.40092086791992,34.275169372558594,34.84269332885742,0.03284452027427842,0.0160213659085926
