,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,KIM,KIM_6m,KIM_12m,KIM_6m_ret,KIM_12m_ret
0,0,0,0,2019-02-05,13.88471794128418,,,,
1,1,1,1,2019-02-06,13.844886779785156,,,,
2,2,2,2,2019-02-07,14.03607177734375,,,,
3,3,3,3,2019-02-08,14.20335292816162,,,,
4,4,4,4,2019-02-11,14.18742561340332,,,,
5,5,5,5,2019-02-12,14.12369441986084,,,,
6,6,6,6,2019-02-13,14.18742561340332,13.88471794128418,,0.02180149956226929,
7,7,7,7,2019-02-14,14.083867073059082,13.844886779785156,,0.017261267432165717,
8,8,8,8,2019-02-15,14.147590637207031,14.03607177734375,,0.007945161697113123,
9,9,9,9,2019-02-19,14.163524627685549,14.20335292816162,,-0.0028041477725376796,
10,10,10,10,2019-02-20,13.98827075958252,14.18742561340332,,-0.014037420124525801,
11,11,11,11,2019-02-21,14.044036865234377,14.12369441986084,,-0.005639994201124043,
12,12,12,12,2019-02-22,14.12369441986084,14.18742561340332,13.88471794128418,-0.004492090057710785,0.017211475205131777
13,13,13,13,2019-02-25,14.091833114624023,14.083867073059082,13.844886779785156,0.0005656146514034788,0.0178366453093306
14,14,14,14,2019-02-26,14.059967041015623,14.147590637207031,14.03607177734375,-0.006193534887909857,0.001702418173042064
15,15,15,15,2019-02-27,13.924545288085938,14.163524627685549,14.20335292816162,-0.016872872105046288,-0.019629705850854218
16,16,16,16,2019-02-28,14.012168884277344,13.98827075958252,14.18742561340332,0.0017084402429408119,-0.012352961975032772
17,17,17,17,2019-03-01,13.80505657196045,14.044036865234377,14.12369441986084,-0.01701649572463859,-0.022560516988552215
18,18,18,18,2019-03-04,13.733363151550291,14.12369441986084,14.18742561340332,-0.027636626558675936,-0.032004570400993804
19,19,19,19,2019-03-05,13.980306625366213,14.091833114624023,14.083867073059082,-0.007914264123811687,-0.007353125896151669
20,20,20,20,2019-03-06,13.733363151550291,14.059967041015623,14.147590637207031,-0.023229349579025782,-0.02927901267989441
21,21,21,21,2019-03-07,13.85285186767578,13.924545288085938,14.163524627685549,-0.005148708193114193,-0.021934706803311887
22,22,22,22,2019-03-08,13.797090530395508,14.012168884277344,13.98827075958252,-0.01534939777404265,-0.013667181059963784
23,23,23,23,2019-03-11,13.980306625366213,13.80505657196045,14.044036865234377,0.01269462768893792,-0.004537886113495371
24,24,24,24,2019-03-12,14.083867073059082,13.733363151550291,14.12369441986084,0.02552207479267188,-0.0028198958160516874
25,25,25,25,2019-03-13,14.18742561340332,13.980306625366213,14.091833114624023,0.014815053316592275,0.0067835389478245744
26,26,26,26,2019-03-14,14.251151084899902,13.733363151550291,14.059967041015623,0.03770292299385969,0.013597759036458434
27,27,27,27,2019-03-15,14.067935943603516,13.85285186767578,13.924545288085938,0.01552633912368706,0.010297690341117605
28,28,28,28,2019-03-18,13.964378356933594,13.797090530395508,14.012168884277344,0.012124862569361516,-0.0034106445432137145
29,29,29,29,2019-03-19,14.028104782104492,13.980306625366213,13.80505657196045,0.0034189634046761785,0.01615699356111855
30,30,30,30,2019-03-20,14.099801063537598,14.083867073059082,13.733363151550291,0.0011313647307134023,0.026682314298660526
31,31,31,31,2019-03-21,14.474198341369627,14.18742561340332,13.980306625366213,0.020213161695479265,0.03532767408028703
32,32,32,32,2019-03-22,14.442331314086914,14.251151084899902,13.733363151550291,0.013415072792932525,0.05162378324326111
33,33,33,33,2019-03-25,14.458269119262695,14.067935943603516,13.85285186767578,0.027746300326072948,0.043703437918050314
34,34,34,34,2019-03-26,14.792837142944336,13.964378356933594,13.797090530395508,0.05932657830052257,0.07217076747848838
35,35,35,35,2019-03-27,14.67335033416748,14.028104782104492,13.980306625366213,0.04599663048469105,0.0495728546857328
36,36,36,36,2019-03-28,14.84859848022461,14.099801063537598,14.083867073059082,0.05310694904933233,0.05429839710915596
37,37,37,37,2019-03-29,14.737077713012695,14.474198341369627,14.18742561340332,0.01816192962422769,0.03874220133990347
38,38,38,38,2019-04-01,14.704723358154297,14.442331314086914,14.251151084899902,0.018168260951848314,0.03182706228797105
39,39,39,39,2019-04-02,14.817960739135742,14.458269119262695,14.067935943603516,0.024877917052590348,0.05331448753669177
40,40,40,40,2019-04-03,14.704723358154297,14.792837142944336,13.964378356933594,-0.0059565169236022175,0.05301668160925388
41,41,41,41,2019-04-04,14.69663429260254,14.67335033416748,14.028104782104492,0.0015868194996233598,0.04765643833448441
42,42,42,42,2019-04-05,14.92310905456543,14.84859848022461,14.099801063537598,0.005018020686602398,0.058391461504866626
43,43,43,43,2019-04-08,14.80178165435791,14.737077713012695,14.474198341369627,0.004390554396553226,0.022632224960742464
44,44,44,44,2019-04-09,14.688547134399414,14.704723358154297,14.442331314086914,-0.0011000699136520797,0.017048204680939705
45,45,45,45,2019-04-10,14.931198120117188,14.817960739135742,14.458269119262695,0.0076419004595129625,0.032709932077859216
46,46,46,46,2019-04-11,14.777521133422852,14.704723358154297,14.792837142944336,0.004950638886258574,-0.0010353666016521546
47,47,47,47,2019-04-12,14.753251075744627,14.69663429260254,14.67335033416748,0.003852363882428822,0.005445296388180365
48,48,48,48,2019-04-15,14.470159530639648,14.92310905456543,14.84859848022461,-0.030352222333134393,-0.025486509726084017
