,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GPN,GPN_6m,GPN_12m,GPN_6m_ret,GPN_12m_ret
0,0,0,0,2019-02-05,112.08080291748048,,,,
1,1,1,1,2019-02-06,111.12815856933594,,,,
2,2,2,2,2019-02-07,109.84500885009766,,,,
3,3,3,3,2019-02-08,111.69196319580078,,,,
4,4,4,4,2019-02-11,112.78069305419922,,,,
5,5,5,5,2019-02-12,114.14158630371094,,,,
6,6,6,6,2019-02-13,119.3227767944336,112.08080291748048,,0.06461386507272815,
7,7,7,7,2019-02-14,118.1562957763672,111.12815856933594,,0.06324353159011653,
8,8,8,8,2019-02-15,119.8574447631836,109.84500885009766,,0.09115057677995742,
9,9,9,9,2019-02-19,120.89755249023438,111.69196319580078,,0.08241944210700103,
10,10,10,10,2019-02-20,122.42372131347656,112.78069305419922,,0.08550247385554877,
11,11,11,11,2019-02-21,123.0847396850586,114.14158630371094,,0.07835140259529494,
12,12,12,12,2019-02-22,124.16374206542967,119.3227767944336,112.08080291748048,0.04057033703913859,0.10780560839526876
13,13,13,13,2019-02-25,124.64006042480467,118.1562957763672,111.12815856933594,0.054874474574839516,0.12158846173122084
14,14,14,14,2019-02-26,124.81502532958984,119.8574447631836,109.84500885009766,0.04136230816701891,0.13628308319335058
15,15,15,15,2019-02-27,125.67046356201172,120.89755249023438,111.69196319580078,0.03947897185232829,0.12515224879435616
16,16,16,16,2019-02-28,126.73974609375,122.42372131347656,112.78069305419922,0.03525480792420832,0.12377165507257937
17,17,17,17,2019-03-01,127.81877136230467,123.0847396850586,114.14158630371094,0.03846156468591655,0.11982648482036273
18,18,18,18,2019-03-04,126.89529418945312,124.16374206542967,119.3227767944336,0.021999595683770856,0.06346246373452469
19,19,19,19,2019-03-05,126.31208038330078,124.64006042480467,118.1562957763672,0.013414787772064951,0.0690253917774295
20,20,20,20,2019-03-06,125.93291473388672,124.81502532958984,119.8574447631836,0.008956368845376872,0.05068913310063583
21,21,21,21,2019-03-07,126.2439956665039,125.67046356201172,120.89755249023438,0.004563778060778567,0.04422292317870857
22,22,22,22,2019-03-08,126.68142700195312,126.73974609375,122.42372131347656,-0.0004601484032777936,0.034778437077356505
23,23,23,23,2019-03-11,128.20758056640625,127.81877136230467,123.0847396850586,0.0030418787472106246,0.041620438849329755
24,24,24,24,2019-03-12,128.20758056640625,126.89529418945312,124.16374206542967,0.010341489693021177,0.03256859396880629
25,25,25,25,2019-03-13,129.28663635253906,126.31208038330078,124.64006042480467,0.023549259581600035,0.03727995567314135
26,26,26,26,2019-03-14,128.66444396972656,125.93291473388672,124.81502532958984,0.02169035189578472,0.030840987533126363
27,27,27,27,2019-03-15,130.3851318359375,126.2439956665039,125.67046356201172,0.03280263863299404,0.0375161206563015
28,28,28,28,2019-03-18,130.307373046875,126.68142700195312,126.73974609375,0.028622554471745554,0.028149235445730003
29,29,29,29,2019-03-19,130.60870361328125,128.20758056640625,127.81877136230467,0.018728401520932803,0.02182724979469919
