,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NKE,NKE_6m,NKE_12m,NKE_6m_ret,NKE_12m_ret
0,0,0,0,2019-02-05,78.73686218261719,,,,
1,1,1,1,2019-02-06,78.59432983398438,,,,
2,2,2,2,2019-02-07,78.29025268554688,,,,
3,3,3,3,2019-02-08,78.2617416381836,,,,
4,4,4,4,2019-02-11,79.51605987548828,,,,
5,5,5,5,2019-02-12,80.49481964111328,,,,
6,6,6,6,2019-02-13,81.15050506591797,78.73686218261719,,0.03065454751934027,
7,7,7,7,2019-02-14,80.46631622314453,78.59432983398438,,0.02381833897069141,
8,8,8,8,2019-02-15,81.13147735595703,78.29025268554688,,0.03629091199669454,
9,9,9,9,2019-02-19,80.36177825927734,78.2617416381836,,0.026833502259667963,
10,10,10,10,2019-02-20,80.61833953857422,79.51605987548828,,0.013862352646898835,
11,11,11,11,2019-02-21,79.77262878417969,80.49481964111328,,-0.008971892354731503,
12,12,12,12,2019-02-22,80.54232788085938,81.15050506591797,78.73686218261719,-0.007494434995377719,0.022930374010265986
13,13,13,13,2019-02-25,80.93192291259766,80.46631622314453,78.59432983398438,0.005786355226725215,0.02974251556761165
14,14,14,14,2019-02-26,81.53057098388672,81.13147735595703,78.29025268554688,0.004919097259608707,0.04138852778205471
15,15,15,15,2019-02-27,81.88214874267578,80.36177825927734,78.2617416381836,0.01891907466872067,0.04626024196126255
16,16,16,16,2019-02-28,81.46405029296875,80.61833953857422,79.51605987548828,0.0104903023212215,0.024498075238269745
17,17,17,17,2019-03-01,83.03601837158203,79.77262878417969,80.49481964111328,0.04090863792681643,0.03156971767622685
18,18,18,18,2019-03-04,81.58790588378906,80.54232788085938,81.15050506591797,0.012981720673337582,0.005389995016245486
19,19,19,19,2019-03-05,81.39736938476562,80.93192291259766,80.46631622314453,0.005751086288541929,0.011570719343472202
20,20,20,20,2019-03-06,81.10204315185547,81.53057098388672,81.13147735595703,-0.005256038647343031,-0.0003627963530409284
21,21,21,21,2019-03-07,81.22590637207031,81.88214874267578,80.36177825927734,-0.008014474225240265,0.010752974007182337
22,22,22,22,2019-03-08,80.78765869140625,81.46405029296875,80.61833953857422,-0.008302945889996804,0.002100256018681801
23,23,23,23,2019-03-11,81.75940704345703,83.03601837158203,79.77262878417969,-0.015374187649656146,0.024905513201181506
24,24,24,24,2019-03-12,81.3878402709961,81.58790588378906,80.54232788085938,-0.002452147908759139,0.01049773966537737
25,25,25,25,2019-03-13,81.86418151855469,81.39736938476562,80.93192291259766,0.005734978136485491,0.011519046779153275
26,26,26,26,2019-03-14,82.75971221923828,81.10204315185547,81.53057098388672,0.02043930094682067,0.015075832543776535
27,27,27,27,2019-03-15,82.69303131103516,81.22590637207031,81.88214874267578,0.018062278458850445,0.00990304456845248
28,28,28,28,2019-03-18,83.66476440429688,80.78765869140625,81.46405029296875,0.035613183492303246,0.027014543266799418
29,29,29,29,2019-03-19,83.54092407226562,81.75940704345703,83.03601837158203,0.021789749867702435,0.006080562514741095
30,30,30,30,2019-03-20,82.5882339477539,81.3878402709961,81.58790588378906,0.014749054315249976,0.012260739543795474
31,31,31,31,2019-03-21,83.84577178955078,81.86418151855469,81.39736938476562,0.024205827679923297,0.030079625708928637
32,32,32,32,2019-03-22,78.30115509033203,82.75971221923828,81.10204315185547,-0.05387352141939683,-0.0345353575899322
33,33,33,33,2019-03-25,78.43452453613281,82.69303131103516,81.22590637207031,-0.051497770820430167,-0.0343656594381484
34,34,34,34,2019-03-26,79.4348373413086,83.66476440429688,80.78765869140625,-0.050558046665234335,-0.016745396165832482
35,35,35,35,2019-03-27,79.1585464477539,83.54092407226562,81.75940704345703,-0.05245785431725436,-0.03181114797372131
36,36,36,36,2019-03-28,80.06361389160156,82.5882339477539,81.3878402709961,-0.030568761862003746,-0.016270567875806385
37,37,37,37,2019-03-29,80.2255630493164,83.84577178955078,81.86418151855469,-0.043176998231001296,-0.020016305529994005
38,38,38,38,2019-04-01,81.19729614257812,78.30115509033203,82.75971221923828,0.03698720726284255,-0.018878945259272584
39,39,39,39,2019-04-02,80.37800598144531,78.43452453613281,82.69303131103516,0.02477839263776227,-0.02799541016802598
40,40,40,40,2019-04-03,80.47327423095703,79.4348373413086,83.66476440429688,0.013072814452764314,-0.03814616817561889
41,41,41,41,2019-04-04,81.24493408203125,79.1585464477539,83.54092407226562,0.026357073593492597,-0.0274834162505585
42,42,42,42,2019-04-05,81.35929107666016,80.06361389160156,82.5882339477539,0.01618309644144733,-0.014880362641864875
43,43,43,43,2019-04-08,80.7209701538086,80.2255630493164,83.84577178955078,0.006175177657371522,-0.03726844620841829
44,44,44,44,2019-04-09,80.29225158691406,81.19729614257812,78.30115509033203,-0.011146240067832491,0.02542869890341981
