,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,VFC,VFC_6m,VFC_12m,VFC_6m_ret,VFC_12m_ret
0,0,0,0,2019-02-05,67.93869018554688,,,,
1,1,1,1,2019-02-06,68.51712036132812,,,,
2,2,2,2,2019-02-07,68.1764144897461,,,,
3,3,3,3,2019-02-08,67.97039794921875,,,,
4,4,4,4,2019-02-11,67.74060821533203,,,,
5,5,5,5,2019-02-12,68.65184020996094,,,,
6,6,6,6,2019-02-13,68.52507019042969,67.93869018554688,,0.0086310172198103,
7,7,7,7,2019-02-14,68.12094116210938,68.51712036132812,,-0.0057821927881598345,
8,8,8,8,2019-02-15,68.85787963867188,68.1764144897461,,0.00999561437816987,
9,9,9,9,2019-02-19,68.72315979003906,67.97039794921875,,0.011074848221172884,
10,10,10,10,2019-02-20,68.4378890991211,67.74060821533203,,0.010293395677413608,
11,11,11,11,2019-02-21,67.98623657226562,68.65184020996094,,-0.009695350272617143,
12,12,12,12,2019-02-22,68.5408935546875,68.52507019042969,67.93869018554688,0.00023091350674775413,0.008863923745011215
13,13,13,13,2019-02-25,68.91332244873047,68.12094116210938,68.51712036132812,0.011631977966003682,0.005782526838736812
14,14,14,14,2019-02-26,69.1985855102539,68.85787963867188,68.1764144897461,0.004947957639269029,0.014993029893960674
15,15,15,15,2019-02-27,69.51554870605469,68.72315979003906,67.97039794921875,0.011530158369267518,0.022732701344345907
16,16,16,16,2019-02-28,69.22235107421875,68.4378890991211,67.74060821533203,0.011462392914566522,0.02187377553765968
17,17,17,17,2019-03-01,69.1589584350586,67.98623657226562,68.65184020996094,0.01724940108350359,0.007386811825389028
18,18,18,18,2019-03-04,68.0258560180664,68.5408935546875,68.52507019042969,-0.0075143102155526,-0.007285131864527505
19,19,19,19,2019-03-05,67.75646209716797,68.91332244873047,68.12094116210938,-0.016787180046690886,-0.005350470189101508
20,20,20,20,2019-03-06,67.66928100585938,69.1985855102539,68.85787963867188,-0.022100227817054452,-0.017261621168842445
21,21,21,21,2019-03-07,67.75699615478516,69.51554870605469,68.72315979003906,-0.025297254844459882,-0.014058777829856761
22,22,22,22,2019-03-08,67.12723541259766,69.22235107421875,68.4378890991211,-0.030266462047421006,-0.019150995212975808
23,23,23,23,2019-03-11,67.85264587402344,69.1589584350586,67.98623657226562,-0.018888551687223698,-0.0019649668076594518
24,24,24,24,2019-03-12,67.58161926269531,68.0258560180664,68.5408935546875,-0.006530410367098005,-0.013995649053317405
25,25,25,25,2019-03-13,67.7968521118164,67.75646209716797,68.91332244873047,0.0005961057203742737,-0.016201081260371453
26,26,26,26,2019-03-14,67.70915222167969,67.66928100585938,69.1985855102539,0.0005892070261077631,-0.021524042400455023
27,27,27,27,2019-03-15,67.58161926269531,67.75699615478516,69.51554870605469,-0.002588321531981852,-0.02782009894702786
28,28,28,28,2019-03-18,68.60196685791016,67.12723541259766,69.22235107421875,0.021969196798409252,-0.008962195110123194
29,29,29,29,2019-03-19,68.96066284179688,67.85264587402344,69.1589584350586,0.01632975329850228,-0.0028672437779397875
30,30,30,30,2019-03-20,67.69319915771484,67.58161926269531,68.0258560180664,0.0016510390877999548,-0.004890153242073314
31,31,31,31,2019-03-21,68.42658233642578,67.7968521118164,67.75646209716797,0.009288487665633394,0.009890130306638545
32,32,32,32,2019-03-22,66.73664855957031,67.70915222167969,67.66928100585938,-0.01436295729896897,-0.013782213028217472
33,33,33,33,2019-03-25,67.36637878417969,67.58161926269531,67.75699615478516,-0.003184896734701903,-0.005764974729888239
34,34,34,34,2019-03-26,67.76494598388672,68.60196685791016,67.12723541259766,-0.012201120643626662,0.009500027334201633
35,35,35,35,2019-03-27,68.01204681396484,68.96066284179688,67.85264587402344,-0.013755900664821907,0.0023492221694250137
36,36,36,36,2019-03-28,69.47881317138672,67.69319915771484,67.58161926269531,0.026378041456005974,0.028072631721309582
37,37,37,37,2019-03-29,69.2795181274414,68.42658233642578,67.7968521118164,0.012464977233878072,0.021869245686800598
38,38,38,38,2019-04-01,69.61431884765625,66.73664855957031,67.70915222167969,0.04311979025313617,0.028137505248021055
39,39,39,39,2019-04-02,69.18385314941406,67.36637878417969,67.58161926269531,0.02697895297381181,0.0237081310598779
40,40,40,40,2019-04-03,69.7099838256836,67.76494598388672,68.60196685791016,0.028702713675288205,0.01615138775931002
41,41,41,41,2019-04-04,71.38399505615234,68.01204681396484,68.96066284179688,0.04957869083709365,0.03514079062602482
42,42,42,42,2019-04-05,71.08106231689453,69.47881317138672,67.69319915771484,0.02306097459603218,0.05004731939594831
43,43,43,43,2019-04-08,71.607177734375,69.2795181274414,68.42658233642578,0.033598091757102155,0.04648186843983404
44,44,44,44,2019-04-09,70.69843292236328,69.61431884765625,66.73664855957031,0.015573147775524543,0.05936444889432235
45,45,45,45,2019-04-10,71.22454833984375,69.18385314941406,67.36637878417969,0.029496697531755878,0.05727144052115962
46,46,46,46,2019-04-11,71.18468475341797,69.7099838256836,67.76494598388672,0.02115480232246214,0.05046471623166937
47,47,47,47,2019-04-12,72.30864715576172,71.38399505615234,68.01204681396484,0.012953213096045246,0.06317410728057449
48,48,48,48,2019-04-15,72.6992416381836,71.08106231689453,69.47881317138672,0.022765266423212305,0.046351230249902065
49,49,49,49,2019-04-16,74.38919067382812,71.607177734375,69.2795181274414,0.038851034595623,0.07375444697792721
50,50,50,50,2019-04-17,76.12696075439453,70.69843292236328,69.61431884765625,0.07678427381824049,0.09355319443677268
51,51,51,51,2019-04-18,76.16681671142578,71.22454833984375,69.18385314941406,0.069389957350102,0.10093342946555528
52,52,52,52,2019-04-22,75.60881805419922,71.18468475341797,69.7099838256836,0.06215007225369251,0.08461964706900837
53,53,53,53,2019-04-23,75.40156555175781,72.30864715576172,71.38399505615234,0.04277383850556027,0.05628111024670379
54,54,54,54,2019-04-24,75.51315307617188,72.6992416381836,71.08106231689453,0.03870620070554276,0.06235262410004694
55,55,55,55,2019-04-25,74.93921661376953,74.38919067382812,71.607177734375,0.007393896007728884,0.0465321911129446
56,56,56,56,2019-04-26,75.34577178955078,76.12696075439453,70.69843292236328,-0.010261659694573488,0.06573468003584915
57,57,57,57,2019-04-29,75.32183074951172,76.16681671142578,71.22454833984375,-0.011093885741811582,0.05752626734981914
58,58,58,58,2019-04-30,75.2580795288086,75.60881805419922,71.18468475341797,-0.004638857403368002,0.05722290952753073
59,59,59,59,2019-05-01,74.14207458496094,75.40156555175781,72.30864715576172,-0.016703777402769182,0.025355576425732274
60,60,60,60,2019-05-02,74.84355163574219,75.51315307617188,72.6992416381836,-0.008867348443975631,0.029495630892968583
61,61,61,61,2019-05-03,76.0233154296875,74.93921661376953,74.38919067382812,0.014466375082426097,0.02196723396312339
62,62,62,62,2019-05-06,74.81964874267578,75.34577178955078,76.12696075439453,-0.006982781307815378,-0.017172786076886437
63,63,63,63,2019-05-07,74.644287109375,75.32183074951172,76.16681671142578,-0.00899531561294542,-0.019989408351135496
64,64,64,64,2019-05-08,74.70804595947266,75.2580795288086,75.60881805419922,-0.007308631482223604,-0.011913585186331788
65,65,65,65,2019-05-09,74.96311950683594,74.14207458496094,75.40156555175781,0.011073940491564516,-0.00581481354814728
66,66,66,66,2019-05-10,74.0623550415039,74.84355163574219,75.51315307617188,-0.010437727461683033,-0.01921252093929271
67,67,67,67,2019-05-13,71.83834075927734,76.0233154296875,74.93921661376953,-0.055048568281407806,-0.041378546435491104
68,68,68,68,2019-05-14,72.02169799804688,74.81964874267578,75.34577178955078,-0.03739593531442231,-0.04411758898413598
69,69,69,69,2019-05-15,72.3006820678711,74.644287109375,75.32183074951172,-0.03139697801748531,-0.04010986790387072
70,70,70,70,2019-05-16,72.77897644042969,74.70804595947266,75.2580795288086,-0.025821442580487797,-0.03294135465455128
71,71,71,71,2019-05-17,72.38040924072266,74.96311950683594,74.14207458496094,-0.03445307883535664,-0.02376066968856605
72,72,72,72,2019-05-20,72.22891998291016,74.0623550415039,74.84355163574219,-0.024755289749648246,-0.034934628243689536
73,73,73,73,2019-05-21,73.41668701171875,71.83834075927734,76.0233154296875,0.021970806059264048,-0.03428722363969472
