,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MKC,MKC_6m,MKC_12m,MKC_6m_ret,MKC_12m_ret
0,0,0,0,2019-02-05,57.38156509399414,,,,
1,1,1,1,2019-02-06,56.632057189941406,,,,
2,2,2,2,2019-02-07,57.40914916992188,,,,
3,3,3,3,2019-02-08,58.25522613525391,,,,
4,4,4,4,2019-02-11,58.62309265136719,,,,
5,5,5,5,2019-02-12,59.20247268676758,,,,
6,6,6,6,2019-02-13,59.12890625,57.38156509399414,,0.030451263452706767,
7,7,7,7,2019-02-14,58.58169937133789,56.632057189941406,,0.034426476418779384,
8,8,8,8,2019-02-15,59.0737190246582,57.40914916992188,,0.028994853238626828,
9,9,9,9,2019-02-19,59.63471603393555,58.25522613525391,,0.023680105463478984,
10,10,10,10,2019-02-20,59.97037124633789,58.62309265136719,,0.022982045709921906,
11,11,11,11,2019-02-21,61.50618362426758,59.20247268676758,,0.03891241079893115,
12,12,12,12,2019-02-22,62.41666030883789,59.12890625,57.38156509399414,0.05560316040579383,0.08774761034482048
13,13,13,13,2019-02-25,61.35444641113281,58.58169937133789,56.632057189941406,0.04733128382328111,0.08338720956847334
14,14,14,14,2019-02-26,61.17511749267578,59.0737190246582,57.40914916992188,0.03557247626716076,0.06559874823448841
15,15,15,15,2019-02-27,61.96142959594727,59.63471603393555,58.25522613525391,0.03901609191343658,0.06362010254819861
16,16,16,16,2019-02-28,62.527000427246094,59.97037124633789,58.62309265136719,0.042631538337597474,0.06659334401027817
17,17,17,17,2019-03-01,62.8626823425293,61.50618362426758,59.20247268676758,0.022054672202528103,0.06182528346623961
18,18,18,18,2019-03-04,62.29249572753906,62.41666030883789,59.12890625,-0.0019892858843210126,0.05350326393935401
19,19,19,19,2019-03-05,62.45802688598633,61.35444641113281,58.58169937133789,0.017986968172746254,0.06616959829173208
20,20,20,20,2019-03-06,62.7523078918457,61.17511749267578,59.0737190246582,0.025781567143843276,0.062271157596358595
21,21,21,21,2019-03-07,62.36606979370117,61.96142959594727,59.63471603393555,0.006530517458886553,0.04580140464174143
22,22,22,22,2019-03-08,63.01902770996094,62.527000427246094,59.97037124633789,0.00786903704564157,0.050836044537730274
23,23,23,23,2019-03-11,63.95246505737305,62.8626823425293,61.50618362426758,0.017335924498189437,0.039772934832852824
24,24,24,24,2019-03-12,63.63979721069336,62.29249572753906,62.41666030883789,0.02162863226811873,0.01959632085092955
25,25,25,25,2019-03-13,64.00762939453125,62.45802688598633,61.35444641113281,0.02481030198686285,0.04324353227180322
26,26,26,26,2019-03-14,64.12718963623047,62.7523078918457,61.17511749267578,0.0219096602272284,0.04825609274731879
27,27,27,27,2019-03-15,64.37091827392578,62.36606979370117,61.96142959594727,0.03214646179976377,0.038886912288675024
28,28,28,28,2019-03-18,64.70198059082031,63.01902770996094,62.527000427246094,0.026705472014024068,0.034784655408265364
29,29,29,29,2019-03-19,64.51344299316406,63.95246505737305,62.8626823425293,0.008771795352810141,0.02625978703294929
30,30,30,30,2019-03-20,64.09500122070312,63.63979721069336,62.29249572753906,0.007152819932827681,0.028936157912953675
31,31,31,31,2019-03-21,65.88372802734375,64.00762939453125,62.45802688598633,0.02931054704820535,0.05484805255873426
32,32,32,32,2019-03-22,65.46530151367188,64.12718963623047,62.7523078918457,0.02086652923716148,0.04323336803009781
33,33,33,33,2019-03-25,66.1825942993164,64.37091827392578,62.36606979370117,0.028144324703916368,0.06119552696265451
34,34,34,34,2019-03-26,66.84016418457031,64.70198059082031,63.01902770996094,0.03304664825134207,0.060634646605399745
35,35,35,35,2019-03-27,67.77359771728516,64.51344299316406,63.95246505737305,0.05053450215742705,0.059749575821418155
36,36,36,36,2019-03-28,68.3759536743164,64.09500122070312,63.63979721069336,0.06679073831159399,0.07442130036874528
37,37,37,37,2019-03-29,69.2634506225586,65.88372802734375,64.00762939453125,0.051298290130336266,0.08211241812489933
38,38,38,38,2019-04-01,69.13468170166016,65.46530151367188,64.12718963623047,0.05605076434608591,0.0780868784962403
39,39,39,39,2019-04-02,69.43817138671875,66.1825942993164,64.37091827392578,0.04919083517153644,0.07871960271297729
40,40,40,40,2019-04-03,69.53013610839844,66.84016418457031,64.70198059082031,0.04024484315149368,0.07462144857839359
41,41,41,41,2019-04-04,69.89339447021484,67.77359771728516,64.51344299316406,0.031277618782646455,0.08339271983392438
42,42,42,42,2019-04-05,70.10572052001953,68.3759536743164,64.09500122070312,0.025297882555938234,0.09377828512116326
43,43,43,43,2019-04-08,70.74727630615234,69.2634506225586,65.88372802734375,0.02142292464866724,0.07382017418307107
44,44,44,44,2019-04-09,70.75651550292969,69.13468170166016,65.46530151367188,0.02345904777964125,0.08082470968460731
45,45,45,45,2019-04-10,71.34268951416016,69.43817138671875,66.1825942993164,0.027427538620432124,0.0779675573234071
46,46,46,46,2019-04-11,71.09806060791016,69.53013610839844,66.84016418457031,0.022550286642144757,0.06370266254257273
47,47,47,47,2019-04-12,71.01498413085938,69.89339447021484,67.77359771728516,0.01604714821974329,0.04782668358695563
48,48,48,48,2019-04-15,71.53191375732422,70.10572052001953,68.3759536743164,0.020343464509396503,0.04615599364127432
49,49,49,49,2019-04-16,70.71035766601562,70.74727630615234,69.2634506225586,-0.0005218383245872982,0.020889907020973375
50,50,50,50,2019-04-17,70.3687973022461,70.75651550292969,69.13468170166016,-0.0054796112828300325,0.01785089003391338
51,51,51,51,2019-04-18,71.25498962402344,71.34268951416016,69.43817138671875,-0.001229276478556529,0.026164546113784715
52,52,52,52,2019-04-22,70.46571350097656,71.09806060791016,69.53013610839844,-0.008894013444626148,0.013455710644943109
53,53,53,53,2019-04-23,69.82416534423828,71.01498413085938,69.89339447021484,-0.01676855668131627,-0.00099049597606915
54,54,54,54,2019-04-24,69.84724426269531,71.53191375732422,70.10572052001953,-0.023551299079516252,-0.003686949587094035
55,55,55,55,2019-04-25,69.68107604980469,70.71035766601562,70.74727630615234,-0.01455630617896908,-0.015070548465127787
56,56,56,56,2019-04-26,70.544189453125,70.3687973022461,70.75651550292969,0.002492470492647003,-0.0030007985596166575
57,57,57,57,2019-04-29,70.78882598876953,71.25498962402344,71.34268951416016,-0.00654218936405182,-0.0077634236831047865
58,58,58,58,2019-04-30,71.06574249267578,70.46571350097656,71.09806060791016,0.008515190748631385,-0.00045455691699669565
59,59,59,59,2019-05-01,70.38265991210938,69.82416534423828,71.01498413085938,0.007998585663253843,-0.008904095755127073
60,60,60,60,2019-05-02,70.53958129882812,69.84724426269531,71.53191375732422,0.00991215964840264,-0.013872583667517091
61,61,61,61,2019-05-03,70.23033142089844,69.68107604980469,70.71035766601562,0.007882418042757688,-0.006788627026672378
