,Unnamed: 0.1,Unnamed: 0,Date,NEE,NEE_6m,NEE_12m
0,0,0,2019-02-05,39.79314041137695,,
1,1,1,2019-02-06,39.77750015258789,,
2,2,2,2019-02-07,40.503379821777344,,
3,3,3,2019-02-08,40.874114990234375,,
4,4,4,2019-02-11,40.874114990234375,,
5,5,5,2019-02-12,40.93219757080078,,
6,6,6,2019-02-13,40.83839416503906,39.79314041137695,
7,7,7,2019-02-14,40.78478240966797,39.77750015258789,
8,8,8,2019-02-15,41.10416412353516,40.503379821777344,
9,9,9,2019-02-19,41.40121078491211,40.874114990234375,
10,10,10,2019-02-20,41.461517333984375,40.874114990234375,
11,11,11,2019-02-21,41.666988372802734,40.93219757080078,
12,12,12,2019-02-22,42.01764297485352,40.83839416503906,39.79314041137695
13,13,13,2019-02-25,41.9618034362793,40.78478240966797,39.77750015258789
14,14,14,2019-02-26,42.03997039794922,41.10416412353516,40.503379821777344
15,15,15,2019-02-27,42.00175476074219,41.40121078491211,40.874114990234375
16,16,16,2019-02-28,42.206356048583984,41.461517333984375,40.874114990234375
17,17,17,2019-03-01,42.170372009277344,41.666988372802734,40.93219757080078
18,18,18,2019-03-04,42.32327651977539,42.01764297485352,40.83839416503906
19,19,19,2019-03-05,42.34125518798828,41.9618034362793,40.78478240966797
20,20,20,2019-03-06,42.17262649536133,42.03997039794922,41.10416412353516
21,21,21,2019-03-07,42.253562927246094,42.00175476074219,41.40121078491211
22,22,22,2019-03-08,42.42668914794922,42.206356048583984,41.461517333984375
23,23,23,2019-03-11,42.606563568115234,42.170372009277344,41.666988372802734
24,24,24,2019-03-12,42.91908645629883,42.32327651977539,42.01764297485352
25,25,25,2019-03-13,42.93707656860352,42.34125518798828,41.9618034362793
26,26,26,2019-03-14,42.93931579589844,42.17262649536133,42.03997039794922
27,27,27,2019-03-15,42.99778366088867,42.253562927246094,42.00175476074219
28,28,28,2019-03-18,42.91457748413086,42.42668914794922,42.206356048583984
29,29,29,2019-03-19,42.38173294067383,42.606563568115234,42.170372009277344
30,30,30,2019-03-20,42.68974685668945,42.91908645629883,42.32327651977539
31,31,31,2019-03-21,43.14842224121094,42.93707656860352,42.34125518798828
32,32,32,2019-03-22,43.60258865356445,42.93931579589844,42.17262649536133
33,33,33,2019-03-25,43.530643463134766,42.99778366088867,42.253562927246094
34,34,34,2019-03-26,43.843170166015625,42.91457748413086,42.42668914794922
35,35,35,2019-03-27,43.60033798217773,42.38173294067383,42.606563568115234
36,36,36,2019-03-28,43.15066146850586,42.68974685668945,42.91908645629883
37,37,37,2019-03-29,43.46543502807617,43.14842224121094,42.93707656860352
38,38,38,2019-04-01,42.82914352416992,43.60258865356445,42.93931579589844
39,39,39,2019-04-02,42.60206604003906,43.530643463134766,42.99778366088867
40,40,40,2019-04-03,42.5638427734375,43.843170166015625,42.91457748413086
41,41,41,2019-04-04,42.3592414855957,43.60033798217773,42.38173294067383
42,42,42,2019-04-05,42.73696899414063,43.15066146850586,42.68974685668945
43,43,43,2019-04-08,42.413204193115234,43.46543502807617,43.14842224121094
44,44,44,2019-04-09,42.653785705566406,42.82914352416992,43.60258865356445
45,45,45,2019-04-10,42.4087028503418,42.60206604003906,43.530643463134766
46,46,46,2019-04-11,42.72797393798828,42.5638427734375,43.843170166015625
47,47,47,2019-04-12,42.910099029541016,42.3592414855957,43.60033798217773
48,48,48,2019-04-15,42.97978973388672,42.73696899414063,43.15066146850586
49,49,49,2019-04-16,42.61105728149414,42.413204193115234,43.46543502807617
50,50,50,2019-04-17,42.64028930664063,42.653785705566406,42.82914352416992
51,51,51,2019-04-18,42.57509231567383,42.4087028503418,42.60206604003906
52,52,52,2019-04-22,42.80442428588867,42.72797393798828,42.5638427734375
53,53,53,2019-04-23,42.6717643737793,42.910099029541016,42.3592414855957
54,54,54,2019-04-24,42.73247146606445,42.97978973388672,42.73696899414063
55,55,55,2019-04-25,42.82690048217773,42.61105728149414,42.413204193115234
56,56,56,2019-04-26,43.10344696044922,42.64028930664063,42.653785705566406
57,57,57,2019-04-29,43.116943359375,42.57509231567383,42.4087028503418
58,58,58,2019-04-30,43.71725845336914,42.80442428588867,42.72797393798828
59,59,59,2019-05-01,43.45419692993164,42.6717643737793,42.910099029541016
60,60,60,2019-05-02,43.1057014465332,42.73247146606445,42.97978973388672
61,61,61,2019-05-03,43.26083755493164,42.82690048217773,42.61105728149414
62,62,62,2019-05-06,42.92133331298828,43.10344696044922,42.64028930664063
63,63,63,2019-05-07,42.66277313232422,43.116943359375,42.57509231567383
64,64,64,2019-05-08,42.24232482910156,43.71725845336914,42.80442428588867
65,65,65,2019-05-09,42.40646362304688,43.45419692993164,42.6717643737793
66,66,66,2019-05-10,43.114688873291016,43.1057014465332,42.73247146606445
67,67,67,2019-05-13,43.827430725097656,43.26083755493164,42.82690048217773
68,68,68,2019-05-14,43.820682525634766,42.92133331298828,43.10344696044922
69,69,69,2019-05-15,43.81167984008789,42.66277313232422,43.116943359375
70,70,70,2019-05-16,44.31757354736328,42.24232482910156,43.71725845336914
71,71,71,2019-05-17,44.73801803588867,42.40646362304688,43.45419692993164
72,72,72,2019-05-20,44.82120895385742,43.114688873291016,43.1057014465332
73,73,73,2019-05-21,44.72003173828125,43.827430725097656,43.26083755493164
74,74,74,2019-05-22,45.40127944946289,43.820682525634766,42.92133331298828
75,75,75,2019-05-23,45.761024475097656,43.81167984008789,42.66277313232422
76,76,76,2019-05-24,45.72504806518555,44.31757354736328,42.24232482910156
77,77,77,2019-05-28,45.23040390014648,44.73801803588867,42.40646362304688
