,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,STT,STT_6m,STT_12m,STT_6m_ret,STT_12m_ret
0,0,0,0,2019-02-05,60.41557312011719,,,,
1,1,1,1,2019-02-06,59.84473037719727,,,,
2,2,2,2,2019-02-07,59.43577575683594,,,,
3,3,3,3,2019-02-08,58.75417709350586,,,,
4,4,4,4,2019-02-11,58.60931396484375,,,,
5,5,5,5,2019-02-12,59.2227783203125,,,,
6,6,6,6,2019-02-13,59.20572280883789,60.41557312011719,,-0.020025471063129574,
7,7,7,7,2019-02-14,58.498573303222656,59.84473037719727,,-0.022494162234333426,
8,8,8,8,2019-02-15,60.20258331298828,59.43577575683594,,0.012901447762531326,
9,9,9,9,2019-02-19,60.80748748779297,58.75417709350586,,0.034947479411026716,
10,10,10,10,2019-02-20,61.54872894287109,58.60931396484375,,0.050152693815705085,
11,11,11,11,2019-02-21,61.49762725830078,59.2227783203125,,0.03841172269366577,
12,12,12,12,2019-02-22,61.68506240844727,59.20572280883789,60.41557312011719,0.04187668829945079,0.021012616826560748
13,13,13,13,2019-02-25,61.74470520019531,58.498573303222656,59.84473037719727,0.05549078744444924,0.03174840643482946
14,14,14,14,2019-02-26,61.89805603027344,60.20258331298828,59.43577575683594,0.02816279009939704,0.04142757862724289
15,15,15,15,2019-02-27,61.71914291381836,60.80748748779297,58.75417709350586,0.014992486348139433,0.05046391536713779
16,16,16,16,2019-02-28,61.233516693115234,61.54872894287109,58.60931396484375,-0.005121344586147769,0.04477450000260341
17,17,17,17,2019-03-01,62.02586364746094,61.49762725830078,59.2227783203125,0.008589540974344834,0.04733120273398295
18,18,18,18,2019-03-04,60.90973281860352,61.68506240844727,59.20572280883789,-0.012569162769260234,0.0287811706187171
19,19,19,19,2019-03-05,60.94379425048828,61.74470520019531,58.498573303222656,-0.012971330045389862,0.04179966808063873
20,20,20,20,2019-03-06,60.066253662109375,61.89805603027344,60.20258331298828,-0.02959385941406878,-0.0022645149655811103
21,21,21,21,2019-03-07,58.26000595092773,61.71914291381836,60.80748748779297,-0.05604641930496024,-0.04189420813311262
22,22,22,22,2019-03-08,58.02144241333008,61.233516693115234,61.54872894287109,-0.05245614580464397,-0.057308844392465086
23,23,23,23,2019-03-11,58.52411651611328,62.02586364746094,61.49762725830078,-0.056456241403597174,-0.048351633628046065
24,24,24,24,2019-03-12,58.78824615478516,60.90973281860352,61.68506240844727,-0.03483001099572047,-0.046961389687520394
25,25,25,25,2019-03-13,59.51244735717773,60.94379425048828,61.74470520019531,-0.023486343620607197,-0.036153024551334734
26,26,26,26,2019-03-14,59.88733673095703,60.066253662109375,61.89805603027344,-0.0029786597339465093,-0.03248436911060648
27,27,27,27,2019-03-15,59.72545623779297,58.26000595092773,61.71914291381836,0.025153624050426426,-0.03230256581510338
28,28,28,28,2019-03-18,60.3388900756836,58.02144241333008,61.233516693115234,0.03994122803505307,-0.014610080651014101
29,29,29,29,2019-03-19,59.77656555175781,58.52411651611328,62.02586364746094,0.021400562882477603,-0.03626387386538554
30,30,30,30,2019-03-20,58.15777206420898,58.78824615478516,60.90973281860352,-0.010724492255070772,-0.04518096906762359
31,31,31,31,2019-03-21,58.0044059753418,59.51244735717773,60.94379425048828,-0.025339932212585237,-0.04823113347792474
32,32,32,32,2019-03-22,55.38022994995117,59.88733673095703,60.066253662109375,-0.07525976319925476,-0.07801424970697335
33,33,33,33,2019-03-25,55.27799224853516,59.72545623779297,58.26000595092773,-0.07446513211302264,-0.05118457600063253
34,34,34,34,2019-03-26,56.38559722900391,60.3388900756836,58.02144241333008,-0.06551815656073612,-0.028193804157311653
35,35,35,35,2019-03-27,55.8232650756836,59.77656555175781,58.52411651611328,-0.06613462047516305,-0.04614937569687294
36,36,36,36,2019-03-28,56.4622688293457,58.15777206420898,58.78824615478516,-0.02915351078083528,-0.03956534643532883
37,37,37,37,2019-03-29,56.47085189819336,58.0044059753418,59.51244735717773,-0.026438579127943562,-0.051108559537629605
38,38,38,38,2019-04-01,57.99826431274414,55.38022994995117,59.88733673095703,0.04727380809286941,-0.03154377070898173
39,39,39,39,2019-04-02,57.672176361083984,55.27799224853516,59.72545623779297,0.04331170534892692,-0.034378638624943836
40,40,40,40,2019-04-03,58.375823974609375,56.38559722900391,60.3388900756836,0.03529672191858446,-0.032534010794894264
41,41,41,41,2019-04-04,58.89925003051758,55.8232650756836,59.77656555175781,0.055102204263108634,-0.01467657957834001
42,42,42,42,2019-04-05,58.83918380737305,56.4622688293457,58.15777206420898,0.042097404644001246,0.011716606723031875
43,43,43,43,2019-04-08,59.33688354492188,56.47085189819336,58.0044059753418,0.050752406779615455,0.022972006129095224
