,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,UAL,UAL_6m,UAL_12m,UAL_6m_ret,UAL_12m_ret
0,0,0,0,2019-02-05,89.45999908447266,,,,
1,1,1,1,2019-02-06,89.75,,,,
2,2,2,2,2019-02-07,87.86000061035156,,,,
3,3,3,3,2019-02-08,88.16999816894531,,,,
4,4,4,4,2019-02-11,89.1500015258789,,,,
5,5,5,5,2019-02-12,87.97000122070312,,,,
6,6,6,6,2019-02-13,88.58000183105469,89.45999908447266,,-0.009836767968072868,
7,7,7,7,2019-02-14,88.1500015258789,89.75,,-0.017827281048703014,
8,8,8,8,2019-02-15,88.30999755859375,87.86000061035156,,0.0051217498875042455,
9,9,9,9,2019-02-19,89.23999786376953,88.16999816894531,,0.01213564383628496,
10,10,10,10,2019-02-20,88.5,89.1500015258789,,-0.007291099436383286,
11,11,11,11,2019-02-21,88.83999633789062,87.97000122070312,,0.009889679494317738,
12,12,12,12,2019-02-22,89.43000030517578,88.58000183105469,89.45999908447266,0.009595828138977192,-0.0003353317639601672
13,13,13,13,2019-02-25,89.58000183105469,88.1500015258789,89.75,0.01622235145119033,-0.0018941300161037233
14,14,14,14,2019-02-26,89.52999877929688,88.30999755859375,87.86000061035156,0.013814984196932611,0.01900749097819321
15,15,15,15,2019-02-27,87.5999984741211,89.23999786376953,88.16999816894531,-0.01837740283400724,-0.006464780613151699
16,16,16,16,2019-02-28,87.80999755859375,88.5,89.1500015258789,-0.007796637756002811,-0.015030891131237678
17,17,17,17,2019-03-01,86.91999816894531,88.83999633789062,87.97000122070312,-0.021611866817766057,-0.011935921759549828
18,18,18,18,2019-03-04,84.30999755859375,89.43000030517578,88.58000183105469,-0.05725151212244495,-0.04820505965449129
19,19,19,19,2019-03-05,85.05000305175781,89.58000183105469,88.1500015258789,-0.0505693088490925,-0.035167310498695814
20,20,20,20,2019-03-06,84.33000183105469,89.52999877929688,88.30999755859375,-0.05808105684286735,-0.04506846152836019
21,21,21,21,2019-03-07,82.61000061035156,87.5999984741211,89.23999786376953,-0.05696344692567179,-0.07429400954871246
22,22,22,22,2019-03-08,82.4000015258789,87.80999755859375,88.5,-0.061610251487649426,-0.06892653643074687
23,23,23,23,2019-03-11,82.37999725341797,86.91999816894531,88.83999633789062,-0.05223194904701911,-0.07271498593834858
24,24,24,24,2019-03-12,79.8499984741211,84.30999755859375,89.43000030517578,-0.05290000253378069,-0.10712290951988557
25,25,25,25,2019-03-13,81.20999908447266,85.05000305175781,89.58000183105469,-0.04514995684301493,-0.09343606357998979
