,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LHX,LHX_6m,LHX_12m,LHX_6m_ret,LHX_12m_ret
0,0,0,0,2019-02-05,143.40602111816406,,,,
1,1,1,1,2019-02-06,143.26060485839844,,,,
2,2,2,2,2019-02-07,143.06971740722656,,,,
3,3,3,3,2019-02-08,145.5507049560547,,,,
4,4,4,4,2019-02-11,146.005126953125,,,,
5,5,5,5,2019-02-12,147.2955780029297,,,,
6,6,6,6,2019-02-13,147.18655395507812,143.40602111816406,,0.0263624414612198,
7,7,7,7,2019-02-14,147.44097900390625,143.26060485839844,,0.029180207284757564,
8,8,8,8,2019-02-15,149.76747131347656,143.06971740722656,,0.04681461617195937,
9,9,9,9,2019-02-19,149.57662963867188,145.5507049560547,,0.027659946297290183,
10,10,10,10,2019-02-20,150.13099670410156,146.005126953125,,0.028258389531082617,
11,11,11,11,2019-02-21,149.5584259033203,147.2955780029297,,0.015362632952535815,
12,12,12,12,2019-02-22,150.74896240234375,147.18655395507812,143.40602111816406,0.02420335520833561,0.05120385620440038
13,13,13,13,2019-02-25,148.931396484375,147.44097900390625,143.26060485839844,0.010108570158295471,0.039583747615624665
14,14,14,14,2019-02-26,147.53187561035156,149.76747131347656,143.06971740722656,-0.014927111231287982,0.03118869795782242
15,15,15,15,2019-02-27,147.26832580566406,149.57662963867188,145.5507049560547,-0.0154322492663721,0.011800841844963772
16,16,16,16,2019-02-28,149.88560485839844,150.13099670410156,146.005126953125,-0.0016345181947121645,0.02657768248452852
17,17,17,17,2019-03-01,149.7583770751953,149.5584259033203,147.2955780029297,0.0013369435434167354,0.016720115468888297
18,18,18,18,2019-03-04,148.43154907226562,150.74896240234375,147.18655395507812,-0.015372665212069814,0.008458619919639476
19,19,19,19,2019-03-05,147.6045379638672,148.931396484375,147.44097900390625,-0.008909192768141505,0.0011093181900032612
20,20,20,20,2019-03-06,145.96875,147.53187561035156,149.76747131347656,-0.010595172086606874,-0.02536412800564347
21,21,21,21,2019-03-07,147.15065002441406,147.26832580566406,149.57662963867188,-0.0007990569635815126,-0.016218974983713608
22,22,22,22,2019-03-08,147.65264892578125,149.88560485839844,150.13099670410156,-0.01489773440702813,-0.01650790198379204
23,23,23,23,2019-03-11,148.97604370117188,149.7583770751953,149.5584259033203,-0.005223970700688252,-0.003894011311170842
24,24,24,24,2019-03-12,147.2510528564453,148.43154907226562,150.74896240234375,-0.007953135456705174,-0.023203539780012772
25,25,25,25,2019-03-13,147.6435089111328,147.6045379638672,148.931396484375,0.00026402269065162187,-0.008647522306535982
26,26,26,26,2019-03-14,146.42965698242188,145.96875,147.53187561035156,0.0031575729902590943,-0.0074710541255557095
27,27,27,27,2019-03-15,146.64871215820312,147.15065002441406,147.26832580566406,-0.003411047563348535,-0.004207378905621395
28,28,28,28,2019-03-18,149.0399169921875,147.65264892578125,149.88560485839844,0.009395483768825486,-0.0056422220600163
29,29,29,29,2019-03-19,148.7296142578125,148.97604370117188,149.7583770751953,-0.0016541548374964243,-0.006869484281779137
30,30,30,30,2019-03-20,146.931640625,147.2510528564453,148.43154907226562,-0.0021691677257934527,-0.010105051497747097
31,31,31,31,2019-03-21,148.0085906982422,147.6435089111328,147.6045379638672,0.002472724942680138,0.0027374004888245373
32,32,32,32,2019-03-22,145.3709716796875,146.42965698242188,145.96875,-0.007229992370066607,-0.00409524860843502
33,33,33,33,2019-03-25,145.790771484375,146.64871215820312,147.15065002441406,-0.005850311681582232,-0.009241403553524541
34,34,34,34,2019-03-26,145.7816619873047,149.0399169921875,147.65264892578125,-0.021861626540315426,-0.012671543328809709
35,35,35,35,2019-03-27,145.0332794189453,148.7296142578125,148.97604370117188,-0.02485271583142712,-0.026465760428806107
36,36,36,36,2019-03-28,145.96420288085938,146.931640625,147.2510528564453,-0.006584271025801169,-0.008739156363387623
37,37,37,37,2019-03-29,145.76339721679688,148.0085906982422,147.6435089111328,-0.015169345717390037,-0.012734130394229437
38,38,38,38,2019-04-01,149.0399169921875,145.3709716796875,146.42965698242188,0.025238500301038247,0.01782603376636316
39,39,39,39,2019-04-02,147.7621612548828,145.790771484375,146.64871215820312,0.013522047729331632,0.007592627853959755
40,40,40,40,2019-04-03,146.02809143066406,145.7816619873047,149.0399169921875,0.001690400836429129,-0.02020818061567564
41,41,41,41,2019-04-04,148.1363525390625,145.0332794189453,148.7296142578125,0.021395593704763405,-0.003988860737052846
42,42,42,42,2019-04-05,150.13510131835938,145.96420288085938,146.931640625,0.028574803651717495,0.02180238837416426
43,43,43,43,2019-04-08,149.68792724609375,145.76339721679688,148.0085906982422,0.02692397477166253,0.011346209972874943
44,44,44,44,2019-04-09,148.93038940429688,149.0399169921875,145.3709716796875,-0.0007348876066293197,0.02448506523332772
45,45,45,45,2019-04-10,148.4832000732422,147.7621612548828,145.790771484375,0.004879725717571448,0.018467757330962176
46,46,46,46,2019-04-11,150.7922821044922,146.02809143066406,145.7816619873047,0.03262516565924045,0.034370716102988697
