,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FLT,FLT_6m,FLT_12m,FLT_6m_ret,FLT_12m_ret
0,0,0,0,2019-02-05,204.8300018310547,,,,
1,1,1,1,2019-02-06,205.17999267578125,,,,
2,2,2,2,2019-02-07,218.07000732421875,,,,
3,3,3,3,2019-02-08,217.2400054931641,,,,
4,4,4,4,2019-02-11,217.259994506836,,,,
5,5,5,5,2019-02-12,218.8800048828125,,,,
6,6,6,6,2019-02-13,219.38999938964844,204.8300018310547,,0.07108332484712343,
7,7,7,7,2019-02-14,220.5,205.17999267578125,,0.07466618515981205,
8,8,8,8,2019-02-15,224.0500030517578,218.07000732421875,,0.02742236679365173,
9,9,9,9,2019-02-19,226.07000732421875,217.2400054931641,,0.040646297218642324,
10,10,10,10,2019-02-20,227.5,217.259994506836,,0.047132494486194165,
11,11,11,11,2019-02-21,225.75,218.8800048828125,,0.031387038395150224,
12,12,12,12,2019-02-22,228.42999267578125,219.38999938964844,204.8300018310547,0.04120512927335995,0.11521745170998932
13,13,13,13,2019-02-25,230.259994506836,220.5,205.17999267578125,0.04426301363644436,0.12223414916816644
14,14,14,14,2019-02-26,231.75,224.0500030517578,218.07000732421875,0.03436731463227605,0.06273211453348715
15,15,15,15,2019-02-27,231.6999969482422,226.07000732421875,217.2400054931641,0.024903744157221075,0.06656228636273487
16,16,16,16,2019-02-28,233.27999877929688,227.5,217.259994506836,0.025406588040865374,0.07373655839780846
17,17,17,17,2019-03-01,233.3300018310547,225.75,218.8800048828125,0.03357697378097324,0.0660178939413798
18,18,18,18,2019-03-04,232.0599975585937,228.42999267578125,219.38999938964844,0.015891104492415042,0.05775102878068128
19,19,19,19,2019-03-05,231.33999633789065,230.259994506836,220.5,0.004690358103099035,0.049160981124220626
20,20,20,20,2019-03-06,230.83999633789065,231.75,224.0500030517578,-0.00392666089367566,0.030305704948213164
21,21,21,21,2019-03-07,227.5,231.6999969482422,226.07000732421875,-0.018126875285114474,0.006325441807636167
22,22,22,22,2019-03-08,227.82000732421875,233.27999877929688,227.5,-0.023405313287247376,0.0014066256009614975
23,23,23,23,2019-03-11,230.8300018310547,233.3300018310547,225.75,-0.010714438693615436,0.022502776660264345
24,24,24,24,2019-03-12,231.8000030517578,232.0599975585937,228.42999267578125,-0.0011203762370558534,0.01475292423950525
25,25,25,25,2019-03-13,234.97000122070312,231.33999633789065,230.259994506836,0.015691211810648475,0.020455167316210998
26,26,26,26,2019-03-14,236.6000061035156,230.83999633789065,231.75,0.024952390647215994,0.020927750176982007
27,27,27,27,2019-03-15,239.2700042724609,227.5,231.6999969482422,0.05173628251631168,0.03267159009030851
28,28,28,28,2019-03-18,240.75,227.82000732421875,233.27999877929688,0.05675529918397437,0.032021610338614614
29,29,29,29,2019-03-19,240.8800048828125,230.8300018310547,233.3300018310547,0.04353854772792243,0.032357617933867155
30,30,30,30,2019-03-20,238.22999572753903,231.8000030517578,232.0599975585937,0.027739398581222208,0.0265879437811658
