,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GD,GD_6m,GD_12m,GD_6m_ret,GD_12m_ret
0,0,0,0,2019-02-05,152.2763671875,,,,
1,1,1,1,2019-02-06,152.7537841796875,,,,
2,2,2,2,2019-02-07,153.48768615722656,,,,
3,3,3,3,2019-02-08,152.1879425048828,,,,
4,4,4,4,2019-02-11,151.1357421875,,,,
5,5,5,5,2019-02-12,152.7537841796875,,,,
6,6,6,6,2019-02-13,153.3904571533203,152.2763671875,,0.007316236829110201,
7,7,7,7,2019-02-14,152.17027282714844,152.7537841796875,,-0.0038199469536719377,
8,8,8,8,2019-02-15,154.94662475585938,153.48768615722656,,0.00950524850011969,
9,9,9,9,2019-02-19,154.53988647460938,152.1879425048828,,0.015454207022025379,
10,10,10,10,2019-02-20,154.2480926513672,151.1357421875,,0.02059308022589379,
11,11,11,11,2019-02-21,151.7546844482422,152.7537841796875,,-0.006540589071561409,
12,12,12,12,2019-02-22,152.55926513671875,153.3904571533203,152.2763671875,-0.00541879874424489,0.0018577928699232693
13,13,13,13,2019-02-25,153.08984375,152.17027282714844,152.7537841796875,0.006043039193969868,0.0022000081511381886
14,14,14,14,2019-02-26,150.31346130371094,154.94662475585938,153.48768615722656,-0.029901673943841356,-0.02068064828512739
15,15,15,15,2019-02-27,149.7298583984375,154.53988647460938,152.1879425048828,-0.031124832468167662,-0.01615163505063122
16,16,16,16,2019-02-28,150.5079345703125,154.2480926513672,151.1357421875,-0.024247677989174377,-0.00415393214140336
17,17,17,17,2019-03-01,149.67681884765625,151.7546844482422,152.7537841796875,-0.013692266621888827,-0.020143300204018222
18,18,18,18,2019-03-04,147.43980407714844,152.55926513671875,153.3904571533203,-0.033557195329843914,-0.03879415438617506
19,19,19,19,2019-03-05,148.5715789794922,153.08984375,152.17027282714844,-0.02951381136612996,-0.023649125291008932
20,20,20,20,2019-03-06,147.19223022460938,150.31346130371094,154.94662475585938,-0.02076481408937192,-0.05004558533280834
21,21,21,21,2019-03-07,147.07728576660156,149.7298583984375,154.53988647460938,-0.017715722570025627,-0.048289156141148704
22,22,22,22,2019-03-08,146.90042114257812,150.5079345703125,154.2480926513672,-0.023968925213368464,-0.04763541242222247
23,23,23,23,2019-03-11,149.88015747070312,149.67681884765625,151.7546844482422,0.0013585178026387368,-0.012352350007214352
24,24,24,24,2019-03-12,149.2259063720703,147.43980407714844,152.55926513671875,0.012114111966584629,-0.02184959898476957
25,25,25,25,2019-03-13,151.83425903320312,148.5715789794922,153.08984375,0.02196032428356509,-0.00820161995100921
26,26,26,26,2019-03-14,149.950927734375,147.19223022460938,150.31346130371094,0.018742140842325394,-0.0024118503172742
27,27,27,27,2019-03-15,150.12774658203125,147.07728576660156,149.7298583984375,0.020740529712184763,0.002657373671822727
