,Unnamed: 0.1,Unnamed: 0,Date,MCD,MCD_6m,MCD_12m
0,0,0,2019-02-05,158.17471313476562,,
1,1,1,2019-02-06,156.93653869628906,,
2,2,2,2019-02-07,156.1348419189453,,
3,3,3,2019-02-08,155.66273498535156,,
4,4,4,2019-02-11,155.22622680664062,,
5,5,5,2019-02-12,154.96792602539062,,
6,6,6,2019-02-13,155.1282196044922,158.17471313476562,
7,7,7,2019-02-14,156.66038513183594,156.93653869628906,
8,8,8,2019-02-15,160.3125762939453,156.1348419189453,
9,9,9,2019-02-19,159.6711883544922,155.66273498535156,
10,10,10,2019-02-20,160.77577209472656,155.22622680664062,
11,11,11,2019-02-21,162.8423614501953,154.96792602539062,
12,12,12,2019-02-22,163.16299438476562,155.1282196044922,158.17471313476562
13,13,13,2019-02-25,162.6641845703125,156.66038513183594,156.93653869628906
14,14,14,2019-02-26,163.1986541748047,160.3125762939453,156.1348419189453
15,15,15,2019-02-27,163.33229064941406,159.6711883544922,155.66273498535156
16,16,16,2019-02-28,164.80242919921875,160.77577209472656,155.22622680664062
17,17,17,2019-03-01,165.8871612548828,162.8423614501953,154.96792602539062
18,18,18,2019-03-04,161.8889923095703,163.16299438476562,155.1282196044922
19,19,19,2019-03-05,162.57028198242188,162.6641845703125,156.66038513183594
20,20,20,2019-03-06,163.179931640625,163.1986541748047,160.3125762939453
21,21,21,2019-03-07,161.82626342773438,163.33229064941406,159.6711883544922
22,22,22,2019-03-08,160.911865234375,164.80242919921875,160.77577209472656
23,23,23,2019-03-11,162.3282470703125,165.8871612548828,162.8423614501953
24,24,24,2019-03-12,163.0006103515625,161.8889923095703,163.16299438476562
25,25,25,2019-03-13,163.20677185058594,162.57028198242188,162.6641845703125
26,26,26,2019-03-14,163.81637573242188,163.179931640625,163.1986541748047
27,27,27,2019-03-15,166.1381378173828,161.82626342773438,163.33229064941406
28,28,28,2019-03-18,164.90109252929688,160.911865234375,164.80242919921875
29,29,29,2019-03-19,164.1480712890625,162.3282470703125,165.8871612548828
30,30,30,2019-03-20,165.81541442871094,163.0006103515625,161.8889923095703
31,31,31,2019-03-21,167.07044982910156,163.20677185058594,162.57028198242188
32,32,32,2019-03-22,167.46490478515625,163.81637573242188,163.179931640625
33,33,33,2019-03-25,166.48777770996094,166.1381378173828,161.82626342773438
34,34,34,2019-03-26,168.0654754638672,164.90109252929688,160.911865234375
35,35,35,2019-03-27,168.09237670898438,164.1480712890625,162.3282470703125
36,36,36,2019-03-28,169.7777099609375,165.81541442871094,163.0006103515625
37,37,37,2019-03-29,170.23487854003906,167.07044982910156,163.20677185058594
38,38,38,2019-04-01,168.8812713623047,167.46490478515625,163.81637573242188
39,39,39,2019-04-02,168.84544372558594,166.48777770996094,166.1381378173828
40,40,40,2019-04-03,168.84544372558594,168.0654754638672,164.90109252929688
41,41,41,2019-04-04,170.2079620361328,168.09237670898438,164.1480712890625
42,42,42,2019-04-05,170.96099853515625,169.7777099609375,165.81541442871094
43,43,43,2019-04-08,170.19009399414062,170.23487854003906,167.07044982910156
44,44,44,2019-04-09,170.3962860107422,168.8812713623047,167.46490478515625
45,45,45,2019-04-10,169.62533569335938,168.84544372558594,166.48777770996094
46,46,46,2019-04-11,169.32057189941406,168.84544372558594,168.0654754638672
47,47,47,2019-04-12,171.75888061523438,170.2079620361328,168.09237670898438
48,48,48,2019-04-15,171.98301696777344,170.96099853515625,169.7777099609375
49,49,49,2019-04-16,171.84852600097656,170.19009399414062,170.23487854003906
50,50,50,2019-04-17,171.76780700683594,170.3962860107422,168.8812713623047
51,51,51,2019-04-18,174.72610473632812,169.62533569335938,168.84544372558594
52,52,52,2019-04-22,173.83865356445312,169.32057189941406,168.84544372558594
53,53,53,2019-04-23,175.03985595703125,171.75888061523438,170.2079620361328
54,54,54,2019-04-24,177.16445922851562,171.98301696777344,170.96099853515625
55,55,55,2019-04-25,177.43336486816406,171.84852600097656,170.19009399414062
56,56,56,2019-04-26,176.9761505126953,171.76780700683594,170.3962860107422
57,57,57,2019-04-29,176.70721435546875,174.72610473632812,169.62533569335938
58,58,58,2019-04-30,177.11062622070312,173.83865356445312,169.32057189941406
59,59,59,2019-05-01,174.06272888183594,175.03985595703125,171.75888061523438
60,60,60,2019-05-02,174.4571533203125,177.16445922851562,171.98301696777344
61,61,61,2019-05-03,177.0658416748047,177.43336486816406,171.84852600097656
62,62,62,2019-05-06,178.3029022216797,176.9761505126953,171.76780700683594
63,63,63,2019-05-07,177.531982421875,176.70721435546875,174.72610473632812
64,64,64,2019-05-08,177.52297973632812,177.11062622070312,173.83865356445312
65,65,65,2019-05-09,177.25408935546875,174.06272888183594,175.03985595703125
66,66,66,2019-05-10,179.2800750732422,174.4571533203125,177.16445922851562
67,67,67,2019-05-13,178.41944885253906,177.0658416748047,177.43336486816406
68,68,68,2019-05-14,177.5050811767578,178.3029022216797,176.9761505126953
