,Unnamed: 0,Date,BIO
0,0,2019-02-05,250.1499938964844
1,1,2019-02-06,252.6999969482422
2,2,2019-02-07,248.02999877929688
3,3,2019-02-08,248.8500061035156
4,4,2019-02-11,252.92999267578125
5,5,2019-02-12,258.1000061035156
6,6,2019-02-13,261.7900085449219
7,7,2019-02-14,261.4200134277344
8,8,2019-02-15,270.3399963378906
9,9,2019-02-19,270.0599975585937
10,10,2019-02-20,272.739990234375
11,11,2019-02-21,274.3399963378906
12,12,2019-02-22,274.260009765625
13,13,2019-02-25,275.2200012207031
14,14,2019-02-26,272.8699951171875
15,15,2019-02-27,273.989990234375
16,16,2019-02-28,270.8999938964844
17,17,2019-03-01,317.4100036621094
18,18,2019-03-04,312.7900085449219
19,19,2019-03-05,312.32000732421875
20,20,2019-03-06,308.7300109863281
21,21,2019-03-07,302.6000061035156
22,22,2019-03-08,303.8599853515625
23,23,2019-03-11,308.2699890136719
24,24,2019-03-12,308.8699951171875
25,25,2019-03-13,309.4200134277344
26,26,2019-03-14,311.8699951171875
27,27,2019-03-15,310.3299865722656
28,28,2019-03-18,313.6700134277344
29,29,2019-03-19,314.1199951171875
30,30,2019-03-20,310.7200012207031
31,31,2019-03-21,315.57000732421875
32,32,2019-03-22,305.5899963378906
33,33,2019-03-25,307.19000244140625
34,34,2019-03-26,307.69000244140625
35,35,2019-03-27,302.4200134277344
36,36,2019-03-28,303.75
37,37,2019-03-29,305.67999267578125
38,38,2019-04-01,307.3999938964844
39,39,2019-04-02,309.1400146484375
40,40,2019-04-03,305.8800048828125
41,41,2019-04-04,305.79998779296875
42,42,2019-04-05,308.6099853515625
43,43,2019-04-08,309.8399963378906
44,44,2019-04-09,305.9200134277344
45,45,2019-04-10,307.6000061035156
46,46,2019-04-11,305.9800109863281
47,47,2019-04-12,308.5299987792969
48,48,2019-04-15,306.739990234375
49,49,2019-04-16,301.44000244140625
50,50,2019-04-17,291.8299865722656
51,51,2019-04-18,294.1300048828125
52,52,2019-04-22,293.489990234375
53,53,2019-04-23,295.1400146484375
54,54,2019-04-24,293.7799987792969
55,55,2019-04-25,298.8999938964844
56,56,2019-04-26,301.79998779296875
57,57,2019-04-29,299.239990234375
58,58,2019-04-30,300.92999267578125
59,59,2019-05-01,297.0799865722656
60,60,2019-05-02,302.20001220703125
61,61,2019-05-03,308.3599853515625
62,62,2019-05-06,306.29998779296875
63,63,2019-05-07,297.69000244140625
64,64,2019-05-08,296.510009765625
65,65,2019-05-09,309.2799987792969
66,66,2019-05-10,311.1000061035156
67,67,2019-05-13,296.2799987792969
68,68,2019-05-14,291.9700012207031
69,69,2019-05-15,294.3500061035156
70,70,2019-05-16,299.260009765625
71,71,2019-05-17,296.7200012207031
72,72,2019-05-20,292.8399963378906
73,73,2019-05-21,294.3500061035156
74,74,2019-05-22,295.3500061035156
75,75,2019-05-23,293.9599914550781
76,76,2019-05-24,293.3699951171875
77,77,2019-05-28,289.1199951171875
78,78,2019-05-29,288.0799865722656
79,79,2019-05-30,287.25
80,80,2019-05-31,286.92999267578125
81,81,2019-06-03,288.239990234375
82,82,2019-06-04,291.79998779296875
83,83,2019-06-05,287.70001220703125
84,84,2019-06-06,287.8699951171875
85,85,2019-06-07,289.95001220703125
86,86,2019-06-10,291.6199951171875
87,87,2019-06-11,296.1400146484375
88,88,2019-06-12,297.3099975585937
89,89,2019-06-13,298.739990234375
90,90,2019-06-14,298.42999267578125
91,91,2019-06-17,302.2099914550781
92,92,2019-06-18,307.2099914550781
93,93,2019-06-19,307.92999267578125
94,94,2019-06-20,309.07000732421875
95,95,2019-06-21,304.57000732421875
96,96,2019-06-24,301.0
97,97,2019-06-25,301.4700012207031
98,98,2019-06-26,303.0199890136719
99,99,2019-06-27,306.79998779296875
100,100,2019-06-28,312.5899963378906
101,101,2019-07-01,315.29998779296875
102,102,2019-07-02,314.6600036621094
103,103,2019-07-03,319.1700134277344
104,104,2019-07-05,313.3299865722656
105,105,2019-07-08,309.3099975585937
106,106,2019-07-09,305.04998779296875
107,107,2019-07-10,304.54998779296875
108,108,2019-07-11,310.4100036621094
109,109,2019-07-12,309.2300109863281
110,110,2019-07-15,312.3500061035156
111,111,2019-07-16,309.3900146484375
112,112,2019-07-17,308.5299987792969
113,113,2019-07-18,310.0599975585937
114,114,2019-07-19,315.17999267578125
115,115,2019-07-22,311.6199951171875
116,116,2019-07-23,316.1199951171875
117,117,2019-07-24,323.4800109863281
118,118,2019-07-25,319.6700134277344
119,119,2019-07-26,324.3800048828125
120,120,2019-07-29,320.94000244140625
121,121,2019-07-30,320.8900146484375
122,122,2019-07-31,314.8999938964844
123,123,2019-08-01,310.3699951171875
124,124,2019-08-02,336.0
125,125,2019-08-05,318.79998779296875
126,126,2019-08-06,320.8099975585937
127,127,2019-08-07,320.3500061035156
128,128,2019-08-08,331.6600036621094
129,129,2019-08-09,325.4599914550781
130,130,2019-08-12,319.3699951171875
131,131,2019-08-13,326.25
132,132,2019-08-14,315.8299865722656
133,133,2019-08-15,319.1300048828125
134,134,2019-08-16,327.5
135,135,2019-08-19,330.95001220703125
136,136,2019-08-20,340.4800109863281
137,137,2019-08-21,344.20001220703125
138,138,2019-08-22,341.95001220703125
139,139,2019-08-23,332.6700134277344
140,140,2019-08-26,335.25
141,141,2019-08-27,334.70001220703125
142,142,2019-08-28,335.1099853515625
143,143,2019-08-29,337.3099975585937
144,144,2019-08-30,337.7099914550781
145,145,2019-09-03,333.3399963378906
146,146,2019-09-04,335.20001220703125
147,147,2019-09-05,339.4800109863281
