,Date,CME
103,2019-07-02 00:00:00-04:00,167.42697143554688
104,2019-07-03 00:00:00-04:00,169.0193328857422
105,2019-07-05 00:00:00-04:00,169.97479248046875
106,2019-07-08 00:00:00-04:00,169.2875518798828
107,2019-07-09 00:00:00-04:00,169.2875518798828
108,2019-07-10 00:00:00-04:00,170.27650451660156
109,2019-07-11 00:00:00-04:00,172.99191284179688
110,2019-07-12 00:00:00-04:00,173.88034057617188
111,2019-07-15 00:00:00-04:00,172.6650848388672
112,2019-07-16 00:00:00-04:00,170.5363006591797
113,2019-07-17 00:00:00-04:00,171.0475311279297
114,2019-07-18 00:00:00-04:00,172.86619567871094
115,2019-07-19 00:00:00-04:00,171.68447875976562
116,2019-07-22 00:00:00-04:00,172.76565551757812
117,2019-07-23 00:00:00-04:00,172.1035614013672
118,2019-07-24 00:00:00-04:00,168.9941864013672
119,2019-07-25 00:00:00-04:00,169.010986328125
120,2019-07-26 00:00:00-04:00,168.51651000976562
121,2019-07-29 00:00:00-04:00,167.31802368164062
122,2019-07-30 00:00:00-04:00,165.36524963378906
123,2019-07-31 00:00:00-04:00,162.94313049316406
124,2019-08-01 00:00:00-04:00,168.12255859375
125,2019-08-02 00:00:00-04:00,171.94435119628906
126,2019-08-05 00:00:00-04:00,169.19534301757812
127,2019-08-06 00:00:00-04:00,174.6429443359375
128,2019-08-07 00:00:00-04:00,175.07040405273438
129,2019-08-08 00:00:00-04:00,176.92263793945312
130,2019-08-09 00:00:00-04:00,180.7946319580078
131,2019-08-12 00:00:00-04:00,177.8864288330078
132,2019-08-13 00:00:00-04:00,178.7664337158203
133,2019-08-14 00:00:00-04:00,174.6094512939453
134,2019-08-15 00:00:00-04:00,178.27195739746094
135,2019-08-16 00:00:00-04:00,179.00111389160156
136,2019-08-19 00:00:00-04:00,181.61593627929688
137,2019-08-20 00:00:00-04:00,179.22740173339844
138,2019-08-21 00:00:00-04:00,178.9257049560547
139,2019-08-22 00:00:00-04:00,178.7161407470703
140,2019-08-23 00:00:00-04:00,177.02317810058594
141,2019-08-26 00:00:00-04:00,179.8894500732422
142,2019-08-27 00:00:00-04:00,181.2136993408203
143,2019-08-28 00:00:00-04:00,180.82818603515625
144,2019-08-29 00:00:00-04:00,180.76951599121094
145,2019-08-30 00:00:00-04:00,182.1104736328125
146,2019-09-03 00:00:00-04:00,182.5043487548828
147,2019-09-04 00:00:00-04:00,185.2700653076172
148,2019-09-05 00:00:00-04:00,185.3706512451172
149,2019-09-06 00:00:00-04:00,186.9546661376953
150,2019-09-09 00:00:00-04:00,181.28680419921875
151,2019-09-10 00:00:00-04:00,172.7514190673828
152,2019-09-11 00:00:00-04:00,170.35479736328125
153,2019-09-12 00:00:00-04:00,172.7093505859375
154,2019-09-13 00:00:00-04:00,173.0625762939453
155,2019-09-16 00:00:00-04:00,174.0716552734375
156,2019-09-17 00:00:00-04:00,180.572021484375
157,2019-09-18 00:00:00-04:00,181.78294372558594
158,2019-09-19 00:00:00-04:00,178.2342529296875
159,2019-09-20 00:00:00-04:00,177.56150817871094
160,2019-09-23 00:00:00-04:00,178.51174926757812
161,2019-09-24 00:00:00-04:00,179.04153442382812
162,2019-09-25 00:00:00-04:00,179.35269165039062
163,2019-09-26 00:00:00-04:00,181.63162231445312
164,2019-09-27 00:00:00-04:00,179.86566162109375
165,2019-09-30 00:00:00-04:00,177.72129821777344
166,2019-10-01 00:00:00-04:00,177.19996643066406
167,2019-10-02 00:00:00-04:00,174.7780303955078
168,2019-10-03 00:00:00-04:00,176.11514282226562
169,2019-10-04 00:00:00-04:00,181.65684509277344
170,2019-10-07 00:00:00-04:00,179.39474487304688
171,2019-10-08 00:00:00-04:00,178.39407348632812
172,2019-10-09 00:00:00-04:00,180.90838623046875
173,2019-10-10 00:00:00-04:00,181.54751586914062
174,2019-10-11 00:00:00-04:00,178.97427368164062
175,2019-10-14 00:00:00-04:00,178.57066345214844
176,2019-10-15 00:00:00-04:00,178.7556610107422
177,2019-10-16 00:00:00-04:00,178.28468322753906
178,2019-10-17 00:00:00-04:00,179.12567138671875
179,2019-10-18 00:00:00-04:00,179.2602081298828
180,2019-10-21 00:00:00-04:00,173.28961181640625
181,2019-10-22 00:00:00-04:00,169.88385009765625
182,2019-10-23 00:00:00-04:00,170.0604248046875
183,2019-10-24 00:00:00-04:00,170.91819763183594
184,2019-10-25 00:00:00-04:00,168.57200622558594
185,2019-10-28 00:00:00-04:00,168.74021911621094
186,2019-10-29 00:00:00-04:00,169.0261688232422
187,2019-10-30 00:00:00-04:00,172.36456298828125
188,2019-10-31 00:00:00-04:00,173.0205535888672
189,2019-11-01 00:00:00-04:00,169.45501708984375
190,2019-11-04 00:00:00-05:00,165.67922973632812
191,2019-11-05 00:00:00-05:00,165.620361328125
192,2019-11-06 00:00:00-05:00,166.99948120117188
193,2019-11-07 00:00:00-05:00,167.34429931640625
194,2019-11-08 00:00:00-05:00,166.6462860107422
195,2019-11-11 00:00:00-05:00,167.0499267578125
196,2019-11-12 00:00:00-05:00,169.4381866455078
197,2019-11-13 00:00:00-05:00,172.07028198242188
198,2019-11-14 00:00:00-05:00,173.27279663085938
199,2019-11-15 00:00:00-05:00,171.717041015625
200,2019-11-18 00:00:00-05:00,172.66732788085938
201,2019-11-19 00:00:00-05:00,173.38211059570312
202,2019-11-20 00:00:00-05:00,173.76898193359375
203,2019-11-21 00:00:00-05:00,172.8018798828125
204,2019-11-22 00:00:00-05:00,173.987548828125
205,2019-11-25 00:00:00-05:00,173.90350341796875
206,2019-11-26 00:00:00-05:00,173.12142944335938
207,2019-11-27 00:00:00-05:00,169.00927734375
208,2019-11-29 00:00:00-05:00,170.4809112548828
209,2019-12-02 00:00:00-05:00,170.97708129882812
210,2019-12-03 00:00:00-05:00,171.64974975585938
