,Unnamed: 0,Date,MRO
0,0,2019-02-05,14.895864486694336
1,1,2019-02-06,14.86782932281494
2,2,2019-02-07,14.269752502441406
3,3,2019-02-08,14.138922691345217
4,4,2019-02-11,14.269752502441406
5,5,2019-02-12,14.437960624694824
6,6,2019-02-13,14.53140926361084
7,7,2019-02-14,15.802321434020996
8,8,2019-02-15,15.961191177368164
9,9,2019-02-19,15.961193084716797
10,10,2019-02-20,16.008054733276367
11,11,2019-02-21,15.633155822753906
12,12,2019-02-22,15.82997703552246
13,13,2019-02-25,15.623785972595217
14,14,2019-02-26,15.483199119567873
15,15,2019-02-27,15.73625373840332
16,16,2019-02-28,15.55817985534668
17,17,2019-03-01,16.008054733276367
18,18,2019-03-04,16.195497512817383
19,19,2019-03-05,16.186128616333008
20,20,2019-03-06,15.801859855651855
21,21,2019-03-07,15.801859855651855
22,22,2019-03-08,15.248889923095703
23,23,2019-03-11,15.530062675476074
24,24,2019-03-12,15.839349746704102
25,25,2019-03-13,16.232988357543945
26,26,2019-03-14,16.176753997802734
27,27,2019-03-15,16.186128616333008
28,28,2019-03-18,16.298595428466797
29,29,2019-03-19,16.045543670654297
30,30,2019-03-20,16.495418548583984
31,31,2019-03-21,16.57976722717285
32,32,2019-03-22,15.633155822753906
33,33,2019-03-25,15.66127109527588
34,34,2019-03-26,16.03616714477539
35,35,2019-03-27,15.989307403564451
36,36,2019-03-28,15.764373779296877
37,37,2019-03-29,15.66127109527588
38,38,2019-04-01,16.298595428466797
39,39,2019-04-02,16.05491065979004
40,40,2019-04-03,15.86746883392334
41,41,2019-04-04,16.06428337097168
42,42,2019-04-05,16.589141845703125
43,43,2019-04-08,16.495418548583984
44,44,2019-04-09,16.176753997802734
45,45,2019-04-10,16.354833602905273
46,46,2019-04-11,16.11115074157715
47,47,2019-04-12,16.64537239074707
48,48,2019-04-15,16.289222717285156
49,49,2019-04-16,16.373573303222656
50,50,2019-04-17,16.62662696838379
51,51,2019-04-18,16.51416015625
52,52,2019-04-22,17.601364135742188
53,53,2019-04-23,17.50763511657715
54,54,2019-04-24,17.010896682739258
55,55,2019-04-25,16.804706573486328
56,56,2019-04-26,16.289222717285156
57,57,2019-04-29,16.073659896850586
58,58,2019-04-30,15.970559120178224
59,59,2019-05-01,15.492571830749512
60,60,2019-05-02,14.545957565307615
61,61,2019-05-03,14.695915222167969
62,62,2019-05-06,14.780267715454102
63,63,2019-05-07,14.53658676147461
64,64,2019-05-08,14.583450317382812
65,65,2019-05-09,14.311647415161133
66,66,2019-05-10,14.302276611328123
67,67,2019-05-13,14.086709022521973
68,68,2019-05-14,14.5380859375
69,69,2019-05-15,14.509878158569336
70,70,2019-05-16,14.773181915283203
71,71,2019-05-17,14.547491073608398
72,72,2019-05-20,14.613314628601074
73,73,2019-05-21,14.895425796508787
74,74,2019-05-22,14.509878158569336
75,75,2019-05-23,13.69175624847412
76,76,2019-05-24,13.569509506225586
77,77,2019-05-28,13.475469589233398
78,78,2019-05-29,13.249784469604492
79,79,2019-05-30,12.80781078338623
80,80,2019-05-31,12.365836143493652
81,81,2019-06-03,12.535104751586914
82,82,2019-06-04,12.647947311401367
83,83,2019-06-05,12.403450965881348
84,84,2019-06-06,12.459874153137209
85,85,2019-06-07,12.516295433044434
86,86,2019-06-10,12.647947311401367
87,87,2019-06-11,12.610333442687988
88,88,2019-06-12,12.243589401245115
89,89,2019-06-13,12.488085746765137
90,90,2019-06-14,12.205973625183104
91,91,2019-06-17,12.535104751586914
92,92,2019-06-18,12.854827880859377
93,93,2019-06-19,12.817214012145996
94,94,2019-06-20,13.268590927124023
95,95,2019-06-21,13.212166786193848
96,96,2019-06-24,13.099324226379396
97,97,2019-06-25,13.071111679077148
98,98,2019-06-26,13.531896591186523
99,99,2019-06-27,13.35322380065918
100,100,2019-06-28,13.362626075744627
101,101,2019-07-01,13.40024185180664
102,102,2019-07-02,12.741983413696287
103,103,2019-07-03,12.845425605773926
104,104,2019-07-05,12.939462661743164
105,105,2019-07-08,12.713773727416992
106,106,2019-07-09,12.732580184936523
107,107,2019-07-10,13.071111679077148
108,108,2019-07-11,12.836020469665527
109,109,2019-07-12,13.089919090270996
110,110,2019-07-15,12.67615795135498
111,111,2019-07-16,12.5256986618042
112,112,2019-07-17,12.431662559509276
113,113,2019-07-18,12.582120895385742
114,114,2019-07-19,12.845425605773926
115,115,2019-07-22,12.854827880859377
116,116,2019-07-23,12.939462661743164
117,117,2019-07-24,13.136940002441406
118,118,2019-07-25,12.930058479309082
119,119,2019-07-26,12.930058479309082
120,120,2019-07-29,12.694966316223145
121,121,2019-07-30,13.287396430969238
122,122,2019-07-31,13.230976104736328
123,123,2019-08-01,12.723177909851074
124,124,2019-08-02,12.488085746765137
125,125,2019-08-05,11.754597663879396
126,126,2019-08-06,11.434873580932615
127,127,2019-08-07,11.331433296203612
128,128,2019-08-08,12.093131065368652
129,129,2019-08-09,12.102532386779783
130,130,2019-08-12,11.980286598205566
131,131,2019-08-13,12.177763938903809
132,132,2019-08-14,11.566521644592283
133,133,2019-08-15,11.30321979522705
134,134,2019-08-16,11.707579612731934
135,135,2019-08-19,12.1119384765625
136,136,2019-08-20,11.913690567016602
137,137,2019-08-21,11.724884033203123
138,138,2019-08-22,11.573841094970703
139,139,2019-08-23,11.092381477355955
140,140,2019-08-26,10.97909927368164
141,141,2019-08-27,10.884695053100586
142,142,2019-08-28,11.271747589111328
143,143,2019-08-29,11.517197608947754
144,144,2019-08-30,11.177345275878906
145,145,2019-09-03,11.1112642288208
146,146,2019-09-04,11.432232856750488
147,147,2019-09-05,11.83816909790039
148,148,2019-09-06,11.753204345703123
149,149,2019-09-09,12.178020477294922
150,150,2019-09-10,12.1119384765625
151,151,2019-09-11,12.281864166259766
152,152,2019-09-12,11.875929832458496
153,153,2019-09-13,11.989212989807127
154,154,2019-09-16,13.37693977355957
155,155,2019-09-17,12.338505744934082
156,156,2019-09-18,12.30074405670166
157,157,2019-09-19,12.310185432434082
158,158,2019-09-20,12.442349433898926
159,159,2019-09-23,12.366826057434082
160,160,2019-09-24,11.536077499389648
161,161,2019-09-25,11.630481719970703
162,162,2019-09-26,11.271747589111328
163,163,2019-09-27,11.517197608947754
164,164,2019-09-30,11.583279609680176
165,165,2019-10-01,11.130144119262695
166,166,2019-10-02,10.667569160461426
167,167,2019-10-03,11.007418632507324
168,168,2019-10-04,10.91301727294922
169,169,2019-10-07,10.771411895751951
170,170,2019-10-08,10.469322204589844
171,171,2019-10-09,10.56372356414795
172,172,2019-10-10,10.761971473693848
173,173,2019-10-11,11.082942008972168
174,174,2019-10-14,11.120704650878906
175,175,2019-10-15,11.177345275878906
176,176,2019-10-16,10.969658851623535
177,177,2019-10-17,10.903576850891112
178,178,2019-10-18,10.667569160461426
179,179,2019-10-21,10.884695053100586
180,180,2019-10-22,11.073501586914062
181,181,2019-10-23,11.337831497192385
182,182,2019-10-24,11.271747589111328
183,183,2019-10-25,11.3095121383667
184,184,2019-10-28,11.271747589111328
185,185,2019-10-29,11.337831497192385
186,186,2019-10-30,10.91301727294922
187,187,2019-10-31,10.884695053100586
188,188,2019-11-01,11.375593185424805
189,189,2019-11-04,11.819287300109863
190,190,2019-11-05,11.932573318481444
191,191,2019-11-06,11.498316764831545
192,192,2019-11-07,11.857050895690918
193,193,2019-11-08,11.828727722167969
194,194,2019-11-11,11.479435920715332
195,195,2019-11-12,11.337831497192385
196,196,2019-11-13,11.205666542053224
