,Unnamed: 0,Date,FTNT
0,0,2019-02-05,16.393999099731445
1,1,2019-02-06,16.243999481201172
2,2,2019-02-07,15.871999740600586
3,3,2019-02-08,16.20400047302246
4,4,2019-02-11,16.33799934387207
5,5,2019-02-12,16.625999450683594
6,6,2019-02-13,16.483999252319336
7,7,2019-02-14,16.63800048828125
8,8,2019-02-15,16.621999740600586
9,9,2019-02-19,16.785999298095703
10,10,2019-02-20,16.77400016784668
11,11,2019-02-21,16.898000717163086
12,12,2019-02-22,17.357999801635742
13,13,2019-02-25,17.41200065612793
14,14,2019-02-26,17.395999908447266
15,15,2019-02-27,17.579999923706055
16,16,2019-02-28,17.357999801635742
17,17,2019-03-01,17.38599967956543
18,18,2019-03-04,16.763999938964844
19,19,2019-03-05,16.724000930786133
20,20,2019-03-06,16.579999923706055
21,21,2019-03-07,16.496000289916992
22,22,2019-03-08,16.134000778198242
23,23,2019-03-11,16.511999130249023
24,24,2019-03-12,16.479999542236328
25,25,2019-03-13,16.73200035095215
26,26,2019-03-14,16.875999450683594
27,27,2019-03-15,16.652000427246094
28,28,2019-03-18,16.902000427246094
29,29,2019-03-19,17.06399917602539
30,30,2019-03-20,17.1200008392334
31,31,2019-03-21,17.65999984741211
32,32,2019-03-22,17.038000106811523
33,33,2019-03-25,17.003999710083008
34,34,2019-03-26,16.968000411987305
35,35,2019-03-27,16.365999221801758
36,36,2019-03-28,16.469999313354492
37,37,2019-03-29,16.79400062561035
38,38,2019-04-01,17.04400062561035
39,39,2019-04-02,17.125999450683594
40,40,2019-04-03,17.49799919128418
41,41,2019-04-04,16.700000762939453
42,42,2019-04-05,16.82200050354004
43,43,2019-04-08,17.215999603271484
44,44,2019-04-09,17.461999893188477
45,45,2019-04-10,17.923999786376953
46,46,2019-04-11,17.93600082397461
47,47,2019-04-12,18.54199981689453
48,48,2019-04-15,19.04400062561035
49,49,2019-04-16,18.809999465942383
50,50,2019-04-17,18.474000930786133
51,51,2019-04-18,18.215999603271484
52,52,2019-04-22,18.31399917602539
53,53,2019-04-23,18.39800071716309
54,54,2019-04-24,18.45199966430664
55,55,2019-04-25,18.57999992370605
56,56,2019-04-26,18.60400009155273
57,57,2019-04-29,18.606000900268555
58,58,2019-04-30,18.68400001525879
59,59,2019-05-01,18.37800025939941
60,60,2019-05-02,18.302000045776367
61,61,2019-05-03,17.191999435424805
62,62,2019-05-06,17.00200080871582
63,63,2019-05-07,16.356000900268555
64,64,2019-05-08,16.329999923706055
65,65,2019-05-09,16.36199951171875
66,66,2019-05-10,16.579999923706055
67,67,2019-05-13,15.89799976348877
68,68,2019-05-14,16.239999771118164
69,69,2019-05-15,16.209999084472656
70,70,2019-05-16,16.648000717163086
71,71,2019-05-17,16.52400016784668
72,72,2019-05-20,16.270000457763672
73,73,2019-05-21,16.511999130249023
74,74,2019-05-22,16.392000198364258
75,75,2019-05-23,15.498000144958496
76,76,2019-05-24,15.54800033569336
77,77,2019-05-28,15.447999954223633
78,78,2019-05-29,15.163999557495115
79,79,2019-05-30,15.210000038146973
80,80,2019-05-31,14.496000289916992
81,81,2019-06-03,13.93000030517578
82,82,2019-06-04,14.494000434875488
83,83,2019-06-05,14.630000114440918
84,84,2019-06-06,14.718000411987305
85,85,2019-06-07,14.763999938964844
86,86,2019-06-10,14.935999870300291
87,87,2019-06-11,15.196000099182127
88,88,2019-06-12,15.39799976348877
89,89,2019-06-13,15.321999549865724
90,90,2019-06-14,15.142000198364258
91,91,2019-06-17,14.906000137329102
92,92,2019-06-18,14.989999771118164
93,93,2019-06-19,15.392000198364258
94,94,2019-06-20,15.387999534606934
95,95,2019-06-21,15.22599983215332
96,96,2019-06-24,15.16800022125244
97,97,2019-06-25,14.973999977111816
98,98,2019-06-26,15.050000190734863
99,99,2019-06-27,15.350000381469728
100,100,2019-06-28,15.366000175476074
101,101,2019-07-01,15.437999725341797
102,102,2019-07-02,15.621999740600586
103,103,2019-07-03,15.767999649047852
104,104,2019-07-05,15.777999877929688
105,105,2019-07-08,15.710000038146973
106,106,2019-07-09,16.110000610351562
107,107,2019-07-10,16.209999084472656
108,108,2019-07-11,16.812000274658203
109,109,2019-07-12,16.941999435424805
110,110,2019-07-15,17.003999710083008
111,111,2019-07-16,16.95400047302246
112,112,2019-07-17,17.309999465942383
113,113,2019-07-18,17.290000915527344
114,114,2019-07-19,17.472000122070312
115,115,2019-07-22,17.510000228881836
116,116,2019-07-23,17.52199935913086
117,117,2019-07-24,17.31599998474121
118,118,2019-07-25,17.06800079345703
119,119,2019-07-26,17.07200050354004
120,120,2019-07-29,16.591999053955078
121,121,2019-07-30,16.488000869750977
122,122,2019-07-31,16.062000274658203
123,123,2019-08-01,15.803999900817873
124,124,2019-08-02,17.209999084472656
125,125,2019-08-05,16.172000885009766
126,126,2019-08-06,16.41200065612793
127,127,2019-08-07,16.29199981689453
128,128,2019-08-08,16.874000549316406
129,129,2019-08-09,16.70599937438965
130,130,2019-08-12,16.437999725341797
131,131,2019-08-13,16.781999588012695
132,132,2019-08-14,16.142000198364258
133,133,2019-08-15,16.020000457763672
134,134,2019-08-16,16.131999969482422
135,135,2019-08-19,16.23200035095215
136,136,2019-08-20,15.934000015258787
137,137,2019-08-21,16.393999099731445
138,138,2019-08-22,16.350000381469727
139,139,2019-08-23,16.06999969482422
140,140,2019-08-26,16.22599983215332
141,141,2019-08-27,16.172000885009766
142,142,2019-08-28,15.56999969482422
143,143,2019-08-29,15.593999862670898
144,144,2019-08-30,15.836000442504885
145,145,2019-09-03,15.605999946594238
