,Unnamed: 0,Date,EW
0,0,2019-02-05,56.70333480834961
1,1,2019-02-06,56.86000061035156
2,2,2019-02-07,56.75
3,3,2019-02-08,57.310001373291016
4,4,2019-02-11,57.77000045776367
5,5,2019-02-12,59.1966667175293
6,6,2019-02-13,58.74333190917969
7,7,2019-02-14,58.706668853759766
8,8,2019-02-15,59.2599983215332
9,9,2019-02-19,59.0099983215332
10,10,2019-02-20,58.893333435058594
11,11,2019-02-21,57.97999954223633
12,12,2019-02-22,57.50333404541016
13,13,2019-02-25,56.81333160400391
14,14,2019-02-26,56.04333114624024
15,15,2019-02-27,56.1966667175293
16,16,2019-02-28,56.43000030517578
17,17,2019-03-01,57.9033317565918
18,18,2019-03-04,57.06999969482422
19,19,2019-03-05,57.526668548583984
20,20,2019-03-06,57.206668853759766
21,21,2019-03-07,56.98666763305664
22,22,2019-03-08,56.41999816894531
23,23,2019-03-11,57.85333251953125
24,24,2019-03-12,58.47999954223633
25,25,2019-03-13,59.3033332824707
26,26,2019-03-14,59.34000015258789
27,27,2019-03-15,59.91666793823242
28,28,2019-03-18,63.630001068115234
29,29,2019-03-19,63.119998931884766
30,30,2019-03-20,62.970001220703125
31,31,2019-03-21,64.05000305175781
32,32,2019-03-22,62.99666595458984
33,33,2019-03-25,63.133331298828125
34,34,2019-03-26,63.426666259765625
35,35,2019-03-27,62.51666641235352
36,36,2019-03-28,62.91999816894531
37,37,2019-03-29,63.776668548583984
38,38,2019-04-01,63.33333206176758
39,39,2019-04-02,63.33333206176758
40,40,2019-04-03,63.56999969482422
41,41,2019-04-04,63.09999847412109
42,42,2019-04-05,62.77000045776367
43,43,2019-04-08,62.84333419799805
44,44,2019-04-09,63.31999969482422
45,45,2019-04-10,62.94333267211914
46,46,2019-04-11,63.45333480834961
47,47,2019-04-12,63.9033317565918
48,48,2019-04-15,63.07666778564453
49,49,2019-04-16,63.46333312988281
50,50,2019-04-17,59.163333892822266
51,51,2019-04-18,59.08666610717773
52,52,2019-04-22,59.42333221435547
53,53,2019-04-23,60.32666778564453
54,54,2019-04-24,59.24333190917969
55,55,2019-04-25,59.073333740234375
56,56,2019-04-26,58.706668853759766
57,57,2019-04-29,58.11000061035156
58,58,2019-04-30,58.68999862670898
59,59,2019-05-01,58.46333312988281
60,60,2019-05-02,59.5533332824707
61,61,2019-05-03,60.50333404541016
62,62,2019-05-06,60.99666595458984
63,63,2019-05-07,59.44333267211914
64,64,2019-05-08,59.25666809082031
65,65,2019-05-09,60.4466667175293
66,66,2019-05-10,60.36666870117188
67,67,2019-05-13,59.38999938964844
68,68,2019-05-14,59.630001068115234
69,69,2019-05-15,59.08333206176758
70,70,2019-05-16,59.04666519165039
71,71,2019-05-17,57.706668853759766
72,72,2019-05-20,57.59333419799805
73,73,2019-05-21,57.33333206176758
74,74,2019-05-22,57.5533332824707
75,75,2019-05-23,56.65666580200195
76,76,2019-05-24,56.459999084472656
77,77,2019-05-28,56.426666259765625
78,78,2019-05-29,55.7400016784668
79,79,2019-05-30,56.67333221435547
80,80,2019-05-31,56.900001525878906
81,81,2019-06-03,56.27333450317383
82,82,2019-06-04,58.01333236694336
83,83,2019-06-05,59.09999847412109
84,84,2019-06-06,59.93000030517578
85,85,2019-06-07,61.27000045776367
86,86,2019-06-10,61.74333190917969
87,87,2019-06-11,61.86666870117188
88,88,2019-06-12,61.59999847412109
89,89,2019-06-13,61.54666519165039
90,90,2019-06-14,61.310001373291016
91,91,2019-06-17,61.58333206176758
92,92,2019-06-18,63.10333251953125
93,93,2019-06-19,63.663333892822266
94,94,2019-06-20,64.29000091552734
95,95,2019-06-21,64.41000366210938
96,96,2019-06-24,63.91999816894531
97,97,2019-06-25,63.98666763305664
98,98,2019-06-26,62.34999847412109
99,99,2019-06-27,61.810001373291016
100,100,2019-06-28,61.58000183105469
101,101,2019-07-01,61.75666809082031
102,102,2019-07-02,61.54666519165039
103,103,2019-07-03,62.46666717529297
104,104,2019-07-05,62.76666641235352
105,105,2019-07-08,62.25333404541016
106,106,2019-07-09,63.33000183105469
107,107,2019-07-10,63.72666549682617
108,108,2019-07-11,65.01000213623047
109,109,2019-07-12,63.81666564941406
110,110,2019-07-15,63.630001068115234
111,111,2019-07-16,62.5099983215332
112,112,2019-07-17,63.25333404541016
113,113,2019-07-18,64.36000061035156
114,114,2019-07-19,64.77666473388672
115,115,2019-07-22,64.66999816894531
116,116,2019-07-23,65.15333557128906
117,117,2019-07-24,71.62666320800781
118,118,2019-07-25,70.82333374023438
119,119,2019-07-26,70.94999694824219
120,120,2019-07-29,72.08999633789062
121,121,2019-07-30,72.29000091552734
122,122,2019-07-31,70.94999694824219
123,123,2019-08-01,71.69000244140625
124,124,2019-08-02,71.44667053222656
125,125,2019-08-05,69.80999755859375
126,126,2019-08-06,70.91000366210938
127,127,2019-08-07,71.02666473388672
128,128,2019-08-08,72.36666870117188
129,129,2019-08-09,72.5433349609375
130,130,2019-08-12,71.96333312988281
131,131,2019-08-13,73.07333374023438
132,132,2019-08-14,71.16999816894531
133,133,2019-08-15,71.73666381835938
134,134,2019-08-16,73.11333465576172
135,135,2019-08-19,74.16666412353516
136,136,2019-08-20,74.00333404541016
137,137,2019-08-21,73.93000030517578
138,138,2019-08-22,72.22333526611328
139,139,2019-08-23,70.68000030517578
140,140,2019-08-26,71.88666534423828
141,141,2019-08-27,71.62999725341797
142,142,2019-08-28,72.30000305175781
143,143,2019-08-29,73.3566665649414
144,144,2019-08-30,73.94667053222656
145,145,2019-09-03,72.87000274658203
