,Date,EXPE
103,2019-07-02 00:00:00-04:00,132.69313049316406
104,2019-07-03 00:00:00-04:00,133.55459594726562
105,2019-07-05 00:00:00-04:00,133.792236328125
106,2019-07-08 00:00:00-04:00,131.1781768798828
107,2019-07-09 00:00:00-04:00,132.13865661621094
108,2019-07-10 00:00:00-04:00,131.9901123046875
109,2019-07-11 00:00:00-04:00,132.62384033203125
110,2019-07-12 00:00:00-04:00,133.25753784179688
111,2019-07-15 00:00:00-04:00,133.41598510742188
112,2019-07-16 00:00:00-04:00,135.0299530029297
113,2019-07-17 00:00:00-04:00,133.81202697753906
114,2019-07-18 00:00:00-04:00,135.1289825439453
115,2019-07-19 00:00:00-04:00,133.77243041992188
116,2019-07-22 00:00:00-04:00,134.6833953857422
117,2019-07-23 00:00:00-04:00,135.96070861816406
118,2019-07-24 00:00:00-04:00,136.4656982421875
119,2019-07-25 00:00:00-04:00,136.8518829345703
120,2019-07-26 00:00:00-04:00,138.04998779296875
121,2019-07-29 00:00:00-04:00,137.3469696044922
122,2019-07-30 00:00:00-04:00,133.92095947265625
123,2019-07-31 00:00:00-04:00,131.4356231689453
124,2019-08-01 00:00:00-04:00,130.1186981201172
125,2019-08-02 00:00:00-04:00,127.90071105957031
126,2019-08-05 00:00:00-04:00,125.25694274902344
127,2019-08-06 00:00:00-04:00,125.81143951416016
128,2019-08-07 00:00:00-04:00,125.92035675048828
129,2019-08-08 00:00:00-04:00,129.18792724609375
130,2019-08-09 00:00:00-04:00,127.65316772460938
131,2019-08-12 00:00:00-04:00,126.76200866699219
132,2019-08-13 00:00:00-04:00,127.8808822631836
133,2019-08-14 00:00:00-04:00,125.40547180175781
134,2019-08-15 00:00:00-04:00,125.55399322509766
135,2019-08-16 00:00:00-04:00,127.3363037109375
136,2019-08-19 00:00:00-04:00,129.5146942138672
137,2019-08-20 00:00:00-04:00,129.33645629882812
138,2019-08-21 00:00:00-04:00,129.94204711914062
139,2019-08-22 00:00:00-04:00,129.7633514404297
140,2019-08-23 00:00:00-04:00,126.59645080566406
141,2019-08-26 00:00:00-04:00,127.5693588256836
142,2019-08-27 00:00:00-04:00,127.52964782714844
143,2019-08-28 00:00:00-04:00,128.4429931640625
144,2019-08-29 00:00:00-04:00,129.0684051513672
145,2019-08-30 00:00:00-04:00,129.15777587890625
146,2019-09-03 00:00:00-04:00,127.84732055664062
147,2019-09-04 00:00:00-04:00,127.76789855957031
148,2019-09-05 00:00:00-04:00,130.59725952148438
149,2019-09-06 00:00:00-04:00,130.75611877441406
150,2019-09-09 00:00:00-04:00,130.2597198486328
151,2019-09-10 00:00:00-04:00,129.22726440429688
152,2019-09-11 00:00:00-04:00,129.60450744628906
153,2019-09-12 00:00:00-04:00,130.696533203125
154,2019-09-13 00:00:00-04:00,131.3418426513672
155,2019-09-16 00:00:00-04:00,130.32920837402344
156,2019-09-17 00:00:00-04:00,131.72901916503906
157,2019-09-18 00:00:00-04:00,132.8408966064453
158,2019-09-19 00:00:00-04:00,133.50604248046875
159,2019-09-20 00:00:00-04:00,133.2082061767578
160,2019-09-23 00:00:00-04:00,131.41131591796875
161,2019-09-24 00:00:00-04:00,131.63966369628906
162,2019-09-25 00:00:00-04:00,132.63243103027344
163,2019-09-26 00:00:00-04:00,131.90769958496094
164,2019-09-27 00:00:00-04:00,131.2127685546875
165,2019-09-30 00:00:00-04:00,133.43655395507812
166,2019-10-01 00:00:00-04:00,132.940185546875
167,2019-10-02 00:00:00-04:00,131.70913696289062
168,2019-10-03 00:00:00-04:00,132.28494262695312
169,2019-10-04 00:00:00-04:00,132.2551727294922
170,2019-10-07 00:00:00-04:00,131.3914794921875
171,2019-10-08 00:00:00-04:00,130.59725952148438
172,2019-10-09 00:00:00-04:00,132.58277893066406
173,2019-10-10 00:00:00-04:00,135.00511169433594
174,2019-10-11 00:00:00-04:00,137.2686004638672
175,2019-10-14 00:00:00-04:00,135.7198944091797
176,2019-10-15 00:00:00-04:00,136.2559814453125
177,2019-10-16 00:00:00-04:00,137.25865173339844
178,2019-10-17 00:00:00-04:00,137.47706604003906
179,2019-10-18 00:00:00-04:00,135.04481506347656
180,2019-10-21 00:00:00-04:00,135.2731475830078
181,2019-10-22 00:00:00-04:00,135.66030883789062
182,2019-10-23 00:00:00-04:00,137.3083038330078
183,2019-10-24 00:00:00-04:00,136.1467742919922
184,2019-10-25 00:00:00-04:00,136.06735229492188
185,2019-10-28 00:00:00-04:00,137.0898895263672
186,2019-10-29 00:00:00-04:00,136.15670776367188
187,2019-10-30 00:00:00-04:00,135.46177673339844
188,2019-10-31 00:00:00-04:00,135.67025756835938
189,2019-11-01 00:00:00-04:00,136.802001953125
190,2019-11-04 00:00:00-05:00,134.2208251953125
191,2019-11-05 00:00:00-05:00,134.04212951660156
192,2019-11-06 00:00:00-05:00,134.37966918945312
193,2019-11-07 00:00:00-05:00,97.57814025878906
194,2019-11-08 00:00:00-05:00,100.5862045288086
195,2019-11-11 00:00:00-05:00,98.35249328613281
196,2019-11-12 00:00:00-05:00,94.96719360351562
197,2019-11-13 00:00:00-05:00,94.90762329101562
198,2019-11-14 00:00:00-05:00,94.88777923583984
199,2019-11-15 00:00:00-05:00,94.97711944580078
200,2019-11-18 00:00:00-05:00,94.7878189086914
201,2019-11-19 00:00:00-05:00,94.52877807617188
202,2019-11-20 00:00:00-05:00,93.96089172363281
203,2019-11-21 00:00:00-05:00,94.34944915771484
204,2019-11-22 00:00:00-05:00,96.27230072021484
205,2019-11-25 00:00:00-05:00,98.06564331054688
206,2019-11-26 00:00:00-05:00,98.93242645263672
207,2019-11-27 00:00:00-05:00,101.13424682617188
208,2019-11-29 00:00:00-05:00,101.28369140625
209,2019-12-02 00:00:00-05:00,100.3770523071289
210,2019-12-03 00:00:00-05:00,99.02208709716797
211,2019-12-04 00:00:00-05:00,105.16925048828125
212,2019-12-05 00:00:00-05:00,105.28880310058594
213,2019-12-06 00:00:00-05:00,107.18177795410156
