,Unnamed: 0,Date,RHI
0,0,2019-02-05,57.204345703125
1,1,2019-02-06,57.24930953979492
2,2,2019-02-07,56.7097282409668
3,3,2019-02-08,57.01549530029297
4,4,2019-02-11,58.220550537109375
5,5,2019-02-12,58.89502716064453
6,6,2019-02-13,59.60546875
7,7,2019-02-14,59.60546875
8,8,2019-02-15,60.234981536865234
9,9,2019-02-19,60.65764617919922
10,10,2019-02-20,60.909454345703125
11,11,2019-02-21,60.60369873046875
12,12,2019-02-22,61.66975784301758
13,13,2019-02-25,61.27225112915039
14,14,2019-02-26,61.05541610717773
15,15,2019-02-27,61.67879486083984
16,16,2019-02-28,61.60652923583984
17,17,2019-03-01,61.61556625366211
18,18,2019-03-04,61.064449310302734
19,19,2019-03-05,60.61271667480469
20,20,2019-03-06,59.42920303344727
21,21,2019-03-07,59.12203598022461
22,22,2019-03-08,58.43539810180664
23,23,2019-03-11,58.7335319519043
24,24,2019-03-12,58.86907196044922
25,25,2019-03-13,59.28466033935547
26,26,2019-03-14,59.03166961669922
27,27,2019-03-15,59.56471633911133
28,28,2019-03-18,60.18809509277344
29,29,2019-03-19,60.25133895874024
30,30,2019-03-20,58.90519714355469
31,31,2019-03-21,59.96223068237305
32,32,2019-03-22,57.57711791992188
33,33,2019-03-25,57.05310821533203
34,34,2019-03-26,57.369327545166016
35,35,2019-03-27,57.12538909912109
36,36,2019-03-28,58.22760009765625
37,37,2019-03-29,58.86907196044922
38,38,2019-04-01,60.14292907714844
39,39,2019-04-02,59.81768035888672
40,40,2019-04-03,61.10962677001953
41,41,2019-04-04,60.82052230834961
42,42,2019-04-05,60.937965393066406
43,43,2019-04-08,60.65789031982422
44,44,2019-04-09,59.26656723022461
45,45,2019-04-10,59.26656723022461
46,46,2019-04-11,60.07064437866211
47,47,2019-04-12,60.49527359008789
48,48,2019-04-15,60.52238082885742
49,49,2019-04-16,60.73017120361328
50,50,2019-04-17,60.712100982666016
51,51,2019-04-18,61.57038497924805
52,52,2019-04-22,60.88377380371094
53,53,2019-04-23,62.14857864379883
54,54,2019-04-24,56.9175910949707
55,55,2019-04-25,56.1044921875
56,56,2019-04-26,56.42070007324219
57,57,2019-04-29,56.27614212036133
58,58,2019-04-30,56.09545135498047
59,59,2019-05-01,55.01130294799805
60,60,2019-05-02,55.39979553222656
61,61,2019-05-03,55.62565994262695
62,62,2019-05-06,55.01130294799805
63,63,2019-05-07,53.674198150634766
64,64,2019-05-08,52.89723205566406
65,65,2019-05-09,51.903419494628906
66,66,2019-05-10,52.12929916381836
67,67,2019-05-13,50.27720642089844
68,68,2019-05-14,50.66569519042969
69,69,2019-05-15,50.61149978637695
70,70,2019-05-16,50.756046295166016
71,71,2019-05-17,50.59341430664063
72,72,2019-05-20,50.44887161254883
73,73,2019-05-21,51.50590896606445
74,74,2019-05-22,51.0903205871582
75,75,2019-05-23,51.05398178100586
76,76,2019-05-24,51.15390396118164
77,77,2019-05-28,50.59068298339844
78,78,2019-05-29,50.42716217041016
79,79,2019-05-30,50.04561996459961
80,80,2019-05-31,48.7465705871582
81,81,2019-06-03,49.59141159057617
82,82,2019-06-04,50.32723617553711
83,83,2019-06-05,50.072872161865234
84,84,2019-06-06,49.24620056152344
85,85,2019-06-07,48.91007614135742
86,86,2019-06-10,49.90935897827149
87,87,2019-06-11,50.82687759399414
88,88,2019-06-12,50.39991760253906
89,89,2019-06-13,51.51728820800781
90,90,2019-06-14,51.09939956665039
91,91,2019-06-17,50.48167419433594
92,92,2019-06-18,51.76256561279297
93,93,2019-06-19,51.60812377929688
94,94,2019-06-20,52.07142639160156
95,95,2019-06-21,51.06307220458984
96,96,2019-06-24,50.58160018920898
97,97,2019-06-25,50.39082336425781
98,98,2019-06-26,50.74512100219727
99,99,2019-06-27,51.30834579467773
100,100,2019-06-28,51.78981399536133
101,101,2019-07-01,51.80797958374024
102,102,2019-07-02,52.79816818237305
103,103,2019-07-03,52.68916702270508
104,104,2019-07-05,52.6074104309082
105,105,2019-07-08,52.09867477416992
106,106,2019-07-09,52.18042755126953
107,107,2019-07-10,52.03509521484375
108,108,2019-07-11,52.03509521484375
109,109,2019-07-12,53.22514343261719
110,110,2019-07-15,53.38865280151367
111,111,2019-07-16,53.66119003295898
112,112,2019-07-17,52.92535400390625
113,113,2019-07-18,52.834503173828125
114,114,2019-07-19,52.36212539672852
115,115,2019-07-22,52.116844177246094
116,116,2019-07-23,53.41591262817383
117,117,2019-07-24,56.967891693115234
118,118,2019-07-25,55.19643783569336
119,119,2019-07-26,55.5143928527832
120,120,2019-07-29,54.83306503295898
121,121,2019-07-30,55.6234016418457
122,122,2019-07-31,54.87848663330078
123,123,2019-08-01,53.66119003295898
124,124,2019-08-02,52.53473281860352
125,125,2019-08-05,50.86321640014648
126,126,2019-08-06,50.82687759399414
127,127,2019-08-07,51.0267219543457
128,128,2019-08-08,52.35304260253906
129,129,2019-08-09,51.57179260253906
130,130,2019-08-12,50.944969177246094
131,131,2019-08-13,51.41735458374024
132,132,2019-08-14,48.99183654785156
133,133,2019-08-15,48.7465705871582
134,134,2019-08-16,50.00020599365234
135,135,2019-08-19,50.65427017211914
136,136,2019-08-20,50.14554977416992
137,137,2019-08-21,50.16371536254883
138,138,2019-08-22,49.83483505249024
139,139,2019-08-23,48.49190139770508
140,140,2019-08-26,48.57411193847656
141,141,2019-08-27,48.32745742797852
142,142,2019-08-28,48.55584335327149
143,143,2019-08-29,48.79337692260742
144,144,2019-08-30,48.84818649291992
145,145,2019-09-03,47.624019622802734
