,Unnamed: 0,Date,LYB
0,0,2019-02-05,65.05440521240234
1,1,2019-02-06,64.779541015625
2,2,2019-02-07,62.84061050415039
3,3,2019-02-08,62.83317184448242
4,4,2019-02-11,62.33545303344727
5,5,2019-02-12,63.486915588378906
6,6,2019-02-13,63.92521667480469
7,7,2019-02-14,64.12580108642578
8,8,2019-02-15,65.10640716552734
9,9,2019-02-19,64.98755645751953
10,10,2019-02-20,66.23558807373047
11,11,2019-02-21,65.7452621459961
12,12,2019-02-22,66.22074127197266
13,13,2019-02-25,65.8121337890625
14,14,2019-02-26,64.5269546508789
15,15,2019-02-27,64.40066528320312
16,16,2019-02-28,63.531471252441406
17,17,2019-03-01,63.92985916137695
18,18,2019-03-04,63.967472076416016
19,19,2019-03-05,63.23081970214844
20,20,2019-03-06,67.09440612792969
21,21,2019-03-07,65.47834014892578
22,22,2019-03-08,65.50086212158203
23,23,2019-03-11,66.67347717285156
24,24,2019-03-12,67.10943603515625
25,25,2019-03-13,66.80877685546875
26,26,2019-03-14,65.72638702392578
27,27,2019-03-15,65.39564514160156
28,28,2019-03-18,65.59857940673828
29,29,2019-03-19,65.36559295654297
30,30,2019-03-20,64.89202880859375
31,31,2019-03-21,66.38032531738281
32,32,2019-03-22,63.94493103027344
33,33,2019-03-25,62.74223709106445
34,34,2019-03-26,63.3736457824707
35,35,2019-03-27,62.757266998291016
36,36,2019-03-28,63.0353889465332
37,37,2019-03-29,63.20074462890625
38,38,2019-04-01,65.52340698242188
39,39,2019-04-02,67.16959381103516
40,40,2019-04-03,68.08663177490234
41,41,2019-04-04,69.30433654785156
42,42,2019-04-05,68.44742584228516
43,43,2019-04-08,68.65038299560547
44,44,2019-04-09,67.83856964111328
45,45,2019-04-10,67.31993865966797
46,46,2019-04-11,68.03402709960938
47,47,2019-04-12,69.37200927734375
48,48,2019-04-15,69.31937408447266
49,49,2019-04-16,69.28180694580078
50,50,2019-04-17,68.9736099243164
51,51,2019-04-18,68.99614715576172
52,52,2019-04-22,69.14649200439453
53,53,2019-04-23,69.16152954101562
54,54,2019-04-24,68.0941390991211
55,55,2019-04-25,66.64342498779297
56,56,2019-04-26,66.15482330322266
57,57,2019-04-29,66.96663665771484
58,58,2019-04-30,66.32022094726562
59,59,2019-05-01,64.99723815917969
60,60,2019-05-02,64.61389923095703
61,61,2019-05-03,65.41067504882812
62,62,2019-05-06,64.05013275146484
63,63,2019-05-07,62.57685852050781
64,64,2019-05-08,62.38142013549805
65,65,2019-05-09,61.62223052978516
66,66,2019-05-10,62.13337326049805
67,67,2019-05-13,60.05875778198242
68,68,2019-05-14,60.52479934692383
69,69,2019-05-15,60.690162658691406
70,70,2019-05-16,61.486942291259766
71,71,2019-05-17,60.24666976928711
72,72,2019-05-20,60.02869415283203
73,73,2019-05-21,61.32156753540039
74,74,2019-05-22,60.62251281738281
75,75,2019-05-23,59.11915969848633
76,76,2019-05-24,58.577938079833984
77,77,2019-05-28,57.87138366699219
78,78,2019-05-29,58.46519470214844
79,79,2019-05-30,58.18708419799805
80,80,2019-05-31,55.811798095703125
81,81,2019-06-03,58.39756774902344
82,82,2019-06-04,61.67485809326172
83,83,2019-06-05,60.87057113647461
84,84,2019-06-06,60.40453338623047
85,85,2019-06-07,60.335975646972656
86,86,2019-06-10,63.70998764038086
87,87,2019-06-11,64.36498260498047
88,88,2019-06-12,65.03520202636719
89,89,2019-06-13,65.79682922363281
90,90,2019-06-14,65.88060760498047
91,91,2019-06-17,65.2789306640625
92,92,2019-06-18,65.91870880126953
93,93,2019-06-19,65.65973663330078
94,94,2019-06-20,65.94914245605469
95,95,2019-06-21,65.85014343261719
96,96,2019-06-24,66.23097229003906
97,97,2019-06-25,65.93391418457031
98,98,2019-06-26,65.70542907714844
99,99,2019-06-27,65.98723602294922
100,100,2019-06-28,65.59881591796875
101,101,2019-07-01,66.47467041015625
102,102,2019-07-02,66.32235717773438
103,103,2019-07-03,66.52799987792969
104,104,2019-07-05,66.58129119873047
105,105,2019-07-08,66.54322814941406
106,106,2019-07-09,64.47161102294922
107,107,2019-07-10,64.03746795654297
108,108,2019-07-11,64.67723846435547
109,109,2019-07-12,65.53787231445312
110,110,2019-07-15,65.40837860107422
111,111,2019-07-16,66.8707275390625
112,112,2019-07-17,65.29415893554688
113,113,2019-07-18,65.28654479980469
114,114,2019-07-19,65.4388656616211
115,115,2019-07-22,64.14411163330078
116,116,2019-07-23,65.61404418945312
117,117,2019-07-24,65.77397155761719
118,118,2019-07-25,65.1265869140625
119,119,2019-07-26,64.99712371826172
120,120,2019-07-29,63.877540588378906
121,121,2019-07-30,64.2735824584961
122,122,2019-07-31,63.74045181274414
123,123,2019-08-01,62.06486511230469
124,124,2019-08-02,57.99017333984375
125,125,2019-08-05,58.11964416503906
126,126,2019-08-06,57.731231689453125
127,127,2019-08-07,57.83786392211914
128,128,2019-08-08,58.744178771972656
129,129,2019-08-09,57.44179534912109
130,130,2019-08-12,55.54536437988281
131,131,2019-08-13,57.58650588989258
132,132,2019-08-14,55.37779235839844
133,133,2019-08-15,55.29401016235352
134,134,2019-08-16,56.55069732666016
135,135,2019-08-19,57.030521392822266
136,136,2019-08-20,55.37016677856445
137,137,2019-08-21,55.69768142700195
138,138,2019-08-22,54.94366836547852
139,139,2019-08-23,52.575008392333984
140,140,2019-08-26,52.9710578918457
141,141,2019-08-27,53.12338638305664
142,142,2019-08-28,54.852272033691406
143,143,2019-08-29,57.37326049804688
144,144,2019-08-30,58.93458557128906
145,145,2019-09-03,57.76871871948242
