,Date,HD
103,2019-07-02 00:00:00-04:00,188.4856719970703
104,2019-07-03 00:00:00-04:00,190.24371337890625
105,2019-07-05 00:00:00-04:00,189.66964721679688
106,2019-07-08 00:00:00-04:00,190.97021484375
107,2019-07-09 00:00:00-04:00,190.15399169921875
108,2019-07-10 00:00:00-04:00,189.03282165527344
109,2019-07-11 00:00:00-04:00,191.98379516601562
110,2019-07-12 00:00:00-04:00,195.7419891357422
111,2019-07-15 00:00:00-04:00,196.16357421875
112,2019-07-16 00:00:00-04:00,194.87193298339844
113,2019-07-17 00:00:00-04:00,193.39198303222656
114,2019-07-18 00:00:00-04:00,192.342529296875
115,2019-07-19 00:00:00-04:00,191.08682250976562
116,2019-07-22 00:00:00-04:00,189.49923706054688
117,2019-07-23 00:00:00-04:00,191.12269592285156
118,2019-07-24 00:00:00-04:00,192.58473205566406
119,2019-07-25 00:00:00-04:00,193.33816528320312
120,2019-07-26 00:00:00-04:00,194.55804443359375
121,2019-07-29 00:00:00-04:00,195.5715789794922
122,2019-07-30 00:00:00-04:00,194.96163940429688
123,2019-07-31 00:00:00-04:00,191.66986083984375
124,2019-08-01 00:00:00-04:00,190.8984375
125,2019-08-02 00:00:00-04:00,190.2885284423828
126,2019-08-05 00:00:00-04:00,183.82150268554688
127,2019-08-06 00:00:00-04:00,187.28370666503906
128,2019-08-07 00:00:00-04:00,186.48545837402344
129,2019-08-08 00:00:00-04:00,189.76829528808594
130,2019-08-09 00:00:00-04:00,188.3780059814453
131,2019-08-12 00:00:00-04:00,185.67819213867188
132,2019-08-13 00:00:00-04:00,186.86219787597656
133,2019-08-14 00:00:00-04:00,180.81668090820312
134,2019-08-15 00:00:00-04:00,180.99607849121094
135,2019-08-16 00:00:00-04:00,182.6644287109375
136,2019-08-19 00:00:00-04:00,186.5213165283203
137,2019-08-20 00:00:00-04:00,194.71946716308594
138,2019-08-21 00:00:00-04:00,197.68838500976562
139,2019-08-22 00:00:00-04:00,198.24449157714844
140,2019-08-23 00:00:00-04:00,195.060302734375
141,2019-08-26 00:00:00-04:00,196.1187286376953
142,2019-08-27 00:00:00-04:00,195.7240753173828
143,2019-08-28 00:00:00-04:00,199.0786590576172
144,2019-08-29 00:00:00-04:00,203.89529418945312
145,2019-08-30 00:00:00-04:00,204.42449951171875
146,2019-09-03 00:00:00-04:00,200.980224609375
147,2019-09-04 00:00:00-04:00,202.27969360351562
148,2019-09-05 00:00:00-04:00,205.88943481445312
149,2019-09-06 00:00:00-04:00,208.57867431640625
150,2019-09-09 00:00:00-04:00,210.14891052246094
151,2019-09-10 00:00:00-04:00,210.2661895751953
152,2019-09-11 00:00:00-04:00,209.95936584472656
153,2019-09-12 00:00:00-04:00,210.9881591796875
154,2019-09-13 00:00:00-04:00,211.1505889892578
155,2019-09-16 00:00:00-04:00,208.45230102539062
156,2019-09-17 00:00:00-04:00,207.74842834472656
157,2019-09-18 00:00:00-04:00,208.3079376220703
158,2019-09-19 00:00:00-04:00,205.86236572265625
159,2019-09-20 00:00:00-04:00,202.7489471435547
160,2019-09-23 00:00:00-04:00,204.1748046875
161,2019-09-24 00:00:00-04:00,203.4167938232422
162,2019-09-25 00:00:00-04:00,205.8443145751953
163,2019-09-26 00:00:00-04:00,207.36941528320312
164,2019-09-27 00:00:00-04:00,207.43258666992188
165,2019-09-30 00:00:00-04:00,209.38185119628906
166,2019-10-01 00:00:00-04:00,208.53353881835938
167,2019-10-02 00:00:00-04:00,203.54312133789062
168,2019-10-03 00:00:00-04:00,204.68017578125
169,2019-10-04 00:00:00-04:00,205.69088745117188
170,2019-10-07 00:00:00-04:00,204.6170196533203
171,2019-10-08 00:00:00-04:00,204.55381774902344
172,2019-10-09 00:00:00-04:00,206.6023712158203
173,2019-10-10 00:00:00-04:00,209.0118408203125
174,2019-10-11 00:00:00-04:00,211.7642364501953
175,2019-10-14 00:00:00-04:00,211.33108520507812
176,2019-10-15 00:00:00-04:00,212.6305694580078
177,2019-10-16 00:00:00-04:00,212.88327026367188
178,2019-10-17 00:00:00-04:00,213.66835021972656
179,2019-10-18 00:00:00-04:00,214.7152099609375
180,2019-10-21 00:00:00-04:00,213.60520935058594
181,2019-10-22 00:00:00-04:00,214.05641174316406
182,2019-10-23 00:00:00-04:00,211.7732391357422
183,2019-10-24 00:00:00-04:00,211.06936645507812
184,2019-10-25 00:00:00-04:00,211.5115966796875
185,2019-10-28 00:00:00-04:00,213.69546508789062
186,2019-10-29 00:00:00-04:00,211.29498291015625
187,2019-10-30 00:00:00-04:00,213.19009399414062
188,2019-10-31 00:00:00-04:00,211.6920623779297
189,2019-11-01 00:00:00-04:00,214.18275451660156
190,2019-11-04 00:00:00-05:00,211.9989013671875
191,2019-11-05 00:00:00-05:00,209.54428100585938
192,2019-11-06 00:00:00-05:00,211.1776885986328
193,2019-11-07 00:00:00-05:00,210.2120819091797
194,2019-11-08 00:00:00-05:00,210.121826171875
195,2019-11-11 00:00:00-05:00,209.1833038330078
196,2019-11-12 00:00:00-05:00,210.37449645996094
197,2019-11-13 00:00:00-05:00,211.890625
198,2019-11-14 00:00:00-05:00,213.4698486328125
199,2019-11-15 00:00:00-05:00,214.1376190185547
200,2019-11-18 00:00:00-05:00,215.54541015625
201,2019-11-19 00:00:00-05:00,203.82284545898438
202,2019-11-20 00:00:00-05:00,199.34681701660156
203,2019-11-21 00:00:00-05:00,197.21707153320312
204,2019-11-22 00:00:00-05:00,196.7568359375
205,2019-11-25 00:00:00-05:00,197.0906982421875
206,2019-11-26 00:00:00-05:00,199.220458984375
207,2019-11-27 00:00:00-05:00,201.2418975830078
208,2019-11-29 00:00:00-05:00,198.9948272705078
209,2019-12-02 00:00:00-05:00,196.38681030273438
210,2019-12-03 00:00:00-05:00,193.12005615234375
211,2019-12-04 00:00:00-05:00,194.4459991455078
212,2019-12-05 00:00:00-05:00,193.44699096679688
213,2019-12-06 00:00:00-05:00,194.6094970703125
214,2019-12-09 00:00:00-05:00,196.65296936035156
215,2019-12-10 00:00:00-05:00,196.08078002929688
216,2019-12-11 00:00:00-05:00,192.53880310058594
217,2019-12-12 00:00:00-05:00,192.57510375976562
218,2019-12-13 00:00:00-05:00,194.4279022216797
219,2019-12-16 00:00:00-05:00,195.74476623535156
220,2019-12-17 00:00:00-05:00,197.7337188720703
221,2019-12-18 00:00:00-05:00,197.98800659179688
222,2019-12-19 00:00:00-05:00,200.0042266845703
223,2019-12-20 00:00:00-05:00,200.88519287109375
224,2019-12-23 00:00:00-05:00,199.08689880371094
225,2019-12-24 00:00:00-05:00,200.41293334960938
226,2019-12-26 00:00:00-05:00,200.5491485595703
227,2019-12-27 00:00:00-05:00,199.7771759033203
228,2019-12-30 00:00:00-05:00,197.36135864257812
229,2019-12-31 00:00:00-05:00,198.33316040039062
230,2020-01-02 00:00:00-05:00,199.49563598632812
231,2020-01-03 00:00:00-05:00,198.8326416015625
232,2020-01-06 00:00:00-05:00,199.76809692382812
233,2020-01-07 00:00:00-05:00,198.4602813720703
234,2020-01-08 00:00:00-05:00,201.43008422851562
235,2020-01-09 00:00:00-05:00,204.51797485351562
236,2020-01-10 00:00:00-05:00,203.6370391845703
237,2020-01-13 00:00:00-05:00,202.83782958984375
238,2020-01-14 00:00:00-05:00,202.35646057128906
239,2020-01-15 00:00:00-05:00,203.97303771972656
240,2020-01-16 00:00:00-05:00,207.81475830078125
241,2020-01-17 00:00:00-05:00,210.62109375
242,2020-01-21 00:00:00-05:00,211.56561279296875
243,2020-01-22 00:00:00-05:00,211.52023315429688
244,2020-01-23 00:00:00-05:00,212.20135498046875
245,2020-01-24 00:00:00-05:00,210.70285034179688
246,2020-01-27 00:00:00-05:00,209.96717834472656
247,2020-01-28 00:00:00-05:00,212.39208984375
248,2020-01-29 00:00:00-05:00,212.53741455078125
249,2020-01-30 00:00:00-05:00,211.42031860351562
250,2020-01-31 00:00:00-05:00,207.16085815429688
251,2020-02-03 00:00:00-05:00,210.28504943847656
252,2020-02-04 00:00:00-05:00,213.42742919921875
253,2020-02-05 00:00:00-05:00,216.25192260742188
254,2020-02-06 00:00:00-05:00,216.91490173339844
255,2020-02-07 00:00:00-05:00,215.5163116455078
256,2020-02-10 00:00:00-05:00,218.52244567871094
257,2020-02-11 00:00:00-05:00,219.45791625976562
258,2020-02-12 00:00:00-05:00,219.4124755859375
259,2020-02-13 00:00:00-05:00,220.11178588867188
260,2020-02-14 00:00:00-05:00,222.53668212890625
261,2020-02-18 00:00:00-05:00,221.54672241210938
262,2020-02-19 00:00:00-05:00,221.2742919921875
263,2020-02-20 00:00:00-05:00,224.34400939941406
264,2020-02-21 00:00:00-05:00,222.81822204589844
265,2020-02-24 00:00:00-05:00,217.69595336914062
266,2020-02-25 00:00:00-05:00,215.58900451660156
267,2020-02-26 00:00:00-05:00,213.68173217773438
268,2020-02-27 00:00:00-05:00,204.1002197265625
269,2020-02-28 00:00:00-05:00,197.84268188476562
270,2020-03-02 00:00:00-05:00,208.83193969726562
