,Unnamed: 0.1,Unnamed: 0,Date,J,J_6m,J_12m
0,0,0,2019-02-05,64.13358306884766,,
1,1,1,2019-02-06,65.37339782714844,,
2,2,2,2019-02-07,62.69194793701172,,
3,3,3,2019-02-08,63.172481536865234,,
4,4,4,2019-02-11,63.172481536865234,,
5,5,5,2019-02-12,64.99856567382812,,
6,6,6,2019-02-13,65.7674560546875,64.13358306884766,
7,7,7,2019-02-14,65.41095733642578,65.37339782714844,
8,8,8,2019-02-15,66.21063995361328,62.69194793701172,
9,9,9,2019-02-19,68.64824676513672,63.172481536865234,
10,10,10,2019-02-20,71.1051254272461,63.172481536865234,
11,11,11,2019-02-21,71.06661224365234,64.99856567382812,
12,12,12,2019-02-22,71.73141479492188,65.7674560546875,64.13358306884766
13,13,13,2019-02-25,72.0975112915039,65.41095733642578,65.37339782714844
14,14,14,2019-02-26,72.05899047851562,66.21063995361328,62.69194793701172
15,15,15,2019-02-27,72.05899047851562,68.64824676513672,63.172481536865234
16,16,16,2019-02-28,71.08586120605469,71.1051254272461,63.172481536865234
17,17,17,2019-03-01,71.3074722290039,71.06661224365234,64.99856567382812
18,18,18,2019-03-04,70.95096588134766,71.73141479492188,65.7674560546875
19,19,19,2019-03-05,70.3343505859375,72.0975112915039,65.41095733642578
20,20,20,2019-03-06,69.61173248291016,72.05899047851562,66.21063995361328
21,21,21,2019-03-07,69.4768295288086,72.05899047851562,68.64824676513672
22,22,22,2019-03-08,69.27450561523438,71.08586120605469,71.1051254272461
23,23,23,2019-03-11,70.37288665771484,71.3074722290039,71.06661224365234
24,24,24,2019-03-12,70.39215850830078,70.95096588134766,71.73141479492188
25,25,25,2019-03-13,70.59449005126953,70.3343505859375,72.0975112915039
26,26,26,2019-03-14,70.41143798828125,69.61173248291016,72.05899047851562
27,27,27,2019-03-15,71.1147689819336,69.4768295288086,72.05899047851562
28,28,28,2019-03-18,71.62541198730469,69.27450561523438,71.08586120605469
29,29,29,2019-03-19,71.05694580078125,70.37288665771484,71.3074722290039
30,30,30,2019-03-20,71.0280532836914,70.39215850830078,70.95096588134766
31,31,31,2019-03-21,71.94335174560547,70.59449005126953,70.3343505859375
32,32,32,2019-03-22,70.40179443359375,70.41143798828125,69.61173248291016
33,33,33,2019-03-25,70.50777435302734,71.1147689819336,69.4768295288086
34,34,34,2019-03-26,71.04733276367188,71.62541198730469,69.27450561523438
35,35,35,2019-03-27,70.74864196777344,71.05694580078125,70.37288665771484
36,36,36,2019-03-28,72.20352935791016,71.0280532836914,70.39215850830078
37,37,37,2019-03-29,72.44438934326172,71.94335174560547,70.59449005126953
38,38,38,2019-04-01,74.28462982177734,70.40179443359375,70.41143798828125
