,Date,RF
103,2019-07-02 00:00:00-04:00,12.427597999572754
104,2019-07-03 00:00:00-04:00,12.603226661682129
105,2019-07-05 00:00:00-04:00,12.72031021118164
106,2019-07-08 00:00:00-04:00,12.65340518951416
107,2019-07-09 00:00:00-04:00,12.803940773010254
108,2019-07-10 00:00:00-04:00,12.59486198425293
109,2019-07-11 00:00:00-04:00,12.73703670501709
110,2019-07-12 00:00:00-04:00,12.72867488861084
111,2019-07-15 00:00:00-04:00,12.527959823608398
112,2019-07-16 00:00:00-04:00,12.4945068359375
113,2019-07-17 00:00:00-04:00,12.302154541015625
114,2019-07-18 00:00:00-04:00,12.369058609008789
115,2019-07-19 00:00:00-04:00,12.65340518951416
116,2019-07-22 00:00:00-04:00,12.645044326782227
117,2019-07-23 00:00:00-04:00,13.021380424499512
118,2019-07-24 00:00:00-04:00,13.339180946350098
119,2019-07-25 00:00:00-04:00,13.146829605102539
120,2019-07-26 00:00:00-04:00,13.414450645446777
121,2019-07-29 00:00:00-04:00,13.222097396850586
122,2019-07-30 00:00:00-04:00,13.422813415527344
123,2019-07-31 00:00:00-04:00,13.322457313537598
124,2019-08-01 00:00:00-04:00,12.73703670501709
125,2019-08-02 00:00:00-04:00,12.820667266845703
126,2019-08-05 00:00:00-04:00,12.176709175109863
127,2019-08-06 00:00:00-04:00,12.33560562133789
128,2019-08-07 00:00:00-04:00,12.109801292419434
129,2019-08-08 00:00:00-04:00,12.310515403747559
130,2019-08-09 00:00:00-04:00,12.268702507019043
131,2019-08-12 00:00:00-04:00,11.959266662597656
132,2019-08-13 00:00:00-04:00,11.93417739868164
133,2019-08-14 00:00:00-04:00,11.424027442932129
134,2019-08-15 00:00:00-04:00,11.348758697509766
135,2019-08-16 00:00:00-04:00,11.783641815185547
136,2019-08-19 00:00:00-04:00,11.925813674926758
137,2019-08-20 00:00:00-04:00,11.708373069763184
138,2019-08-21 00:00:00-04:00,11.817091941833496
139,2019-08-22 00:00:00-04:00,11.917450904846191
140,2019-08-23 00:00:00-04:00,11.532746315002441
141,2019-08-26 00:00:00-04:00,11.733460426330566
142,2019-08-27 00:00:00-04:00,11.582926750183105
143,2019-08-28 00:00:00-04:00,11.792003631591797
144,2019-08-29 00:00:00-04:00,12.1014404296875
145,2019-08-30 00:00:00-04:00,12.226884841918945
146,2019-09-03 00:00:00-04:00,11.925813674926758
147,2019-09-04 00:00:00-04:00,12.076349258422852
148,2019-09-05 00:00:00-04:00,12.520179748535156
149,2019-09-06 00:00:00-04:00,12.553995132446289
150,2019-09-09 00:00:00-04:00,13.061224937438965
151,2019-09-10 00:00:00-04:00,13.534642219543457
152,2019-09-11 00:00:00-04:00,13.729082107543945
153,2019-09-12 00:00:00-04:00,13.737534523010254
154,2019-09-13 00:00:00-04:00,13.822074890136719
155,2019-09-16 00:00:00-04:00,13.898157119750977
156,2019-09-17 00:00:00-04:00,13.745988845825195
157,2019-09-18 00:00:00-04:00,13.822074890136719
158,2019-09-19 00:00:00-04:00,13.627635955810547
159,2019-09-20 00:00:00-04:00,13.492372512817383
160,2019-09-23 00:00:00-04:00,13.56845760345459
161,2019-09-24 00:00:00-04:00,13.399378776550293
162,2019-09-25 00:00:00-04:00,13.560004234313965
163,2019-09-26 00:00:00-04:00,13.433196067810059
164,2019-09-27 00:00:00-04:00,13.492372512817383
165,2019-09-30 00:00:00-04:00,13.374018669128418
166,2019-10-01 00:00:00-04:00,13.044317245483398
167,2019-10-02 00:00:00-04:00,12.816062927246094
168,2019-10-03 00:00:00-04:00,12.87524127960205
169,2019-10-04 00:00:00-04:00,13.010501861572266
170,2019-10-07 00:00:00-04:00,13.002047538757324
171,2019-10-08 00:00:00-04:00,12.587809562683105
172,2019-10-09 00:00:00-04:00,12.604715347290039
173,2019-10-10 00:00:00-04:00,12.773794174194336
174,2019-10-11 00:00:00-04:00,13.044317245483398
175,2019-10-14 00:00:00-04:00,13.010501861572266
176,2019-10-15 00:00:00-04:00,13.196488380432129
177,2019-10-16 00:00:00-04:00,13.128857612609863
178,2019-10-17 00:00:00-04:00,13.137309074401855
179,2019-10-18 00:00:00-04:00,13.331748962402344
180,2019-10-21 00:00:00-04:00,13.58536434173584
181,2019-10-22 00:00:00-04:00,13.712173461914062
182,2019-10-23 00:00:00-04:00,13.762898445129395
183,2019-10-24 00:00:00-04:00,13.678357124328613
184,2019-10-25 00:00:00-04:00,13.864341735839844
185,2019-10-28 00:00:00-04:00,13.965789794921875
186,2019-10-29 00:00:00-04:00,13.923519134521484
187,2019-10-30 00:00:00-04:00,13.75444507598877
188,2019-10-31 00:00:00-04:00,13.61072826385498
189,2019-11-01 00:00:00-04:00,13.99114990234375
190,2019-11-04 00:00:00-05:00,14.36312198638916
191,2019-11-05 00:00:00-05:00,14.540655136108398
192,2019-11-06 00:00:00-05:00,14.422296524047852
193,2019-11-07 00:00:00-05:00,14.295490264892578
194,2019-11-08 00:00:00-05:00,14.270127296447754
195,2019-11-11 00:00:00-05:00,14.177135467529297
196,2019-11-12 00:00:00-05:00,14.109505653381348
197,2019-11-13 00:00:00-05:00,13.872794151306152
198,2019-11-14 00:00:00-05:00,13.898157119750977
199,2019-11-15 00:00:00-05:00,13.965789794921875
200,2019-11-18 00:00:00-05:00,14.016511917114258
201,2019-11-19 00:00:00-05:00,13.965789794921875
202,2019-11-20 00:00:00-05:00,13.872794151306152
203,2019-11-21 00:00:00-05:00,13.940428733825684
204,2019-11-22 00:00:00-05:00,14.092598915100098
205,2019-11-25 00:00:00-05:00,14.236312866210938
