,Unnamed: 0,Date,DVA
0,0,2019-02-05,56.84999847412109
1,1,2019-02-06,56.150001525878906
2,2,2019-02-07,57.02999877929688
3,3,2019-02-08,56.130001068115234
4,4,2019-02-11,55.9900016784668
5,5,2019-02-12,57.36000061035156
6,6,2019-02-13,57.91999816894531
7,7,2019-02-14,58.09000015258789
8,8,2019-02-15,59.09999847412109
9,9,2019-02-19,59.13999938964844
10,10,2019-02-20,59.060001373291016
11,11,2019-02-21,59.209999084472656
12,12,2019-02-22,58.70000076293945
13,13,2019-02-25,58.2400016784668
14,14,2019-02-26,57.9900016784668
15,15,2019-02-27,56.91999816894531
16,16,2019-02-28,56.900001525878906
17,17,2019-03-01,57.04999923706055
18,18,2019-03-04,55.43999862670898
19,19,2019-03-05,53.09999847412109
20,20,2019-03-06,51.040000915527344
21,21,2019-03-07,50.540000915527344
22,22,2019-03-08,49.95000076293945
23,23,2019-03-11,50.470001220703125
24,24,2019-03-12,51.33000183105469
25,25,2019-03-13,53.59999847412109
26,26,2019-03-14,53.58000183105469
27,27,2019-03-15,53.52999877929688
28,28,2019-03-18,52.06999969482422
29,29,2019-03-19,53.90999984741211
30,30,2019-03-20,53.709999084472656
31,31,2019-03-21,55.0
32,32,2019-03-22,54.04999923706055
33,33,2019-03-25,53.2400016784668
34,34,2019-03-26,53.09000015258789
35,35,2019-03-27,53.47999954223633
36,36,2019-03-28,53.52000045776367
37,37,2019-03-29,54.290000915527344
38,38,2019-04-01,54.91999816894531
39,39,2019-04-02,54.59999847412109
40,40,2019-04-03,55.27000045776367
41,41,2019-04-04,55.11000061035156
42,42,2019-04-05,55.95000076293945
43,43,2019-04-08,55.2400016784668
44,44,2019-04-09,55.11000061035156
45,45,2019-04-10,55.900001525878906
46,46,2019-04-11,54.630001068115234
47,47,2019-04-12,54.540000915527344
48,48,2019-04-15,55.16999816894531
49,49,2019-04-16,55.31999969482422
50,50,2019-04-17,51.04999923706055
51,51,2019-04-18,52.22999954223633
52,52,2019-04-22,51.09999847412109
53,53,2019-04-23,53.02999877929688
54,54,2019-04-24,54.02999877929688
55,55,2019-04-25,53.88999938964844
56,56,2019-04-26,55.61000061035156
57,57,2019-04-29,56.150001525878906
58,58,2019-04-30,55.2400016784668
59,59,2019-05-01,55.59999847412109
60,60,2019-05-02,56.5099983215332
61,61,2019-05-03,56.9900016784668
62,62,2019-05-06,57.790000915527344
63,63,2019-05-07,56.59999847412109
64,64,2019-05-08,51.7599983215332
65,65,2019-05-09,52.380001068115234
66,66,2019-05-10,52.11000061035156
67,67,2019-05-13,51.18000030517578
68,68,2019-05-14,51.2400016784668
69,69,2019-05-15,50.220001220703125
70,70,2019-05-16,50.0
71,71,2019-05-17,49.22999954223633
72,72,2019-05-20,48.869998931884766
73,73,2019-05-21,49.59999847412109
74,74,2019-05-22,49.25
75,75,2019-05-23,48.150001525878906
76,76,2019-05-24,47.560001373291016
77,77,2019-05-28,46.91999816894531
78,78,2019-05-29,44.38999938964844
79,79,2019-05-30,44.63999938964844
80,80,2019-05-31,43.41999816894531
81,81,2019-06-03,45.29999923706055
82,82,2019-06-04,47.0
83,83,2019-06-05,46.619998931884766
84,84,2019-06-06,46.560001373291016
85,85,2019-06-07,47.68999862670898
86,86,2019-06-10,47.9900016784668
87,87,2019-06-11,48.22999954223633
88,88,2019-06-12,48.08000183105469
89,89,2019-06-13,49.02999877929688
90,90,2019-06-14,48.880001068115234
91,91,2019-06-17,49.25
92,92,2019-06-18,49.7400016784668
93,93,2019-06-19,51.27000045776367
94,94,2019-06-20,52.40999984741211
95,95,2019-06-21,53.09000015258789
96,96,2019-06-24,53.40999984741211
97,97,2019-06-25,54.27000045776367
98,98,2019-06-26,54.84000015258789
99,99,2019-06-27,55.40999984741211
100,100,2019-06-28,56.2599983215332
101,101,2019-07-01,56.09000015258789
102,102,2019-07-02,56.7400016784668
103,103,2019-07-03,57.400001525878906
104,104,2019-07-05,58.27000045776367
105,105,2019-07-08,55.5099983215332
106,106,2019-07-09,52.54999923706055
107,107,2019-07-10,54.650001525878906
108,108,2019-07-11,56.40999984741211
109,109,2019-07-12,56.900001525878906
110,110,2019-07-15,56.95000076293945
111,111,2019-07-16,57.70000076293945
112,112,2019-07-17,56.650001525878906
113,113,2019-07-18,56.7400016784668
114,114,2019-07-19,56.04999923706055
115,115,2019-07-22,58.79999923706055
116,116,2019-07-23,59.29999923706055
117,117,2019-07-24,59.560001373291016
118,118,2019-07-25,58.93000030517578
119,119,2019-07-26,59.400001525878906
120,120,2019-07-29,59.65999984741211
121,121,2019-07-30,60.09999847412109
122,122,2019-07-31,59.84999847412109
123,123,2019-08-01,59.34000015258789
124,124,2019-08-02,60.09999847412109
125,125,2019-08-05,58.630001068115234
126,126,2019-08-06,58.959999084472656
127,127,2019-08-07,59.75
128,128,2019-08-08,59.790000915527344
129,129,2019-08-09,59.68999862670898
130,130,2019-08-12,59.02000045776367
131,131,2019-08-13,59.38999938964844
132,132,2019-08-14,58.16999816894531
133,133,2019-08-15,58.36000061035156
134,134,2019-08-16,57.81999969482422
135,135,2019-08-19,56.970001220703125
136,136,2019-08-20,55.90999984741211
137,137,2019-08-21,56.58000183105469
138,138,2019-08-22,55.959999084472656
139,139,2019-08-23,54.70000076293945
140,140,2019-08-26,55.04999923706055
141,141,2019-08-27,53.77999877929688
142,142,2019-08-28,54.470001220703125
143,143,2019-08-29,55.5099983215332
144,144,2019-08-30,56.369998931884766
145,145,2019-09-03,58.540000915527344
146,146,2019-09-04,59.150001525878906
