,Unnamed: 0,Date,GD
0,0,2019-02-05,152.2763671875
1,1,2019-02-06,152.7537841796875
2,2,2019-02-07,153.48768615722656
3,3,2019-02-08,152.1879425048828
4,4,2019-02-11,151.1357421875
5,5,2019-02-12,152.7537841796875
6,6,2019-02-13,153.3904571533203
7,7,2019-02-14,152.17027282714844
8,8,2019-02-15,154.94662475585938
9,9,2019-02-19,154.53988647460938
10,10,2019-02-20,154.2480926513672
11,11,2019-02-21,151.7546844482422
12,12,2019-02-22,152.55926513671875
13,13,2019-02-25,153.08984375
14,14,2019-02-26,150.31346130371094
15,15,2019-02-27,149.7298583984375
16,16,2019-02-28,150.5079345703125
17,17,2019-03-01,149.67681884765625
18,18,2019-03-04,147.43980407714844
19,19,2019-03-05,148.5715789794922
20,20,2019-03-06,147.19223022460938
21,21,2019-03-07,147.07728576660156
22,22,2019-03-08,146.90042114257812
23,23,2019-03-11,149.88015747070312
24,24,2019-03-12,149.2259063720703
25,25,2019-03-13,151.83425903320312
26,26,2019-03-14,149.950927734375
27,27,2019-03-15,150.12774658203125
28,28,2019-03-18,151.79006958007812
29,29,2019-03-19,150.9500732421875
30,30,2019-03-20,148.97830200195312
31,31,2019-03-21,150.16314697265625
32,32,2019-03-22,146.64402770996094
33,33,2019-03-25,147.32484436035156
34,34,2019-03-26,147.5724334716797
35,35,2019-03-27,147.2718048095703
36,36,2019-03-28,148.3328399658203
37,37,2019-03-29,149.67681884765625
38,38,2019-04-01,152.3559112548828
39,39,2019-04-02,150.26040649414062
40,40,2019-04-03,148.32398986816406
41,41,2019-04-04,149.57955932617188
42,42,2019-04-05,151.30372619628906
43,43,2019-04-08,152.34706115722656
44,44,2019-04-09,149.57955932617188
45,45,2019-04-10,149.75643920898438
46,46,2019-04-11,152.4962158203125
47,47,2019-04-12,155.6096649169922
48,48,2019-04-15,153.0032501220703
49,49,2019-04-16,154.55108642578125
50,50,2019-04-17,155.25384521484375
51,51,2019-04-18,157.31759643554688
52,52,2019-04-22,157.47772216796875
53,53,2019-04-23,162.22796630859375
54,54,2019-04-24,160.76905822753906
55,55,2019-04-25,157.3442840576172
56,56,2019-04-26,158.40283203125
57,57,2019-04-29,159.41696166992188
58,58,2019-04-30,158.9810333251953
59,59,2019-05-01,156.9084014892578
60,60,2019-05-02,155.28945922851562
61,61,2019-05-03,157.17527770996094
62,62,2019-05-06,155.9921417236328
63,63,2019-05-07,151.65113830566406
64,64,2019-05-08,149.7030029296875
65,65,2019-05-09,153.04774475097656
66,66,2019-05-10,153.96400451660156
67,67,2019-05-13,149.4361572265625
68,68,2019-05-14,149.8809356689453
69,69,2019-05-15,149.19598388671875
70,70,2019-05-16,151.09072875976562
71,71,2019-05-17,147.99508666992188
72,72,2019-05-20,150.59259033203125
73,73,2019-05-21,152.51400756835938
74,74,2019-05-22,150.5836639404297
75,75,2019-05-23,145.51321411132812
76,76,2019-05-24,145.9134979248047
77,77,2019-05-28,145.58436584472656
78,78,2019-05-29,144.38348388671875
79,79,2019-05-30,144.31231689453125
80,80,2019-05-31,143.05804443359375
81,81,2019-06-03,145.13067626953125
82,82,2019-06-04,149.2493438720703
83,83,2019-06-05,152.94993591308594
84,84,2019-06-06,152.98545837402344
85,85,2019-06-07,154.7556610107422
86,86,2019-06-10,154.23976135253906
87,87,2019-06-11,150.9839630126953
88,88,2019-06-12,151.25973510742188
89,89,2019-06-13,152.94993591308594
90,90,2019-06-14,152.33607482910156
91,91,2019-06-17,152.80758666992188
92,92,2019-06-18,154.41766357421875
93,93,2019-06-19,154.44435119628906
94,94,2019-06-20,158.3050079345703
95,95,2019-06-21,157.83351135253906
96,96,2019-06-24,158.1804656982422
97,97,2019-06-25,158.0203399658203
98,98,2019-06-26,159.1411895751953
99,99,2019-06-27,158.09152221679688
100,100,2019-06-28,161.73870849609375
101,101,2019-07-01,162.37916564941406
102,102,2019-07-02,163.29541015625
103,103,2019-07-03,163.38487243652344
104,104,2019-07-05,163.0539093017578
105,105,2019-07-08,162.3292999267578
106,106,2019-07-09,161.7568359375
107,107,2019-07-10,163.2864532470703
108,108,2019-07-11,164.2346649169922
109,109,2019-07-12,166.23837280273438
110,110,2019-07-15,166.7393035888672
111,111,2019-07-16,167.17762756347656
112,112,2019-07-17,164.18992614746094
113,113,2019-07-18,163.85891723632812
114,114,2019-07-19,164.45831298828125
115,115,2019-07-22,165.14707946777344
116,116,2019-07-23,166.3546905517578
117,117,2019-07-24,167.8485107421875
118,118,2019-07-25,167.82171630859375
119,119,2019-07-26,169.7180938720703
120,120,2019-07-29,169.80755615234375
121,121,2019-07-30,169.17242431640625
122,122,2019-07-31,166.32785034179688
123,123,2019-08-01,164.08258056640625
124,124,2019-08-02,162.77658081054688
125,125,2019-08-05,158.1250457763672
126,126,2019-08-06,161.61366271972656
127,127,2019-08-07,161.7747344970703
128,128,2019-08-08,164.7445526123047
129,129,2019-08-09,164.68191528320312
130,130,2019-08-12,162.22198486328125
131,131,2019-08-13,163.79635620117188
132,132,2019-08-14,161.7568359375
133,133,2019-08-15,163.00021362304688
134,134,2019-08-16,164.90554809570312
135,135,2019-08-19,167.80381774902344
136,136,2019-08-20,167.4281005859375
137,137,2019-08-21,168.59994506835938
138,138,2019-08-22,167.76800537109375
139,139,2019-08-23,164.18992614746094
140,140,2019-08-26,165.17388916015625
141,141,2019-08-27,164.01995849609375
142,142,2019-08-28,165.88059997558594
143,143,2019-08-29,169.48550415039062
144,144,2019-08-30,171.09567260742188
145,145,2019-09-03,169.31556701660156
146,146,2019-09-04,170.59471130371094
