,Unnamed: 0,Date,PXD
0,0,2019-02-05,112.81233215332033
1,1,2019-02-06,111.3981475830078
2,2,2019-02-07,107.46988677978516
3,3,2019-02-08,106.62139129638672
4,4,2019-02-11,108.14553833007812
5,5,2019-02-12,111.08390045166016
6,6,2019-02-13,114.66648864746094
7,7,2019-02-14,112.4116668701172
8,8,2019-02-15,114.19512176513672
9,9,2019-02-19,114.36009979248048
10,10,2019-02-20,110.99749755859376
11,11,2019-02-21,106.96704864501952
12,12,2019-02-22,111.6653060913086
13,13,2019-02-25,112.2938003540039
14,14,2019-02-26,112.16027069091795
15,15,2019-02-27,111.2253189086914
16,16,2019-02-28,110.73822021484376
17,17,2019-03-01,113.49585723876952
18,18,2019-03-04,113.17374420166016
19,19,2019-03-05,111.8459930419922
20,20,2019-03-06,109.00978088378906
21,21,2019-03-07,107.10065460205078
22,22,2019-03-08,102.41812133789062
23,23,2019-03-11,104.05228424072266
24,24,2019-03-12,106.08712768554688
25,25,2019-03-13,106.59780883789062
26,26,2019-03-14,107.13990020751952
27,27,2019-03-15,106.5899429321289
28,28,2019-03-18,108.87622833251952
29,29,2019-03-19,108.58551788330078
30,30,2019-03-20,113.48015594482422
31,31,2019-03-21,114.3836669921875
32,32,2019-03-22,110.43181610107422
33,33,2019-03-25,109.9368667602539
34,34,2019-03-26,112.40381622314452
35,35,2019-03-27,115.60926818847656
36,36,2019-03-28,120.3965072631836
37,37,2019-03-29,119.90045928955078
38,38,2019-04-01,118.88475799560548
39,39,2019-04-02,116.6722412109375
40,40,2019-04-03,115.00300598144533
41,41,2019-04-04,116.15258026123048
42,42,2019-04-05,118.64065551757812
43,43,2019-04-08,119.46739959716795
44,44,2019-04-09,117.27064514160156
45,45,2019-04-10,118.49108123779295
46,46,2019-04-11,118.82962799072266
47,47,2019-04-12,132.52984619140625
48,48,2019-04-15,132.0731658935547
49,49,2019-04-16,134.82894897460938
50,50,2019-04-17,136.21469116210938
51,51,2019-04-18,137.83673095703125
52,52,2019-04-22,138.49021911621094
53,53,2019-04-23,138.3563690185547
54,54,2019-04-24,135.7187042236328
55,55,2019-04-25,132.2857208251953
56,56,2019-04-26,129.86856079101562
57,57,2019-04-29,130.5063018798828
