,Unnamed: 0.1,Unnamed: 0,Date,ADBE,ADBE_6m,ADBE_12m
0,0,0,2019-02-05,254.82000732421875,,
1,1,1,2019-02-06,254.3500061035156,,
2,2,2,2019-02-07,253.7400054931641,,
3,3,3,2019-02-08,257.0,,
4,4,4,2019-02-11,258.3900146484375,,
5,5,5,2019-02-12,261.3699951171875,,
6,6,6,2019-02-13,260.2300109863281,254.82000732421875,
7,7,7,2019-02-14,260.1400146484375,254.3500061035156,
8,8,8,2019-02-15,259.45001220703125,253.7400054931641,
9,9,9,2019-02-19,257.8099975585937,257.0,
10,10,10,2019-02-20,258.1000061035156,258.3900146484375,
11,11,11,2019-02-21,257.760009765625,261.3699951171875,
12,12,12,2019-02-22,258.8999938964844,260.2300109863281,254.82000732421875
13,13,13,2019-02-25,258.6199951171875,260.1400146484375,254.3500061035156
14,14,14,2019-02-26,261.2200012207031,259.45001220703125,253.7400054931641
15,15,15,2019-02-27,262.8999938964844,257.8099975585937,257.0
16,16,16,2019-02-28,262.5,258.1000061035156,258.3900146484375
17,17,17,2019-03-01,264.010009765625,257.760009765625,261.3699951171875
18,18,18,2019-03-04,258.1600036621094,258.8999938964844,260.2300109863281
19,19,19,2019-03-05,257.3800048828125,258.6199951171875,260.1400146484375
20,20,20,2019-03-06,256.3999938964844,261.2200012207031,259.45001220703125
21,21,21,2019-03-07,255.4600067138672,262.8999938964844,257.8099975585937
22,22,22,2019-03-08,254.7400054931641,262.5,258.1000061035156
23,23,23,2019-03-11,260.9599914550781,264.010009765625,257.760009765625
24,24,24,2019-03-12,263.510009765625,258.1600036621094,258.8999938964844
25,25,25,2019-03-13,264.3800048828125,257.3800048828125,258.6199951171875
26,26,26,2019-03-14,267.69000244140625,256.3999938964844,261.2200012207031
27,27,27,2019-03-15,257.0899963378906,255.4600067138672,262.8999938964844
28,28,28,2019-03-18,257.760009765625,254.7400054931641,262.5
29,29,29,2019-03-19,260.4200134277344,260.9599914550781,264.010009765625
30,30,30,2019-03-20,259.739990234375,263.510009765625,258.1600036621094
31,31,31,2019-03-21,264.17999267578125,264.3800048828125,257.3800048828125
32,32,32,2019-03-22,259.69000244140625,267.69000244140625,256.3999938964844
33,33,33,2019-03-25,262.2699890136719,257.0899963378906,255.4600067138672
34,34,34,2019-03-26,265.5899963378906,257.760009765625,254.7400054931641
35,35,35,2019-03-27,262.3399963378906,260.4200134277344,260.9599914550781
36,36,36,2019-03-28,263.5299987792969,259.739990234375,263.510009765625
37,37,37,2019-03-29,266.489990234375,264.17999267578125,264.3800048828125
38,38,38,2019-04-01,272.1700134277344,259.69000244140625,267.69000244140625
39,39,39,2019-04-02,271.3500061035156,262.2699890136719,257.0899963378906
40,40,40,2019-04-03,271.5,265.5899963378906,257.760009765625
41,41,41,2019-04-04,267.8900146484375,262.3399963378906,260.4200134277344
42,42,42,2019-04-05,267.45001220703125,263.5299987792969,259.739990234375
43,43,43,2019-04-08,268.8099975585937,266.489990234375,264.17999267578125
44,44,44,2019-04-09,268.989990234375,272.1700134277344,259.69000244140625
45,45,45,2019-04-10,271.5799865722656,271.3500061035156,262.2699890136719
46,46,46,2019-04-11,271.8999938964844,271.5,265.5899963378906
47,47,47,2019-04-12,271.8599853515625,267.8900146484375,262.3399963378906
48,48,48,2019-04-15,272.2200012207031,267.45001220703125,263.5299987792969
49,49,49,2019-04-16,271.42999267578125,268.8099975585937,266.489990234375
50,50,50,2019-04-17,269.45001220703125,268.989990234375,272.1700134277344
51,51,51,2019-04-18,270.57000732421875,271.5799865722656,271.3500061035156
52,52,52,2019-04-22,272.2099914550781,271.8999938964844,271.5
53,53,53,2019-04-23,278.489990234375,271.8599853515625,267.8900146484375
54,54,54,2019-04-24,275.45001220703125,272.2200012207031,267.45001220703125
55,55,55,2019-04-25,277.6600036621094,271.42999267578125,268.8099975585937
56,56,56,2019-04-26,281.9599914550781,269.45001220703125,268.989990234375
57,57,57,2019-04-29,286.1400146484375,270.57000732421875,271.5799865722656
58,58,58,2019-04-30,289.25,272.2099914550781,271.8999938964844
59,59,59,2019-05-01,283.3500061035156,278.489990234375,271.8599853515625
60,60,60,2019-05-02,279.6400146484375,275.45001220703125,272.2200012207031
61,61,61,2019-05-03,285.5799865722656,277.6600036621094,271.42999267578125
62,62,62,2019-05-06,283.6600036621094,281.9599914550781,269.45001220703125
63,63,63,2019-05-07,277.07000732421875,286.1400146484375,270.57000732421875
64,64,64,2019-05-08,276.7699890136719,289.25,272.2099914550781
65,65,65,2019-05-09,275.7900085449219,283.3500061035156,278.489990234375
66,66,66,2019-05-10,278.4800109863281,279.6400146484375,275.45001220703125
67,67,67,2019-05-13,267.70001220703125,285.5799865722656,277.6600036621094
68,68,68,2019-05-14,271.8599853515625,283.6600036621094,281.9599914550781
69,69,69,2019-05-15,276.82000732421875,277.07000732421875,286.1400146484375
70,70,70,2019-05-16,283.54998779296875,276.7699890136719,289.25
71,71,71,2019-05-17,279.8500061035156,275.7900085449219,283.3500061035156
72,72,72,2019-05-20,275.45001220703125,278.4800109863281,279.6400146484375
73,73,73,2019-05-21,278.07000732421875,267.70001220703125,285.5799865722656
74,74,74,2019-05-22,281.82000732421875,271.8599853515625,283.6600036621094
75,75,75,2019-05-23,274.25,276.82000732421875,277.07000732421875
76,76,76,2019-05-24,274.7699890136719,283.54998779296875,276.7699890136719
77,77,77,2019-05-28,278.25,279.8500061035156,275.7900085449219
78,78,78,2019-05-29,273.3800048828125,275.45001220703125,278.4800109863281
79,79,79,2019-05-30,274.510009765625,278.07000732421875,267.70001220703125
80,80,80,2019-05-31,270.8999938964844,281.82000732421875,271.8599853515625
81,81,81,2019-06-03,259.0299987792969,274.25,276.82000732421875
82,82,82,2019-06-04,268.7099914550781,274.7699890136719,283.54998779296875
83,83,83,2019-06-05,272.8599853515625,278.25,279.8500061035156
84,84,84,2019-06-06,274.79998779296875,273.3800048828125,275.45001220703125
85,85,85,2019-06-07,278.1600036621094,274.510009765625,278.07000732421875
86,86,86,2019-06-10,280.3399963378906,270.8999938964844,281.82000732421875
87,87,87,2019-06-11,275.989990234375,259.0299987792969,274.25
88,88,88,2019-06-12,276.8399963378906,268.7099914550781,274.7699890136719
89,89,89,2019-06-13,276.29998779296875,272.8599853515625,278.25
90,90,90,2019-06-14,274.2799987792969,274.79998779296875,273.3800048828125
91,91,91,2019-06-17,275.6000061035156,278.1600036621094,274.510009765625
92,92,92,2019-06-18,276.7799987792969,280.3399963378906,270.8999938964844
93,93,93,2019-06-19,291.2099914550781,275.989990234375,259.0299987792969
94,94,94,2019-06-20,302.1099853515625,276.8399963378906,268.7099914550781
95,95,95,2019-06-21,299.3299865722656,276.29998779296875,272.8599853515625
96,96,96,2019-06-24,299.8699951171875,274.2799987792969,274.79998779296875
97,97,97,2019-06-25,287.9700012207031,275.6000061035156,278.1600036621094
98,98,98,2019-06-26,288.7200012207031,276.7799987792969,280.3399963378906
99,99,99,2019-06-27,293.2300109863281,291.2099914550781,275.989990234375
100,100,100,2019-06-28,294.6499938964844,302.1099853515625,276.8399963378906
101,101,101,2019-07-01,300.9700012207031,299.3299865722656,276.29998779296875
102,102,102,2019-07-02,301.3900146484375,299.8699951171875,274.2799987792969
103,103,103,2019-07-03,305.70001220703125,287.9700012207031,275.6000061035156
104,104,104,2019-07-05,303.9800109863281,288.7200012207031,276.7799987792969
105,105,105,2019-07-08,302.9200134277344,293.2300109863281,291.2099914550781
106,106,106,2019-07-09,304.20001220703125,294.6499938964844,302.1099853515625
107,107,107,2019-07-10,306.9800109863281,300.9700012207031,299.3299865722656
108,108,108,2019-07-11,307.6000061035156,301.3900146484375,299.8699951171875
109,109,109,2019-07-12,309.4200134277344,305.70001220703125,287.9700012207031
110,110,110,2019-07-15,308.760009765625,303.9800109863281,288.7200012207031
111,111,111,2019-07-16,305.70001220703125,302.9200134277344,293.2300109863281
112,112,112,2019-07-17,309.3900146484375,304.20001220703125,294.6499938964844
113,113,113,2019-07-18,310.0799865722656,306.9800109863281,300.9700012207031
114,114,114,2019-07-19,306.8699951171875,307.6000061035156,301.3900146484375
115,115,115,2019-07-22,308.54998779296875,309.4200134277344,305.70001220703125
116,116,116,2019-07-23,307.8800048828125,308.760009765625,303.9800109863281
117,117,117,2019-07-24,310.2699890136719,305.70001220703125,302.9200134277344
118,118,118,2019-07-25,308.7300109863281,309.3900146484375,304.20001220703125
119,119,119,2019-07-26,311.2699890136719,310.0799865722656,306.9800109863281
120,120,120,2019-07-29,307.2200012207031,306.8699951171875,307.6000061035156
121,121,121,2019-07-30,303.6400146484375,308.54998779296875,309.4200134277344
122,122,122,2019-07-31,298.8599853515625,307.8800048828125,308.760009765625
123,123,123,2019-08-01,298.44000244140625,310.2699890136719,305.70001220703125
124,124,124,2019-08-02,293.7099914550781,308.7300109863281,309.3900146484375
125,125,125,2019-08-05,280.3599853515625,311.2699890136719,310.0799865722656
126,126,126,2019-08-06,286.2099914550781,307.2200012207031,306.8699951171875
127,127,127,2019-08-07,289.0199890136719,303.6400146484375,308.54998779296875
128,128,128,2019-08-08,297.7799987792969,298.8599853515625,307.8800048828125
129,129,129,2019-08-09,294.8299865722656,298.44000244140625,310.2699890136719
130,130,130,2019-08-12,288.6499938964844,293.7099914550781,308.7300109863281
131,131,131,2019-08-13,293.1700134277344,280.3599853515625,311.2699890136719
132,132,132,2019-08-14,283.6600036621094,286.2099914550781,307.2200012207031
133,133,133,2019-08-15,282.7099914550781,289.0199890136719,303.6400146484375
134,134,134,2019-08-16,287.45001220703125,297.7799987792969,298.8599853515625
135,135,135,2019-08-19,287.9700012207031,294.8299865722656,298.44000244140625
136,136,136,2019-08-20,285.7099914550781,288.6499938964844,293.7099914550781
137,137,137,2019-08-21,291.5299987792969,293.1700134277344,280.3599853515625
138,138,138,2019-08-22,287.69000244140625,283.6600036621094,286.2099914550781
139,139,139,2019-08-23,282.44000244140625,282.7099914550781,289.0199890136719
140,140,140,2019-08-26,288.739990234375,287.45001220703125,297.7799987792969
141,141,141,2019-08-27,289.45001220703125,287.9700012207031,294.8299865722656
142,142,142,2019-08-28,282.1300048828125,285.7099914550781,288.6499938964844
143,143,143,2019-08-29,286.6300048828125,291.5299987792969,293.1700134277344
144,144,144,2019-08-30,284.510009765625,287.69000244140625,283.6600036621094
145,145,145,2019-09-03,282.45001220703125,282.44000244140625,282.7099914550781
