,Date,PH
103,2019-07-02 00:00:00-04:00,155.55670166015625
104,2019-07-03 00:00:00-04:00,156.5408172607422
105,2019-07-05 00:00:00-04:00,154.7025604248047
106,2019-07-08 00:00:00-04:00,153.95053100585938
107,2019-07-09 00:00:00-04:00,151.6666259765625
108,2019-07-10 00:00:00-04:00,150.18115234375
109,2019-07-11 00:00:00-04:00,151.72235107421875
110,2019-07-12 00:00:00-04:00,156.96791076660156
111,2019-07-15 00:00:00-04:00,155.7516326904297
112,2019-07-16 00:00:00-04:00,158.79689025878906
113,2019-07-17 00:00:00-04:00,155.3988494873047
114,2019-07-18 00:00:00-04:00,153.90411376953125
115,2019-07-19 00:00:00-04:00,157.46923828125
116,2019-07-22 00:00:00-04:00,158.1005401611328
117,2019-07-23 00:00:00-04:00,164.03314208984375
118,2019-07-24 00:00:00-04:00,165.49073791503906
119,2019-07-25 00:00:00-04:00,164.59947204589844
120,2019-07-26 00:00:00-04:00,162.37130737304688
121,2019-07-29 00:00:00-04:00,160.4215850830078
122,2019-07-30 00:00:00-04:00,164.1445770263672
123,2019-07-31 00:00:00-04:00,162.5476837158203
124,2019-08-01 00:00:00-04:00,160.48660278320312
125,2019-08-02 00:00:00-04:00,156.89361572265625
126,2019-08-05 00:00:00-04:00,151.7687225341797
127,2019-08-06 00:00:00-04:00,155.10171508789062
128,2019-08-07 00:00:00-04:00,152.86427307128906
129,2019-08-08 00:00:00-04:00,155.4545440673828
130,2019-08-09 00:00:00-04:00,152.73428344726562
131,2019-08-12 00:00:00-04:00,149.93972778320312
132,2019-08-13 00:00:00-04:00,153.78343200683594
133,2019-08-14 00:00:00-04:00,147.52586364746094
134,2019-08-15 00:00:00-04:00,146.33750915527344
135,2019-08-16 00:00:00-04:00,150.23684692382812
136,2019-08-19 00:00:00-04:00,153.50489807128906
137,2019-08-20 00:00:00-04:00,151.75946044921875
138,2019-08-21 00:00:00-04:00,152.33505249023438
139,2019-08-22 00:00:00-04:00,152.67857360839844
140,2019-08-23 00:00:00-04:00,146.71817016601562
141,2019-08-26 00:00:00-04:00,147.21018981933594
142,2019-08-27 00:00:00-04:00,147.35023498535156
143,2019-08-28 00:00:00-04:00,148.7039794921875
144,2019-08-29 00:00:00-04:00,153.2412567138672
145,2019-08-30 00:00:00-04:00,154.76304626464844
146,2019-09-03 00:00:00-04:00,150.28176879882812
147,2019-09-04 00:00:00-04:00,152.37301635742188
148,2019-09-05 00:00:00-04:00,160.24330139160156
149,2019-09-06 00:00:00-04:00,161.9704132080078
150,2019-09-09 00:00:00-04:00,165.67681884765625
151,2019-09-10 00:00:00-04:00,169.25250244140625
152,2019-09-11 00:00:00-04:00,172.21202087402344
153,2019-09-12 00:00:00-04:00,169.5419464111328
154,2019-09-13 00:00:00-04:00,170.1300811767578
155,2019-09-16 00:00:00-04:00,167.28262329101562
156,2019-09-17 00:00:00-04:00,167.2359161376953
157,2019-09-18 00:00:00-04:00,167.21726989746094
158,2019-09-19 00:00:00-04:00,166.05958557128906
159,2019-09-20 00:00:00-04:00,165.28465270996094
160,2019-09-23 00:00:00-04:00,169.03781127929688
161,2019-09-24 00:00:00-04:00,165.90087890625
162,2019-09-25 00:00:00-04:00,168.98175048828125
