,Unnamed: 0.1,Unnamed: 0,Date,HII,HII_6m,HII_12m
0,0,0,2019-02-05,190.12176513671875,,
1,1,1,2019-02-06,189.4575042724609,,
2,2,2,2019-02-07,188.7124938964844,,
3,3,3,2019-02-08,187.8328399658203,,
4,4,4,2019-02-11,188.99078369140625,,
5,5,5,2019-02-12,192.329833984375,,
6,6,6,2019-02-13,193.8737335205078,190.12176513671875,
7,7,7,2019-02-14,192.518295288086,189.4575042724609,
8,8,8,2019-02-15,197.203842163086,188.7124938964844,
9,9,9,2019-02-19,195.67791748046875,187.8328399658203,
10,10,10,2019-02-20,198.2181701660156,188.99078369140625,
11,11,11,2019-02-21,195.577865600586,192.329833984375,
12,12,12,2019-02-22,195.6409149169922,193.8737335205078,190.12176513671875
13,13,13,2019-02-25,192.4780120849609,192.518295288086,189.4575042724609
14,14,14,2019-02-26,191.0633087158203,197.203842163086,188.7124938964844
15,15,15,2019-02-27,189.45030212402344,195.67791748046875,187.8328399658203
16,16,16,2019-02-28,188.702392578125,198.2181701660156,188.99078369140625
17,17,17,2019-03-01,189.2340240478516,195.577865600586,192.329833984375
18,18,18,2019-03-04,185.9629821777344,195.6409149169922,193.8737335205078
19,19,19,2019-03-05,186.03504943847656,192.4780120849609,192.518295288086
20,20,20,2019-03-06,184.3409881591797,191.0633087158203,197.203842163086
21,21,21,2019-03-07,181.5384826660156,189.45030212402344,195.67791748046875
22,22,22,2019-03-08,180.3310089111328,188.702392578125,198.2181701660156
23,23,23,2019-03-11,180.69146728515625,189.2340240478516,195.577865600586
24,24,24,2019-03-12,183.5479736328125,185.9629821777344,195.6409149169922
25,25,25,2019-03-13,187.27859497070312,186.03504943847656,192.4780120849609
26,26,26,2019-03-14,186.801025390625,184.3409881591797,191.0633087158203
27,27,27,2019-03-15,184.19679260253903,181.5384826660156,189.45030212402344
28,28,28,2019-03-18,186.9001617431641,180.3310089111328,188.702392578125
29,29,29,2019-03-19,184.7284545898437,180.69146728515625,189.2340240478516
30,30,30,2019-03-20,184.5031890869141,183.5479736328125,185.9629821777344
31,31,31,2019-03-21,187.2606201171875,187.27859497070312,186.03504943847656
32,32,32,2019-03-22,183.0433654785156,186.801025390625,184.3409881591797
33,33,33,2019-03-25,183.25958251953125,184.19679260253903,181.5384826660156
34,34,34,2019-03-26,183.1514892578125,186.9001617431641,180.3310089111328
35,35,35,2019-03-27,182.89920043945312,184.7284545898437,180.69146728515625
36,36,36,2019-03-28,184.8275604248047,184.5031890869141,183.5479736328125
37,37,37,2019-03-29,186.7108764648437,187.2606201171875,187.27859497070312
38,38,38,2019-04-01,191.4327087402344,183.0433654785156,186.801025390625
39,39,39,2019-04-02,189.972900390625,183.25958251953125,184.19679260253903
40,40,40,2019-04-03,187.990463256836,183.1514892578125,186.9001617431641
