,Unnamed: 0.1,Unnamed: 0,Date,PAYX,PAYX_6m,PAYX_12m
0,0,0,2019-02-05,64.39289855957031,,
1,1,1,2019-02-06,64.35797119140625,,
2,2,2,2019-02-07,64.41034698486328,,
3,3,3,2019-02-08,64.84698486328125,,
4,4,4,2019-02-11,64.6635971069336,,
5,5,5,2019-02-12,65.34471893310547,,
6,6,6,2019-02-13,65.71147918701172,64.39289855957031,
7,7,7,2019-02-14,65.64161682128906,64.35797119140625,
8,8,8,2019-02-15,66.1742935180664,64.41034698486328,
9,9,9,2019-02-19,65.606689453125,64.84698486328125,
10,10,10,2019-02-20,65.7726058959961,64.6635971069336,
11,11,11,2019-02-21,65.7988052368164,65.34471893310547,
12,12,12,2019-02-22,66.27033996582031,65.71147918701172,64.39289855957031
13,13,13,2019-02-25,66.22669982910156,65.64161682128906,64.35797119140625
14,14,14,2019-02-26,66.43627166748047,66.1742935180664,64.41034698486328
15,15,15,2019-02-27,66.82051086425781,65.606689453125,64.84698486328125
16,16,16,2019-02-28,67.25712585449219,65.7726058959961,64.6635971069336
17,17,17,2019-03-01,67.61515045166016,65.7988052368164,65.34471893310547
18,18,18,2019-03-04,66.80304718017578,66.27033996582031,65.71147918701172
19,19,19,2019-03-05,67.24838256835938,66.22669982910156,65.64161682128906
20,20,20,2019-03-06,67.08248138427734,66.43627166748047,66.1742935180664
21,21,21,2019-03-07,66.54105377197266,66.82051086425781,65.606689453125
22,22,22,2019-03-08,66.66331481933594,67.25712585449219,65.7726058959961
23,23,23,2019-03-11,67.69374084472656,67.61515045166016,65.7988052368164
24,24,24,2019-03-12,67.88585662841797,66.80304718017578,66.27033996582031
25,25,25,2019-03-13,68.34866333007812,67.24838256835938,66.22669982910156
26,26,26,2019-03-14,68.97740173339844,67.08248138427734,66.43627166748047
27,27,27,2019-03-15,69.18700408935547,66.54105377197266,66.82051086425781
28,28,28,2019-03-18,69.26557922363281,66.66331481933594,67.25712585449219
29,29,29,2019-03-19,69.08219909667969,67.69374084472656,67.61515045166016
30,30,30,2019-03-20,68.4884033203125,67.88585662841797,66.80304718017578
31,31,31,2019-03-21,69.44021606445312,68.34866333007812,67.24838256835938
32,32,32,2019-03-22,68.49713134765625,68.97740173339844,67.08248138427734
33,33,33,2019-03-25,68.75909423828125,69.18700408935547,66.54105377197266
34,34,34,2019-03-26,69.94669342041016,69.26557922363281,66.66331481933594
35,35,35,2019-03-27,69.21318054199219,69.08219909667969,67.69374084472656
36,36,36,2019-03-28,69.02978515625,68.4884033203125,67.88585662841797
37,37,37,2019-03-29,70.03402709960938,69.44021606445312,68.34866333007812
38,38,38,2019-04-01,70.6714859008789,68.49713134765625,68.97740173339844
39,39,39,2019-04-02,70.75008392333984,68.75909423828125,69.18700408935547
40,40,40,2019-04-03,70.80248260498047,69.94669342041016,69.26557922363281
41,41,41,2019-04-04,70.20868682861328,69.21318054199219,69.08219909667969
42,42,42,2019-04-05,70.5055923461914,69.02978515625,68.4884033203125
43,43,43,2019-04-08,70.575439453125,70.03402709960938,69.44021606445312
44,44,44,2019-04-09,70.5143051147461,70.6714859008789,68.49713134765625
45,45,45,2019-04-10,70.85486602783203,70.75008392333984,68.75909423828125
46,46,46,2019-04-11,71.03825378417969,70.80248260498047,69.94669342041016
47,47,47,2019-04-12,71.7455825805664,70.20868682861328,69.21318054199219
48,48,48,2019-04-15,71.92897033691406,70.5055923461914,69.02978515625
49,49,49,2019-04-16,71.24784851074219,70.575439453125,70.03402709960938
50,50,50,2019-04-17,71.22164154052734,70.5143051147461,70.6714859008789
51,51,51,2019-04-18,71.24784851074219,70.85486602783203,70.75008392333984
52,52,52,2019-04-22,71.26530456542969,71.03825378417969,70.80248260498047
53,53,53,2019-04-23,72.98558807373047,71.7455825805664,70.20868682861328
54,54,54,2019-04-24,72.89826965332031,71.92897033691406,70.5055923461914
55,55,55,2019-04-25,72.67996978759766,71.24784851074219,70.575439453125
56,56,56,2019-04-26,73.1689682006836,71.22164154052734,70.5143051147461
57,57,57,2019-04-29,73.01180267333984,71.24784851074219,70.85486602783203
58,58,58,2019-04-30,73.62306213378906,71.26530456542969,71.03825378417969
59,59,59,2019-05-01,71.57968139648438,72.98558807373047,71.7455825805664
60,60,60,2019-05-02,72.28699493408203,72.89826965332031,71.92897033691406
61,61,61,2019-05-03,73.8850326538086,72.67996978759766,71.24784851074219
62,62,62,2019-05-06,73.93742370605469,73.1689682006836,71.22164154052734
63,63,63,2019-05-07,72.89826965332031,73.01180267333984,71.24784851074219
64,64,64,2019-05-08,73.51827239990234,73.62306213378906,71.26530456542969
65,65,65,2019-05-09,73.62306213378906,71.57968139648438,72.98558807373047
66,66,66,2019-05-10,74.29545593261719,72.28699493408203,72.89826965332031
67,67,67,2019-05-13,72.96813201904297,73.8850326538086,72.67996978759766
68,68,68,2019-05-14,74.06783294677734,73.93742370605469,73.1689682006836
