,Date,MSFT
103,2019-07-02 00:00:00-04:00,130.73199462890625
104,2019-07-03 00:00:00-04:00,131.5743408203125
105,2019-07-05 00:00:00-04:00,131.1914825439453
106,2019-07-08 00:00:00-04:00,131.0957489013672
107,2019-07-09 00:00:00-04:00,130.61712646484375
108,2019-07-10 00:00:00-04:00,131.94764709472656
109,2019-07-11 00:00:00-04:00,132.47409057617188
110,2019-07-12 00:00:00-04:00,132.95269775390625
111,2019-07-15 00:00:00-04:00,132.95269775390625
112,2019-07-16 00:00:00-04:00,131.21058654785156
113,2019-07-17 00:00:00-04:00,130.43528747558594
114,2019-07-18 00:00:00-04:00,130.578857421875
115,2019-07-19 00:00:00-04:00,130.77029418945312
116,2019-07-22 00:00:00-04:00,132.50277709960938
117,2019-07-23 00:00:00-04:00,133.32595825195312
118,2019-07-24 00:00:00-04:00,134.69471740722656
119,2019-07-25 00:00:00-04:00,134.18748474121094
120,2019-07-26 00:00:00-04:00,135.28822326660156
121,2019-07-29 00:00:00-04:00,134.99147033691406
122,2019-07-30 00:00:00-04:00,134.34060668945312
123,2019-07-31 00:00:00-04:00,130.43528747558594
124,2019-08-01 00:00:00-04:00,132.14865112304688
125,2019-08-02 00:00:00-04:00,131.03829956054688
126,2019-08-05 00:00:00-04:00,126.54914093017578
127,2019-08-06 00:00:00-04:00,128.9229278564453
128,2019-08-07 00:00:00-04:00,129.4876708984375
129,2019-08-08 00:00:00-04:00,132.94313049316406
130,2019-08-09 00:00:00-04:00,131.81361389160156
131,2019-08-12 00:00:00-04:00,129.97579956054688
132,2019-08-13 00:00:00-04:00,132.66555786132812
133,2019-08-14 00:00:00-04:00,128.6703643798828
134,2019-08-15 00:00:00-04:00,128.3822479248047
135,2019-08-16 00:00:00-04:00,130.7351837158203
136,2019-08-19 00:00:00-04:00,132.9248504638672
137,2019-08-20 00:00:00-04:00,131.82037353515625
138,2019-08-21 00:00:00-04:00,133.28976440429688
139,2019-08-22 00:00:00-04:00,132.31980895996094
140,2019-08-23 00:00:00-04:00,128.10374450683594
141,2019-08-26 00:00:00-04:00,130.0821075439453
142,2019-08-27 00:00:00-04:00,130.3606414794922
143,2019-08-28 00:00:00-04:00,130.18775939941406
144,2019-08-29 00:00:00-04:00,132.6463165283203
145,2019-08-30 00:00:00-04:00,132.39663696289062
146,2019-09-03 00:00:00-04:00,130.6487274169922
147,2019-09-04 00:00:00-04:00,132.1757354736328
148,2019-09-05 00:00:00-04:00,134.49984741210938
149,2019-09-06 00:00:00-04:00,133.58746337890625
150,2019-09-09 00:00:00-04:00,132.07008361816406
151,2019-09-10 00:00:00-04:00,130.68711853027344
152,2019-09-11 00:00:00-04:00,130.7255401611328
153,2019-09-12 00:00:00-04:00,132.07008361816406
154,2019-09-13 00:00:00-04:00,131.87802124023438
155,2019-09-16 00:00:00-04:00,130.92724609375
156,2019-09-17 00:00:00-04:00,131.94522094726562
157,2019-09-18 00:00:00-04:00,133.0304412841797
158,2019-09-19 00:00:00-04:00,135.47940063476562
159,2019-09-20 00:00:00-04:00,133.9139862060547
160,2019-09-23 00:00:00-04:00,133.62586975097656
161,2019-09-24 00:00:00-04:00,131.9356689453125
162,2019-09-25 00:00:00-04:00,133.83714294433594
163,2019-09-26 00:00:00-04:00,134.0100555419922
164,2019-09-27 00:00:00-04:00,132.27175903320312
165,2019-09-30 00:00:00-04:00,133.52023315429688
166,2019-10-01 00:00:00-04:00,131.63792419433594
167,2019-10-02 00:00:00-04:00,129.31385803222656
168,2019-10-03 00:00:00-04:00,130.8792266845703
169,2019-10-04 00:00:00-04:00,132.6463165283203
170,2019-10-07 00:00:00-04:00,131.68594360351562
171,2019-10-08 00:00:00-04:00,130.2934112548828
172,2019-10-09 00:00:00-04:00,132.76156616210938
173,2019-10-10 00:00:00-04:00,133.58746337890625
174,2019-10-11 00:00:00-04:00,134.1444549560547
175,2019-10-14 00:00:00-04:00,134.0196075439453
176,2019-10-15 00:00:00-04:00,135.95960998535156
177,2019-10-16 00:00:00-04:00,134.84556579589844
178,2019-10-17 00:00:00-04:00,134.1540985107422
179,2019-10-18 00:00:00-04:00,131.9644775390625
180,2019-10-21 00:00:00-04:00,132.94400024414062
181,2019-10-22 00:00:00-04:00,130.96563720703125
182,2019-10-23 00:00:00-04:00,131.80120849609375
183,2019-10-24 00:00:00-04:00,134.3941650390625
184,2019-10-25 00:00:00-04:00,135.1528778076172
185,2019-10-28 00:00:00-04:00,138.4757537841797
186,2019-10-29 00:00:00-04:00,137.16966247558594
187,2019-10-30 00:00:00-04:00,138.8791046142578
188,2019-10-31 00:00:00-04:00,137.68826293945312
